"","TIER_1","CATEGORY_NAME","TIER_2","SUBCATEGORY_NAME","TIER_3","GENERA_NAME","count"
"1","CCA","Coralline Alga","CCAH","CCA growing on hard substrate",NA,NA,35622
"2","CCA","Coralline Alga","CCAR","CCA growing on rubble",NA,NA,1078
"3","CORAL","Coral","BR","Branching hard coral","ACBR","Acropora branching",811
"4","CORAL","Coral","BR","Branching hard coral","POCS","Pocillopora sp",7822
"5","CORAL","Coral","BR","Branching hard coral","PONM","Porites non-massive",5174
"6","CORAL","Coral","BR","Branching hard coral","STYS","Stylophora sp",250
"7","CORAL","Coral","BR","Branching hard coral",NA,NA,9999
"8","CORAL","Coral","COL","Columnar hard coral",NA,NA,649
"9","CORAL","Coral","ENC","Encrusting hard coral","ACAS","Acanthastrea sp",138
"10","CORAL","Coral","ENC","Encrusting hard coral","ASSP","Astreopora sp",1448
"11","CORAL","Coral","ENC","Encrusting hard coral","COSP","Coscinaraea sp",59
"12","CORAL","Coral","ENC","Encrusting hard coral","CYPS","Cyphastrea sp",351
"13","CORAL","Coral","ENC","Encrusting hard coral","ECHL","Echinophyllia sp",3
"14","CORAL","Coral","ENC","Encrusting hard coral","GASP","Galaxea sp",280
"15","CORAL","Coral","ENC","Encrusting hard coral","GOAL","Goniopora/Alveopora sp",431
"16","CORAL","Coral","ENC","Encrusting hard coral","ISSP","Isopora sp",180
"17","CORAL","Coral","ENC","Encrusting hard coral","LEPT","Leptastrea sp",461
"18","CORAL","Coral","ENC","Encrusting hard coral","LESP","Leptoseris sp",5
"19","CORAL","Coral","ENC","Encrusting hard coral","MOEN","Montipora encrusting",11555
"20","CORAL","Coral","ENC","Encrusting hard coral","PAVS","Pavona sp",870
"21","CORAL","Coral","ENC","Encrusting hard coral","PSSP","Psammocora sp",24
"22","CORAL","Coral","ENC","Encrusting hard coral",NA,NA,19561
"23","CORAL","Coral","FOL","Foliose hard coral","ECHP","Echinopora sp",77
"24","CORAL","Coral","FOL","Foliose hard coral","MONE","Montipora non-encrusting",3359
"25","CORAL","Coral","FOL","Foliose hard coral","TURS","Turbinaria sp",65
"26","CORAL","Coral","FOL","Foliose hard coral",NA,NA,2197
"27","CORAL","Coral","FREE","Free-living hard coral",NA,NA,364
"28","CORAL","Coral","MASS","Massive hard coral","FASP","Favia sp",911
"29","CORAL","Coral","MASS","Massive hard coral","FAVS","Favites sp",128
"30","CORAL","Coral","MASS","Massive hard coral","GONS","Goniastrea sp",1484
"31","CORAL","Coral","MASS","Massive hard coral","HYSP","Hydnophora sp",68
"32","CORAL","Coral","MASS","Massive hard coral","LOSY","Lobophyllia/Symphyllia sp",75
"33","CORAL","Coral","MASS","Massive hard coral","PLLE","Platygyra/Leptoria sp",468
"34","CORAL","Coral","MASS","Massive hard coral","POMA","Porites massive",12858
"35","CORAL","Coral","MASS","Massive hard coral",NA,NA,11105
"36","CORAL","Coral","NS","Non-scleractinian hard coral",NA,NA,1222
"37","CORAL","Coral","TAB","Tabulate hard coral","ACTA","Acropora tabulate",72
"38","CORAL","Coral","TAB","Tabulate hard coral",NA,NA,1429
"39","I","Sessile Invertebrate","AMNE","Anemone",NA,NA,73
"40","I","Sessile Invertebrate","BI","Bivalve",NA,NA,26
"41","I","Sessile Invertebrate","BRY","Bryozoan",NA,NA,75
"42","I","Sessile Invertebrate","CMOR","Corallimorph",NA,NA,237
"43","I","Sessile Invertebrate","GC","Giant clam",NA,NA,29
"44","I","Sessile Invertebrate","SP","Sponge",NA,NA,1435
"45","I","Sessile Invertebrate","TUN","Tunicate",NA,NA,365
"46","I","Sessile Invertebrate","UI","Unclassified sessile invertebrate",NA,NA,215
"47","I","Sessile Invertebrate","ZO","Zoanthid",NA,NA,434
"48","MA","Macroalga","BGMA","Blue-green macroalga",NA,NA,4932
"49","MA","Macroalga","EMA","Encrusting macroalga","LOBO","Lobophora sp",34
"50","MA","Macroalga","EMA","Encrusting macroalga","PESP","Peyssonnelia sp",497
"51","MA","Macroalga","EMA","Encrusting macroalga",NA,NA,20551
