"","CATEGORY_CODE","CATEGORY_NAME","SUBCATEGORY_CODE","SUBCATEGORY_NAME","GENERA_CODE","GENERA_NAME","FUNCTIONAL_GROUP","count"
"1","MA","Macroalga","UPMA","Upright macroalga","RDMA","Red macroalgae","Algae",6738
"2","TURF","Turf Alga","TURFH","Turf growing on hard substrate","TURFH","Turf growing on hard substrate","Algae",585907
"3","MA","Macroalga","UPMA","Upright macroalga","HALI","Halimeda sp","Algae",30157
"4","CCA","Coralline Alga","CCAH","CCA growing on hard substrate","CCAH","CCA growing on hard substrate","Algae",148728
"5","CORAL","Coral","FOL","Foliose hard coral","POFO","Porites foliose","Hard coral",9361
"6","MA","Macroalga","UPMA","Upright macroalga","EMA","Encrusting macroalga","Algae",109124
"7","MA","Macroalga","UPMA","Upright macroalga","BGMA","Blue-green macroalga","Algae",12614
"8","TURF","Turf Alga","TURFR","Turf growing on rubble","TURFR","Turf growing on rubble","Algae",20654
"9","MA","Macroalga","UPMA","Upright macroalga","BRMA","Brown macroalgae","Algae",357
"10","CORAL","Coral","MASS","Massive hard coral","POMA","Porites massive","Hard coral",45670
"11","CORAL","Coral","ENC","Encrusting hard coral","POEN","Porites encrusting","Hard coral",17827
"12","MA","Macroalga","UPMA","Upright macroalga","PESP","Peyssonnelia sp","Algae",62914
"13","CORAL","Coral","BR","Branching hard coral","POCS","Pocillopora sp","Hard coral",27603
"14","CORAL","Coral","BR","Branching hard coral","POBR","Porites branching","Hard coral",11018
"15","MA","Macroalga","UPMA","Upright macroalga","DICO","Dictyopteris/Dictyota","Algae",1234
"16","SC","Soft Coral","OCTO","Octocoral","OCTO","Octocoral","Other Invertebrates",14658
"17","UC","Unclassified","SHAD","Shadow","SHAD","Shadow","Other",35437
"18","CORAL","Coral","ENC","Encrusting hard coral","ENC","Encrusting hard coral","Hard coral",14197
"19","SED","Sediment","SAND","Sand","SAND","Sand","Soft Substrate",63519
"20","MA","Macroalga","UPMA","Upright macroalga","CAUL","Caulerpa sp","Algae",790
"21","MA","Macroalga","UPMA","Upright macroalga","ASPP","Asparagopsis sp","Algae",1531
"22","CORAL","Coral","MASS","Massive hard coral","FASP","Favia sp","Hard coral",6868
"23","TW","Tape and wand","TAPE","Tape","TAPE","Tape","Other",1393
"24","TW","Tape and wand","WAND","Wand","WAND","Wand","Other",4310
"25","CORAL","Coral","ENC","Encrusting hard coral","ASSP","Astreopora sp","Hard coral",8959
"26","CORAL","Coral","ENC","Encrusting hard coral","LEPT","Leptastrea sp","Hard coral",2580
"27","CORAL","Coral","ENC","Encrusting hard coral","GASP","Galaxea sp","Hard coral",1735
"28","CORAL","Coral","MASS","Massive hard coral","GONS","Goniastrea sp","Hard coral",6532
"29","CORAL","Coral","MASS","Massive hard coral","DISP","Diploastrea sp","Hard coral",786
"30","CORAL","Coral","ENC","Encrusting hard coral","PSSP","Psammocora sp","Hard coral",651
"31","CORAL","Coral","ENC","Encrusting hard coral","PHSP","Phymastrea sp.","Hard coral",326
"32","CORAL","Coral","ENC","Encrusting hard coral","MOEN","Montipora encrusting","Hard coral",64337
"33","I","Sessile Invertebrate","SP","Sponge","SP","Sponge","Other Invertebrates",2390
"34","CORAL","Coral","ENC","Encrusting hard coral","PAEN","Pavona encrusting","Hard coral",4167
"35","UC","Unclassified","UNK","Unclassified/Unknown","UNK","Unclassified/Unknown","Other",21462
"36","CORAL","Coral","MASS","Massive hard coral","LPHY","Leptoria sp","Hard coral",2348
"37","CCA","Coralline Alga","CCAR","CCA growing on rubble","CCAR","CCA growing on rubble","Algae",5909
"38","CORAL","Coral","MASS","Massive hard coral","FAVS","Favites sp","Hard coral",2180
"39","CORAL","Coral","ENC","Encrusting hard coral","CYPS","Cyphastrea sp","Hard coral",789
"40","MA","Macroalga","UPMA","Upright macroalga","AVSP","Avrainvillea sp","Algae",122
"41","CORAL","Coral","NS","Non-scleractinian hard coral","MISP","Millepora sp","Hard coral",1815
