MISSIONID,OBS_YEAR,SITE,SITEVISITID,ISLAND,DATE_,DIVER,Method,Transectid,TRANSECT,Segmentid,SEGMENT,SEGLENGTH,SEGWIDTH,No colony observed,SITE_MIN_DEPTH,SITE_MAX_DEPTH,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN
HA1801,2018,HOW-866,11573,Howland,8-Jun-18,MSW,JUVENILE,683,1,852,3,1,1,0,46,52,0.48972,-176.3747,Forereef,Mid
HA1801,2018,HOW-890,11643,Howland,10-Jun-18,MSW,ADULT,723,1,938,3,2.5,1,-1,18,23,0.81195,-176.6118,Forereef,Shallow
HA1801,2018,HOW-890,11643,Howland,10-Jun-18,MSW,ADULT,723,1,942,7,2.5,1,0,18,23,0.81195,-176.6118,Forereef,Shallow
HA1801,2018,HOW-890,11643,Howland,10-Jun-18,JDG,JUVENILE,723,1,946,1,1,1,-1,18,23,0.81195,-176.6118,Forereef,Shallow
HA1801,2018,HOW-891,11644,Howland,10-Jun-18,MSW,ADULT,725,1,950,3,2.5,1,0,12,21,0.8084,-176.61099,Forereef,Shallow
HA1801,2018,HOW-891,11644,Howland,10-Jun-18,MSW,ADULT,725,1,954,7,2.5,0.5,0,12,21,0.8084,-176.61099,Forereef,Shallow
HA1801,2018,HOW-891,11644,Howland,10-Jun-18,MSW,JUVENILE,725,1,958,3,1,1,0,12,21,0.8084,-176.61099,Forereef,Shallow
HA1801,2018,HOW-891,11644,Howland,10-Jun-18,JDG,JUVENILE,725,1,962,1,1,1,-1,12,21,0.8084,-176.61099,Forereef,Shallow
HA1801,2018,BAK-761,11679,Baker,12-Jun-18,JDG,ADULT,765,1,1022,1,2.5,1,0,48,50,0.18851,-176.4818,Forereef,Mid
HA1801,2018,BAK-776,11680,Baker,12-Jun-18,MSW,ADULT,767,1,1036,3,2.5,1,0,20,24,0.18798,-176.46997,Forereef,Shallow
HA1801,2018,TUT-2897,11812,Tutuila,29-Jun-18,BH,ADULT,921,1,1388,3,2.5,1,0,71,73,-14.237139,-170.6732,Forereef,Deep
HA1801,2018,TUT-2927,11813,Tutuila,29-Jun-18,MAR,ADULT,923,1,1392,5,2.5,1,0,36,44,-14.246887,-170.664336,Forereef,Mid
HA1801,2018,TUT-2929,11814,Tutuila,29-Jun-18,MAR,JUVENILE,925,1,1400,5,1,1,0,44,46,-14.23855,-170.669358,Forereef,Mid
HA1801,2018,TUT-2929,11814,Tutuila,29-Jun-18,BH,JUVENILE,925,1,1406,3,1,1,0,44,46,-14.23855,-170.669358,Forereef,Mid
HA1801,2018,TUT-5000,11856,Tutuila,1-Jul-18,BH,JUVENILE,961,1,1504,1,1,1,0,61,64,-14.287669,-170.781856,Forereef,Deep
HA1801,2018,TUT-2929,11814,Tutuila,29-Jun-18,MSW,ADULT,925,1,1422,7,2.5,1,0,44,46,-14.23855,-170.669358,Forereef,Mid
HA1801,2018,TUT-2933,11857,Tutuila,1-Jul-18,BH,ADULT,963,1,1510,1,2.5,1,0,40,42,-14.28835,-170.768861,Forereef,Mid
HA1801,2018,TUT-2935,11832,Tutuila,30-Jun-18,BVA,ADULT,941,1,1448,1,2.5,1,0,64,65,-14.263439,-170.713355,Forereef,Deep
HA1801,2018,TUT-2949,11833,Tutuila,30-Jun-18,MAR,ADULT,943,1,1450,5,2.5,1,0,9,11,-14.27787,-170.723442,Forereef,Mid
HA1801,2018,TUT-2935,11832,Tutuila,30-Jun-18,BVA,JUVENILE,941,1,1464,3,1,1,0,64,65,-14.263439,-170.713355,Forereef,Deep
HA1801,2018,TUT-2949,11833,Tutuila,30-Jun-18,BH,ADULT,943,1,1470,3,2.5,1,0,9,11,-14.27787,-170.723442,Forereef,Mid
HA1801,2018,TUT-2935,11832,Tutuila,30-Jun-18,MSW,ADULT,941,1,1474,7,2.5,1,0,64,65,-14.263439,-170.713355,Forereef,Deep
HA1801,2018,TUT-2949,11833,Tutuila,30-Jun-18,MSW,ADULT,943,1,1476,7,2.5,1,-,9,11,-14.27787,-170.723442,Forereef,Mid
HA1801,2018,TUT-5000,11856,Tutuila,1-Jul-18,BH,ADULT,961,1,1502,1,2.5,1,0,61,64,-14.287669,-170.781856,Forereef,Deep
HA1801,2018,TUT-2933,11857,Tutuila,1-Jul-18,BH,JUVENILE,963,1,1512,1,1,1,0,40,42,-14.28835,-170.768861,Forereef,Mid
HA1801,2018,TUT-2932,11864,Tutuila,1-Jul-18,MAR,ADULT,967,1,1514,3,2.5,1,0,69,70,-14.310693,-170.835797,Forereef,Deep
HA1801,2018,TUT-2932,11864,Tutuila,1-Jul-18,MAR,ADULT,967,1,1518,5,2.5,1,0,69,70,-14.310693,-170.835797,Forereef,Deep
HA1801,2018,TUT-2938,11865,Tutuila,1-Jul-18,MAR,ADULT,969,1,1520,3,2.5,1,0,42,44,-14.299466,-170.815291,Forereef,Mid
HA1801,2018,TUT-2932,11864,Tutuila,1-Jul-18,BVA,ADULT,967,1,1542,1,2.5,1,0,69,70,-14.310693,-170.835797,Forereef,Deep
HA1801,2018,TUT-2948,11866,Tutuila,1-Jul-18,MAR,JUVENILE,971,1,1564,3,1,1,0,13,19,-14.293128,-170.808962,Forereef,Shallow
HA1801,2018,TUT-2948,11866,Tutuila,1-Jul-18,BVA,ADULT,971,1,1570,1,2.5,1,0,13,19,-14.293128,-170.808962,Forereef,Shallow
HA1801,2018,TUT-2948,11866,Tutuila,1-Jul-18,BVA,ADULT,971,1,1574,5,2.5,1,0,13,19,-14.293128,-170.808962,Forereef,Shallow
HA1801,2018,TUT-2938,11865,Tutuila,1-Jul-18,BVA,ADULT,969,1,1582,5,2.5,1,0,42,44,-14.299466,-170.815291,Forereef,Mid
HA1801,2018,TUT-5001,11880,Tutuila,2-Jul-18,MAR,JUVENILE,987,1,1618,1,1,1,0,48,50,-14.292134,-170.779835,Forereef,Mid
HA1801,2018,TUT-2937,11879,Tutuila,2-Jul-18,BH,ADULT,985,1,1642,3,2.5,1,0,65,66,-14.28841,-170.759135,Forereef,Deep
HA1801,2018,TUT-2937,11879,Tutuila,2-Jul-18,BH,JUVENILE,985,1,1644,3,1,1,0,65,66,-14.28841,-170.759135,Forereef,Deep
HA1801,2018,TUT-2952,11888,Tutuila,2-Jul-18,JDG,JUVENILE,989,1,1678,3,1,1,-,14,16,-14.291981,-170.792279,Forereef,Shallow
HA1801,2018,TUT-2952,11888,Tutuila,2-Jul-18,MSW,ADULT,989,1,1664,5,2.5,1,0,14,16,-14.291981,-170.792279,Forereef,Shallow
HA1801,2018,TUT-2952,11888,Tutuila,2-Jul-18,MSW,JUVENILE,989,1,1666,5,1,1,0,14,16,-14.291981,-170.792279,Forereef,Shallow
HA1801,2018,TUT-3043,11892,Tutuila,3-Jul-18,BH,ADULT,1001,1,1686,5,2.5,1,0,76,80,-14.250793,-170.642224,Forereef,Deep
HA1801,2018,TUT-3043,11892,Tutuila,3-Jul-18,BH,JUVENILE,1001,1,1688,5,1,1,0,76,80,-14.250793,-170.642224,Forereef,Deep
HA1801,2018,TUT-3043,11892,Tutuila,3-Jul-18,JDG,JUVENILE,1001,1,1704,1,1,1,0,76,80,-14.250793,-170.642224,Forereef,Deep
HA1801,2018,TUT-2916,11895,Tutuila,3-Jul-18,BH,ADULT,1007,1,1706,5,2.5,1,0,11,12,-14.248348,-170.670423,Forereef,Shallow
HA1801,2018,TUT-2871,11912,Tutuila,4-Jul-18,BH,ADULT,1021,1,1754,5,2.5,1,0,50,51,-14.365118,-170.7635,Forereef,Mid
HA1801,2018,TUT-2874,11913,Tutuila,4-Jul-18,BVA,ADULT,1023,1,1766,3,2.5,1,0,44,46,-14.36191,-170.76485,Forereef,Mid
HA1801,2018,TUT-2871,11912,Tutuila,4-Jul-18,MAR,JUVENILE,1021,1,1768,1,1,1,0,50,51,-14.365118,-170.7635,Forereef,Mid
HA1801,2018,TUT-2874,11913,Tutuila,4-Jul-18,BVA,JUVENILE,1023,1,1770,3,1,1,0,44,46,-14.36191,-170.76485,Forereef,Mid
HA1801,2018,TUT-2883,11914,Tutuila,4-Jul-18,BVA,ADULT,1025,1,1772,3,2.5,1,0,8,12,-14.36313,-170.76224,Forereef,Shallow
HA1801,2018,TUT-2889,11915,Tutuila,4-Jul-18,MAR,ADULT,1027,1,1774,1,2.5,1,0,11,13,-14.36417,-170.76021,Forereef,Shallow
HA1801,2018,TUT-2889,11915,Tutuila,4-Jul-18,MAR,JUVENILE,1027,1,1776,1,1,1,0,11,13,-14.36417,-170.76021,Forereef,Shallow
HA1801,2018,TUT-2883,11914,Tutuila,4-Jul-18,BVA,JUVENILE,1025,1,1778,3,1,1,0,8,12,-14.36313,-170.76224,Forereef,Shallow
HA1801,2018,TUT-2871,11912,Tutuila,4-Jul-18,BVA,ADULT,1021,1,1780,3,2.5,1,0,50,51,-14.365118,-170.7635,Forereef,Mid
HA1801,2018,TUT-2874,11913,Tutuila,4-Jul-18,BH,ADULT,1023,1,1782,5,2.5,1,0,44,46,-14.36191,-170.76485,Forereef,Mid
HA1801,2018,TUT-2874,11913,Tutuila,4-Jul-18,BH,JUVENILE,1023,1,1784,5,1,1,0,44,46,-14.36191,-170.76485,Forereef,Mid
HA1801,2018,TUT-2883,11914,Tutuila,4-Jul-18,BH,JUVENILE,1025,1,1786,5,1,1,0,8,12,-14.36313,-170.76224,Forereef,Shallow
HA1801,2018,TUT-2883,11914,Tutuila,4-Jul-18,BH,ADULT,1025,1,1788,5,2.5,1,0,8,12,-14.36313,-170.76224,Forereef,Shallow
HA1801,2018,TUT-2871,11912,Tutuila,4-Jul-18,BVA,JUVENILE,1021,1,1790,3,1,1,0,50,51,-14.365118,-170.7635,Forereef,Mid
HA1801,2018,TUT-2889,11915,Tutuila,4-Jul-18,BVA,ADULT,1027,1,1792,3,2.5,1,0,11,13,-14.36417,-170.76021,Forereef,Shallow
HA1801,2018,TUT-2889,11915,Tutuila,4-Jul-18,BVA,JUVENILE,1027,1,1796,3,1,1,0,11,13,-14.36417,-170.76021,Forereef,Shallow
HA1801,2018,TUT-2889,11915,Tutuila,4-Jul-18,BH,ADULT,1027,1,1802,5,2.5,1,0,11,13,-14.36417,-170.76021,Forereef,Shallow
HA1801,2018,TUT-2889,11915,Tutuila,4-Jul-18,BH,JUVENILE,1027,1,1804,5,1,1,0,11,13,-14.36417,-170.76021,Forereef,Shallow
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,MAR,ADULT,1043,1,1806,1,2.5,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,MAR,JUVENILE,1043,1,1808,1,1,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
HA1801,2018,TUT-5005,11941,Tutuila,5-Jul-18,JDG,ADULT,1045,1,1810,3,2.5,1,0,43,45,-14.276832,-170.557578,Forereef,Mid
HA1801,2018,TUT-5005,11941,Tutuila,5-Jul-18,JDG,JUVENILE,1045,1,1812,3,1,1,-1,43,45,-14.276832,-170.557578,Forereef,Mid
HA1801,2018,TUT-5005,11941,Tutuila,5-Jul-18,MSW,ADULT,1045,1,1814,5,2.5,1,0,43,45,-14.276832,-170.557578,Forereef,Mid
HA1801,2018,TUT-5005,11941,Tutuila,5-Jul-18,MSW,JUVENILE,1045,1,1816,5,1,1,-1,43,45,-14.276832,-170.557578,Forereef,Mid
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,BVA,ADULT,1043,1,1818,3,2.5,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,BVA,JUVENILE,1043,1,1820,3,1,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,JDG,JUVENILE,1043,1,1822,5,1,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,JDG,ADULT,1043,1,1824,5,2.5,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
