REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,NH,BENTHIC_BASIC,SAMOA_CLIMATE,BENTHIC_2018,NWHI_all_years,MHI_2013,MHI_2016,MHI_2019,Guam_CNMI_2014,Guam_CNMI_2018,Samoa_2015,Samoa_2018,PRIAs_2014,PRIAs_2017,PRIAs_2015,PRIAs_2018
MARIAN,Agrihan,Agrihan,Forereef,Deep,455.6356862,1823,AGR_OPEN,NOT,Agrihan,NA,NA,NA,NA,Agrihan,Agrihan,NA,NA,NA,NA,NA,NA
MARIAN,Agrihan,Agrihan,Forereef,Mid,51.8014133,207,AGR_OPEN,NOT,Agrihan,NA,NA,NA,NA,Agrihan,Agrihan,NA,NA,NA,NA,NA,NA
MARIAN,Agrihan,Agrihan,Forereef,Shallow,343.1901754,1373,AGR_OPEN,NOT,Agrihan,NA,NA,NA,NA,Agrihan,Agrihan,NA,NA,NA,NA,NA,NA
MARIAN,Aguijan,Aguijan,Forereef,Deep,119.2887963,477,AGU_OPEN,NOT,Aguijan,NA,NA,NA,NA,Aguijan,Aguijan,NA,NA,NA,NA,NA,NA
MARIAN,Aguijan,Aguijan,Forereef,Mid,129.0007981,516,AGU_OPEN,NOT,Aguijan,NA,NA,NA,NA,Aguijan,Aguijan,NA,NA,NA,NA,NA,NA
MARIAN,Aguijan,Aguijan,Forereef,Shallow,157.3007294,629,AGU_OPEN,NOT,Aguijan,NA,NA,NA,NA,Aguijan,Aguijan,NA,NA,NA,NA,NA,NA
MARIAN,Alamagan,Alamagan,Forereef,Deep,112.8532954,451,ALA_OPEN,NOT,Alamagan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Alamagan,Alamagan,Forereef,Mid,162.4144779,650,ALA_OPEN,NOT,Alamagan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Alamagan,Alamagan,Forereef,Shallow,71.071876,284,ALA_OPEN,NOT,Alamagan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Asuncion,Asuncion,Forereef,Deep,64.03633046,256,ASC_MTMM,NOT,Asuncion,NA,NA,NA,NA,Asuncion,Asuncion,NA,NA,NA,NA,NA,NA
MARIAN,Asuncion,Asuncion,Forereef,Mid,130.7967187,523,ASC_MTMM,NOT,Asuncion,NA,NA,NA,NA,Asuncion,Asuncion,NA,NA,NA,NA,NA,NA
MARIAN,Asuncion,Asuncion,Forereef,Shallow,53.77229254,215,ASC_MTMM,NOT,Asuncion,NA,NA,NA,NA,Asuncion,Asuncion,NA,NA,NA,NA,NA,NA
MARIAN,Farallon de Pajaros,Farallon de Pajaros,Forereef,Deep,36.860822,147,FDP_MTMM,NOT,Farallon de Pajaros,NA,NA,NA,NA,Farallon de Pajaros,Farallon de Pajaros,NA,NA,NA,NA,NA,NA
MARIAN,Farallon de Pajaros,Farallon de Pajaros,Forereef,Mid,68.68271,275,FDP_MTMM,NOT,Farallon de Pajaros,NA,NA,NA,NA,Farallon de Pajaros,Farallon de Pajaros,NA,NA,NA,NA,NA,NA
MARIAN,Farallon de Pajaros,Farallon de Pajaros,Forereef,Shallow,32.916547,132,FDP_MTMM,NOT,Farallon de Pajaros,NA,NA,NA,NA,Farallon de Pajaros,Farallon de Pajaros,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_ACHANG,Forereef,Deep,13.75,55,GUA_EAST_ACHG,NOT,GUA_ACHANG,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_ACHANG,Forereef,Mid,59.25,237,GUA_EAST_ACHG,NOT,GUA_ACHANG,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_ACHANG,Forereef,Shallow,33.25,133,GUA_EAST_ACHG,NOT,GUA_ACHANG,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_EAST_OPEN,Forereef,Deep,664.5,2658,GUA_EAST_OPEN,NOT,GUA_EAST_OPEN,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_EAST_OPEN,Forereef,Mid,1027.25,4109,GUA_EAST_OPEN,NOT,GUA_EAST_OPEN,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_EAST_OPEN,Forereef,Shallow,421.5,1686,GUA_EAST_OPEN,NOT,GUA_EAST_OPEN,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_HARBOR,Forereef,Deep,3.81,15,GUA_HAR_WEST_OPEN,NOT,GUA_HARBOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_HARBOR,Forereef,Mid,38.29,153,GUA_HAR_WEST_OPEN,NOT,GUA_HARBOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_HARBOR,Forereef,Shallow,95.17,381,GUA_HAR_WEST_OPEN,NOT,GUA_HARBOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,438.75,1755,GUA_WEST_OPEN,NOT,GUA_WEST_OPEN,NA,NA,NA,NA,GUAWEALL,GUAWEALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_WEST_OPEN,Forereef,Mid,1035,4140,GUA_WEST_OPEN,NOT,GUA_WEST_OPEN,NA,NA,NA,NA,GUAWEALL,GUAWEALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_WEST_OPEN,Forereef,Shallow,756.5,3026,GUA_WEST_OPEN,NOT,GUA_WEST_OPEN,NA,NA,NA,NA,GUAWEALL,GUAWEALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_PATI_POINT,Forereef,Deep,155.25,621,GUA_EAST_PATI,NOT,GUA_PATI_POINT,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_PATI_POINT,Forereef,Mid,159,636,GUA_EAST_PATI,NOT,GUA_PATI_POINT,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_PATI_POINT,Forereef,Shallow,36.25,145,GUA_EAST_PATI,NOT,GUA_PATI_POINT,NA,NA,NA,NA,GUAEAALL,GUAEAALL,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_PITI_BOMB,Forereef,Deep,18.5,74,GUA_WEST_PITI,NOT,GUA_PITI_BOMB,NA,NA,NA,NA,GUAWEALL,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_PITI_BOMB,Forereef,Mid,40.25,161,GUA_WEST_PITI,NOT,GUA_PITI_BOMB,NA,NA,NA,NA,GUAWEALL,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_PITI_BOMB,Forereef,Shallow,23.5,94,GUA_WEST_PITI,NOT,GUA_PITI_BOMB,NA,NA,NA,NA,GUAWEALL,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_SASA_BAY,Forereef,Mid,2.54,10,GUA_HAR_WEST_SASA,NOT,GUA_SASA_BAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_SASA_BAY,Forereef,Shallow,61.82,247,GUA_HAR_WEST_SASA,NOT,GUA_SASA_BAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_TUMON,Forereef,Deep,27.75,111,GUA_WEST_TUMB,NOT,GUA_TUMON,NA,NA,NA,NA,GUAWEALL,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_TUMON,Forereef,Mid,71.75,287,GUA_WEST_TUMB,NOT,GUA_TUMON,NA,NA,NA,NA,GUAWEALL,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guam,GUA_TUMON,Forereef,Shallow,131,524,GUA_WEST_TUMB,NOT,GUA_TUMON,NA,NA,NA,NA,GUAWEALL,NA,NA,NA,NA,NA,NA,NA
MARIAN,Guguan,Guguan,Forereef,Deep,69.60776909,278,GUG_OPEN,NOT,Guguan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Guguan,Guguan,Forereef,Mid,73.0388079,292,GUG_OPEN,NOT,Guguan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Guguan,Guguan,Forereef,Shallow,57.31867709,229,GUG_OPEN,NOT,Guguan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Maug,Maug,Forereef,Deep,87.73461767,351,MAU_MTMM,NOT,Maug,NA,NA,NA,NA,Maug,Maug,NA,NA,NA,NA,NA,NA
MARIAN,Maug,Maug,Forereef,Mid,190.6950207,763,MAU_MTMM,NOT,Maug,NA,NA,NA,NA,Maug,Maug,NA,NA,NA,NA,NA,NA
MARIAN,Maug,Maug,Forereef,Shallow,35.44106339,142,MAU_MTMM,NOT,Maug,NA,NA,NA,NA,Maug,Maug,NA,NA,NA,NA,NA,NA
MARIAN,Pagan,Pagan,Forereef,Deep,571.3645349,2285,PAG_OPEN,NOT,Pagan,NA,NA,NA,NA,Pagan,Pagan,NA,NA,NA,NA,NA,NA
MARIAN,Pagan,Pagan,Forereef,Mid,492.5006185,1970,PAG_OPEN,NOT,Pagan,NA,NA,NA,NA,Pagan,Pagan,NA,NA,NA,NA,NA,NA
MARIAN,Pagan,Pagan,Forereef,Shallow,449.0588004,1796,PAG_OPEN,NOT,Pagan,NA,NA,NA,NA,Pagan,Pagan,NA,NA,NA,NA,NA,NA
MARIAN,Rota,Rota,Forereef,Deep,187.5332091,750,ROT_OPEN,NOT,Rota,NA,NA,NA,NA,Rota,Rota,NA,NA,NA,NA,NA,NA
MARIAN,Rota,Rota,Forereef,Mid,254.5438529,1018,ROT_OPEN,NOT,Rota,NA,NA,NA,NA,Rota,Rota,NA,NA,NA,NA,NA,NA
MARIAN,Rota,Rota,Forereef,Shallow,889.2950898,3557,ROT_OPEN,NOT,Rota,NA,NA,NA,NA,Rota,Rota,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Backreef,Deep,0.102749263,2391,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Backreef,Mid,0.838950538,2391,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Backreef,Shallow,596.76696,2391,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Forereef,Deep,1985.586578,7942,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Forereef,Mid,1132.596536,4530,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Forereef,Shallow,420.8277658,1683,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Lagoon,Mid,170.5443267,682,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Saipan,Saipan,Lagoon,Shallow,412.3027837,1649,SAI_OPEN,NOT,Saipan,NA,NA,NA,NA,Saipan,Saipan,NA,NA,NA,NA,NA,NA
MARIAN,Sarigan,Sarigan,Forereef,Deep,88.30851333,353,SAR_OPEN,NOT,Sarigan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Sarigan,Sarigan,Forereef,Mid,29.81657193,119,SAR_OPEN,NOT,Sarigan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Sarigan,Sarigan,Forereef,Shallow,79.43434663,318,SAR_OPEN,NOT,Sarigan,NA,NA,NA,NA,AGS,AGS,NA,NA,NA,NA,NA,NA
MARIAN,Tinian,Tinian,Forereef,Deep,557.103082,2228,TIN_OPEN,NOT,Tinian,NA,NA,NA,NA,Tinian,Tinian,NA,NA,NA,NA,NA,NA
MARIAN,Tinian,Tinian,Forereef,Mid,534.0549959,2136,TIN_OPEN,NOT,Tinian,NA,NA,NA,NA,Tinian,Tinian,NA,NA,NA,NA,NA,NA
MARIAN,Tinian,Tinian,Forereef,Shallow,323.0482252,1292,TIN_OPEN,NOT,Tinian,NA,NA,NA,NA,Tinian,Tinian,NA,NA,NA,NA,NA,NA
