depth_bin,OLD_SITE,SEC_NAME
SHAL,TUT-5687,TUT_NW_OPEN
SHAL,TUT-5688,TUT_NW_OPEN
SHAL,TUT-5689,TUT_NW_OPEN
SHAL,TUT-5690,TUT_NW_OPEN
SHAL,TUT-5691,TUT_NW_OPEN
SHAL,TUT-5692,TUT_NW_OPEN
SHAL,TUT-5693,TUT_NW_OPEN
SHAL,TUT-5694,TUT_NW_OPEN
SHAL,TUT-5695,TUT_FAGALUA
SHAL,TUT-5696,TUT_FAGALUA
SHAL,TUT-5697,TUT_FAGALUA
SHAL,TUT-5698,TUT_FAGALUA
SHAL,TUT-5699,TUT_FAGALUA
SHAL,TUT-5700,TUT_FAGALUA
SHAL,TUT-5701,TUT_FAGALUA
SHAL,TUT-5702,TUT_FAGALUA
SHAL,TUT-5703,TUT_FAGATELE
SHAL,TUT-5704,TUT_FAGATELE
SHAL,TUT-5705,TUT_FAGATELE
SHAL,TUT-5706,TUT_FAGATELE
SHAL,TUT-5707,TUT_FAGATELE
SHAL,TUT-5708,TUT_FAGATELE
SHAL,TUT-5709,TUT_FAGATELE
SHAL,TUT-5710,TUT_FAGATELE
SHAL,TUT-5711,TUT_AUNUU_A
SHAL,TUT-5712,TUT_AUNUU_A
SHAL,TUT-5713,TUT_AUNUU_A
SHAL,TUT-5714,TUT_AUNUU_A
SHAL,TUT-5715,TUT_AUNUU_A
SHAL,TUT-5716,TUT_AUNUU_A
SHAL,TUT-5717,TUT_AUNUU_B
SHAL,TUT-5718,TUT_AUNUU_B
SHAL,TUT-5967,TUT_AUNUU_B
SHAL,TUT-5968,TUT_AUNUU_B
SHAL,TUT-5719,TUT_NE_OPEN
SHAL,TUT-5720,TUT_NE_OPEN
SHAL,TUT-5721,TUT_NE_OPEN
SHAL,TUT-5722,TUT_NE_OPEN
SHAL,TUT-5723,TUT_NE_OPEN
SHAL,TUT-5724,TUT_NE_OPEN
SHAL,TUT-5725,TUT_NE_OPEN
SHAL,TUT-5726,TUT_NE_OPEN
SHAL,TUT-5727,TUT_NE_OPEN
SHAL,TUT-5728,TUT_NE_OPEN
