Name,Row,Column,Label code,Annotator,Date annotated
FFS-1302_2016_A_03,291,33,*MOEN,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,466,3994,*POEN,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,1136,2845,*TURFH,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,1440,988,*MOEN,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,1494,3965,*POEN,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,2288,249,*SHAD,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,2349,369,*SHAD,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,2043,2677,*POEN,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,1866,3185,*TURFH,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_A_03,2077,2925,*TURFH,samantha.darin,2025-02-11 21:28:51+00:00
FFS-1302_2016_B_10,382,1517,*ACTA,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,274,3157,*TURFH,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,440,3044,*TURFH,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,42,3397,*TURFH,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,714,424,*TURFH,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,1050,833,*POEN,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,1308,1258,*TURFH,samantha.darin,2025-02-11 21:39:00+00:00
FFS-1302_2016_B_10,1646,1667,*TURFH,samantha.darin,2025-02-11 21:38:59+00:00
FFS-1302_2016_B_10,2991,3416,*CCAH,samantha.darin,2025-02-11 21:38:59+00:00
FFS-1302_2016_B_10,2805,3640,*CCAH,samantha.darin,2025-02-11 21:38:59+00:00
FFS-4110_2015_A_06,267,45,*TURFH,samantha.darin,2025-02-11 21:43:27+00:00
