,unique,jonathan.charendoff,samantha.darin,count
2,FFS-1302_2016_A_03_1440_988,*ACTA,*MOEN,2
9,FFS-1302_2016_A_03_291_33,*ACTA,*MOEN,2
25,FFS-4110_2015_A_06_2100_3751,*ACTA,*TURFH,2
309,KAH-439_2019_A_01_3607_1267,*BGMA,*BRMA,2
565,LAN-1814_2019_A_28_1970_1837,*BGMA,*MICR,2
380,KAH-646_2019_A_03_649_2591,*BGMA,*PESP,2
408,KAH-663_2019_A_17_346_4324,*BGMA,*PESP,2
411,KAH-672_2019_A_30_1015_4123,*BGMA,*PESP,2
489,LAN-1740_2019_A_07_486_3398,*BGMA,*PESP,2
695,LIS-652_2016_A_10_1760_2579,*BGMA,*PESP,2
809,MAI-2664_2019_A_08_827_1945,*BGMA,*PESP,2
840,MAI-2706_2019_A_19_911_2193,*BGMA,*PESP,2
846,MAI-2709_2019_A_10_3202_2640,*BGMA,*PESP,2
548,LAN-1781_2019_A_03_2426_4271,*BGMA,*SHAD,2
566,LAN-1814_2019_A_28_23_3842,*BGMA,*SHAD,2
314,KAH-608_2019_A_28_1590_853,*BGMA,*TURFH,2
694,LIS-652_2016_A_10_1650_2730,*BGMA,*TURFH,2
832,MAI-2706_2019_A_19_1789_688,*BGMA,*TURFH,2
734,MAI-2382_2019_A_13_2498_2329,*BRMA,*MOBR,2
537,LAN-1778_2019_A_07_499_3371,*CAUL,*GRMA,2
715,MAI-2352_2019_A_26_1979_3810,*CAUL,*GRMA,2
942,OAH-3504_2019_A_02_190_1002,*CCAH,*HARD,2
159,HAW-3441_2019_A_09_3626_1720,*CCAH,*PESP,2
160,HAW-3441_2019_A_09_522_3,*CCAH,*PESP,2
230,HAW-4249_2019_A_02_645_5296,*CCAH,*PESP,2
551,LAN-1795_2019_A_10_1019_1442,*CCAH,*PESP,2
814,MAI-2685_2019_A_15_1813_1908,*CCAH,*PESP,2
845,MAI-2709_2019_A_10_3171_5056,*CCAH,*PESP,2
5,FFS-1302_2016_A_03_2043_2677,*CCAH,*POEN,2
11,FFS-1302_2016_B_10_1050_833,*CCAH,*POEN,2
164,HAW-3445_2019_A_23_2874_3592,*CCAH,*RDMA,2
4,FFS-1302_2016_A_03_1866_3185,*CCAH,*TURFH,2
14,FFS-1302_2016_B_10_274_3157,*CCAH,*TURFH,2
19,FFS-1302_2016_B_10_440_3044,*CCAH,*TURFH,2
94,HAW-3385_2019_A_21_2155_3234,*CCAH,*TURFH,2
95,HAW-3385_2019_A_21_232_2724,*CCAH,*TURFH,2
187,HAW-3465_2019_A_14_3275_4015,*CCAH,*TURFH,2
189,HAW-3465_2019_A_14_863_755,*CCAH,*TURFH,2
194,HAW-3734_2019_A_04_2647_5125,*CCAH,*TURFH,2
196,HAW-3734_2019_A_04_3372_3118,*CCAH,*TURFH,2
375,KAH-646_2019_A_03_2755_1036,*CCAH,*TURFH,2
378,KAH-646_2019_A_03_471_4476,*CCAH,*TURFH,2
379,KAH-646_2019_A_03_525_4086,*CCAH,*TURFH,2
410,KAH-663_2019_A_17_545_1718,*CCAH,*TURFH,2
446,KAU-2100_2019_A_10_3189_16,*CCAH,*TURFH,2
476,KUR-4039_2015_A_05_2787_984,*CCAH,*TURFH,2
555,LAN-1795_2019_A_10_2026_4822,*CCAH,*TURFH,2
653,LIS-4103_2015_A_12_1797_2718,*CCAH,*TURFH,2
693,LIS-652_2016_A_10_134_527,*CCAH,*TURFH,2
745,MAI-2459_2019_A_11_2507_1991,*CCAH,*TURFH,2
749,MAI-2459_2019_A_11_531_4537,*CCAH,*TURFH,2
760,MAI-2481_2019_A_05_755_4241,*CCAH,*TURFH,2
768,MAI-2502_2019_A_27_372_5376,*CCAH,*TURFH,2
778,MAI-2541_2019_A_19_3333_1488,*CCAH,*TURFH,2
797,MAI-2664_2019_A_07_259_1412,*CCAH,*TURFH,2
828,MAI-2686_2019_A_07_3390_3174,*CCAH,*TURFH,2
879,NII-1997_2019_A_26_74_3027,*CCAH,*TURFH,2
895,NII-2552_2019_A_16_3240_447,*CCAH,*TURFH,2
595,LAN-2018_2019_A_10_2617_4611,*CCAR,*CCAH,2
794,MAI-2664_2019_A_07_1806_2445,*CCAR,*CCAH,2
261,IMG_0582_1362_733,*CCAR,*TURFH,2
441,KAU-2100_2019_A_10_1364_4300,*CCAR,*TURFH,2
439,KAU-1928_2019_A_18_3587_1779,*DICO,*CCAH,2
786,MAI-2567_2019_A_06_3037_4816,*DICO,*GRMA,2
56,HAW-3354_2019_A_23_2695_2331,*DICO,*TURFH,2
57,HAW-3354_2019_A_23_3515_2076,*DICO,*TURFH,2
115,HAW-3433_2019_A_28_2460_5133,*DICO,*TURFH,2
129,HAW-3434_2019_A_05_90_4771,*DICO,*TURFH,2
185,HAW-3465_2019_A_14_2878_715,*DICO,*TURFH,2
202,HAW-4221_2019_A_03_1994_2062,*DICO,*TURFH,2
435,KAU-1928_2019_A_18_262_384,*DICO,*TURFH,2
69,HAW-3367_2019_A_20_424_2953,*DICT,*TURFH,2
101,HAW-3391_2019_A_14_1036_4152,*EMA,*CCAH,2
183,HAW-3465_2019_A_14_2398_4520,*EMA,*CCAH,2
257,IMG_0353_2450_845,*EMA,*CCAH,2
99,HAW-3385_2019_A_21_3429_139,*EMA,*PESP,2
163,HAW-3445_2019_A_23_2492_1748,*EMA,*PESP,2
36,FFS-4153_2015_A_10_2805_1298,*EMA,*TURFH,2
39,FFS-4153_2015_A_10_787_1354,*EMA,*TURFH,2
52,HAW-3354_2019_A_23_1340_66,*EMA,*TURFH,2
102,HAW-3391_2019_A_14_1918_581,*EMA,*TURFH,2
107,HAW-3391_2019_A_14_3616_1287,*EMA,*TURFH,2
167,HAW-3445_2019_A_23_3568_2358,*EMA,*TURFH,2
228,HAW-4249_2019_A_02_362_3978,*EMA,*TURFH,2
254,IMG_0353_1955_2462,*EMA,*TURFH,2
255,IMG_0353_2012_2699,*EMA,*TURFH,2
256,IMG_0353_2131_2449,*EMA,*TURFH,2
392,KAH-662_2019_A_01_2089_3550,*EMA,*TURFH,2
396,KAH-662_2019_A_01_3187_1060,*EMA,*TURFH,2
397,KAH-662_2019_A_01_3418_2032,*EMA,*TURFH,2
535,LAN-1778_2019_A_07_2892_1864,*EMA,*TURFH,2
638,LAN-2074_2019_A_24_464_1857,*EMA,*TURFH,2
235,HAW-4272_2019_A_17_329_4015,*EMA,*TURFR,2
236,HAW-4272_2019_A_17_3482_1276,*EMA,*TURFR,2
38,FFS-4153_2015_A_10_742_1556,*GRMA,*TURFH,2
831,MAI-2706_2019_A_19_1253_3315,*HALI,*GRMA,2
998,PHR-4075_2015_A_06_50_1576,*HALI,*MICR,2
698,LIS-652_2016_A_10_2874_3140,*HALI,*SHAD,2
684,LIS-4136_2015_A_04_1721_3710,*HALI,*TURFH,2
686,LIS-4136_2015_A_04_2603_1075,*HALI,*TURFH,2
687,LIS-4136_2015_A_04_2830_3725,*HALI,*TURFH,2
690,LIS-4136_2015_A_04_654_2168,*HALI,*TURFH,2
625,LAN-2074_2019_A_04_1914_778,*HARD,*MOEN,2
761,MAI-2502_2019_A_27_1525_1677,*LEPT,*MOEN,2
330,KAH-619_2019_A_02_823_2852,*MOEN,*MOBR,2
614,LAN-2068_2019_A_05_200_3275,*MOEN,*MOBR,2
731,MAI-2382_2019_A_13_136_2857,*MOEN,*MOBR,2
322,KAH-619_2019_A_02_2271_620,*MOEN,*MOFO,2
514,LAN-1768_2019_A_09_1607_3480,*MOEN,*MOFO,2
