"","unique","jonathan.charendoff","leerm","Bex.Turner","ed0ard0sena","samantha.darin","mskye13","michaela.wong","kaylyn.mccoy","count"
"1","AGU-532_IMG_9142_580_4878","MOBF","MOBF","MOBF","MOBF","MOBF","MOBF","MOBF","UI",2
"2","AGU-532_IMG_9142_1622_3187","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"3","AGU-532_IMG_9142_2766_2694","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"4","AGU-532_IMG_9142_2749_4682","PAMA","PAMA","PAMA","PAMA","PAMA","PAMA","PAMA","POBR",2
"5","AGU-532_IMG_9142_3389_1870","PAEN","PAEN","PAEN","PAEN","PAEN","PAEN","PAEN","CCAH",2
"6","AGU-541_IMG_9632_3987_2577","CYPS","CYPS","ASSP","ASSP","CYPS","CYPS","CYPS","CYPS",2
"7","AGU-543_IMG_9673_125_5046","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"8","AGU-543_IMG_9673_3447_1329","CCAH","CCAH","CCAH","CCAH","TURFH","TURFH","TURFH","CCAH",2
"9","AGU-548_IMG_1423_487_3851","HALI","HALI","HALI","HALI","TURFH","HALI","HALI","HALI",2
"10","AGU-548_IMG_1423_203_4002","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"11","AGU-548_IMG_1423_1646_5213","ASSP","CYPS","ASSP","ASSP","ASSP","ASSP","ASSP","ASSP",2
"12","AGU-558_IMG_9708_434_1844","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"13","AGU-558_IMG_9708_1761_3218","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"14","AGU-558_IMG_9713_1438_3687","CCAH","CCAH","CCAH","TURFH","CCAH","TURFH","CCAH","CCAH",2
"15","AGU-558_IMG_9713_1618_847","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"16","AGU-558_IMG_9713_2312_2882","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"17","AGU-558_IMG_9713_2542_4803","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"18","AGU-558_IMG_9713_2400_4438","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"19","AGU-558_IMG_9720_241_1650","TURFH","CCAH","CCAH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"20","AGU-558_IMG_9720_1881_4150","HALI","TURFH","HALI","TURFH","TURFH","HALI","HALI","HALI",2
"21","ASC-366_2017_A_11_440_3944","CYPS","CYPS","ASSP","CYPS","CYPS","CYPS","CYPS","CYPS",2
"22","ASC-366_2017_A_11_1720_1274","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BGMA",2
"23","ASC-369_2017_A_26_412_1343","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH",2
"24","ASC-369_2017_A_26_2739_5357","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","CCAH",2
"25","ASC-372_2017_A_10_1404_2031","CCAH","CCAH","PESP","CCAH","CCAH","CCAH","CCAH","CCAH",2
"26","ASC-372_2017_A_10_2132_698","GOAL","GOAL","GASP","GOAL","GOAL","GOAL","GOAL","GASP",2
"27","ASC-372_2017_A_10_2739_275","GOAL","GOAL","GASP","GOAL","GOAL","GOAL","GOAL","GASP",2
"28","ASC-372_2017_A_10_2489_2586","CCAH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"29","ASC-372_2017_A_10_3224_5125","PESP","PESP","EMA","EMA","PESP","PESP","PESP","EMA",2
"30","ASC-373_2017_A_29_44_1084","EMA","TURFH","TURFH","EMA","TURFH","TURFH","TURFH","EMA",2
"31","ASC-373_2017_A_29_779_1028","EMA","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"32","ASC-373_2017_A_29_1090_410","TURFH","SHAD","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH",2
"33","ASC-373_2017_A_29_989_1747","POMA","POMA","POMA","POMA","POMA","POMA","POMA","POEN",2
"34","ASC-373_2017_A_29_1262_341","EMA","TURFH","EMA","TURFH","TURFH","TURFH","TURFH","TURFH",2
"35","ASC-377_2017_A_27_2675_1639","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","DICO","TURFH",2
"36","ASC-379_2017_A_04_441_4624","FASP","FASP","FASP","FASP","GONS","FASP","FASP","GONS",2
"37","ASC-379_2017_A_04_833_5110","TURFH","TURFH","CCAH","TURFH","CCAH","CCAH","TURFH","CCAH",2
"38","ASC-379_2017_A_04_2425_2656","EMA","TURFH","TURFH","EMA","TURFH","TURFH","TURFH","TURFH",2
"39","ASC-379_2017_A_04_2654_4006","EMA","TURFH","EMA","TURFH","TURFH","TURFH","TURFH","TURFH",2
"40","ASC-379_2017_A_04_2199_5403","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"41","ASC-380_2017_A_02_23_417","POMA","POEN","POEN","POEN","POEN","POEN","POEN","POEN",2
"42","ASC-380_2017_A_02_731_1211","TURFH","TURFH","TURFH","EMA","TURFH","TURFH","EMA","TURFH",2
"43","ASC-380_2017_A_02_857_1551","OCTO","OCTO","OCTO","OCTO","USC","OCTO","USC","OCTO",2
"44","ASC-385_2017_A_12_1792_1977","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"45","ASC-385_2017_A_12_1905_3229","TURFH","TURFH","TURFH","CCAH","TURFH","CCAH","CCAH","CCAH",2
"46","ASC-386_2017_A_25_366_3220","POMA","POEN","POEN","POMA","POMA","POMA","POMA","POMA",2
"47","ASC-386_2017_A_25_784_2443","POMA","POEN","POEN","POMA","POMA","POEN","POMA","POMA",2
"48","ASC-386_2017_A_25_774_4545","SHAD","SHAD","SHAD","SHAD","SHAD","ZO","SHAD","SHAD",2
"49","ASC-386_2017_A_25_3220_2577","POMA","POEN","POEN","POEN","POEN","POEN","POMA","POEN",2
"50","ASC-388_2017_A_01_903_2281","LEPT","LEPT","ENC","LEPT","LEPT","LEPT","LEPT","LEPT",2
"51","ASC-392_2017_A_21_116_319","HALI","HALI","HALI","SHAD","SHAD","SHAD","HALI","SHAD",2
"52","ASC-394_2017_A_27_1174_3194","SHAD","SHAD","SHAD","SHAD","TURFH","TURFH","SHAD","SHAD",2
"53","ASC-394_2017_A_27_1214_3319","PESP","TURFH","PESP","PESP","TURFH","TURFH","PESP","PESP",2
"54","ASC-394_2017_A_27_2035_352","TURFH","TURFH","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH",2
"55","ASC-401_2017_A_15_2238_3952","SAND","SAND","SAND","TURFH","TURFH","SAND","TURFH","SAND",2
"56","ASC-401_2017_A_15_2179_3396","SAND","SAND","SAND","SAND","TURFH","SAND","TURFH","SAND",2
"57","FDP-251_2017_A_24_965_851","TURFR","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFR",2
"58","FDP-251_2017_A_24_1370_1483","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"59","FDP-251_2017_A_24_1626_1715","EMA","TURFH","TURFH","TURFH","EMA","TURFH","TURFH","TURFH",2
"60","FDP-251_2017_A_24_1229_3120","TURFR","TURFH","TURFR","TURFR","TURFH","TURFH","TURFH","TURFR",2
"61","FDP-251_2017_A_24_1241_3920","TURFR","TURFH","TURFR","TURFH","TURFH","TURFH","TURFH","TURFH",2
"62","FDP-251_2017_A_24_2345_3848","SAND","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","SAND",2
"63","FDP-254_2017_A_16_788_2832","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"64","FDP-254_2017_A_16_1836_4319","CCAH","TURFH","CCAH","CCAH","CCAH","TURFH","CCAH","CCAH",2
"65","FDP-254_2017_A_16_3411_3678","CCAH","TURFH","TURFH","CCAH","CCAH","TURFH","TURFH","CCAH",2
"66","FDP-282_2017_A_16_218_1710","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"67","FDP-282_2017_A_16_728_1598","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"68","FDP-282_2017_A_16_1238_3385","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"69","FDP-282_2017_A_16_2154_1379","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"70","FDP-282_2017_A_16_1938_2985","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"71","FDP-282_2017_A_16_2563_1782","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"72","FDP-282_2017_A_16_2829_2732","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"73","GUA-2662_IMG_2505_1752_3539","CCAH","TURFH","TURFH","CCAH","CCAH","TURFH","TURFH","TURFH",2
"74","GUA-2662_IMG_2505_4523_3072","TURFH","TURFH","TURFH","TURFH","TURFH","HALI","TURFH","TURFH",2
"75","GUA-2662_IMG_2515_736_1031","POCS","POCS","ACBR","POCS","POCS","POCS","POCS","POCS",2
"76","GUA-2662_IMG_2515_4266_3502","PESP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"77","GUA-2677_IMG_9574_623_3297","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"78","GUA-2677_IMG_9574_451_3637","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"79","GUA-2677_IMG_9574_2732_548","CCAH","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH",2
"80","GUA-2677_IMG_9574_2800_2327","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH","TURFH","TURFH",2
"81","GUA-2684_IMG_0688_468_1380","PAMA","PAMA","PAEN","PAMA","PAMA","PAMA","PAMA","PAMA",2
"82","GUA-2684_IMG_0688_1225_486","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH","CCAH",2
"83","GUA-2684_IMG_0688_3596_744","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","CCAH","CCAH",2
"84","GUA-2684_IMG_0688_3452_1963","CCAH","SP","CCAH","CCAH","CCAH","CCAH","SP","CCAH",2
"85","GUA-2684_IMG_0688_3134_1516","CCAH","TURFH","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH",2
"86","GUA-2696_IMG_2566_25_2244","SHAD","TURFH","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH",2
"87","GUA-2696_IMG_2566_1794_1339","TURFH","TURFH","PADI","TURFH","TURFH","TURFH","PADI","PADI",2
