unique,Bex.Turner,ed0ard0sena,jonathan.charendoff,leerm,mskye13,samantha.darin,count
AGU-532_IMG_9142_34_69,SHAD,TURFH,ENC,GONS,GONS,GONS,4
AGU-541_IMG_9632_5295_3162,UNK,POEN,POMA,CCAH,POMA,POEN,4
AGU-541_IMG_9632_5307_3047,UNK,CCAH,SAND,POEN,SAND,CCAH,4
AGU-548_IMG_1423_1893_2193,EMA,TURFH,HALI,SHAD,TURFH,TURFH,4
AGU-548_IMG_1423_3177_1521,TURFH,TURFH,POEN,ENC,POEN,ACAS,4
AGU-558_IMG_9708_1079_3518,CCAH,EMA,PESP,PESP,TURFH,TURFH,4
AGU-558_IMG_9708_2190_1853,ENC,ENC,MOEN,POEN,MOEN,SP,4
AGU-558_IMG_9708_3151_3221,EMA,ENC,MOEN,POEN,MOEN,POEN,4
AGU-558_IMG_9708_3482_2739,SHAD,EMA,EMA,PESP,TURFH,TURFH,4
AGU-558_IMG_9708_360_297,TURFH,EMA,HALI,TURFH,BGMA,BGMA,4
AGU-558_IMG_9713_2996_4034,PESP,ENC,CYPS,BGMA,CYPS,TURFH,5
AGU-558_IMG_9720_1977_4158,EMA,PESP,HALI,RDMA,CCAH,TURFH,6
AGU-558_IMG_9720_2067_672,EMA,PESP,HALI,TURFH,HALI,TURFH,4
AGU-558_IMG_9720_2182_708,EMA,TURFH,HALI,SHAD,HALI,TURFH,4
AGU-558_IMG_9720_2994_5238,HALI,BGMA,HALI,UPMA,HALI,TURFH,4
AGU-558_IMG_9720_3287_2091,EMA,HALI,HALI,TURFR,TURFH,TURFH,4
AGU-558_IMG_9720_3357_5382,CCAH,TURFH,EMA,PESP,TURFH,TURFH,4
ASC-366_2017_A_11_2987_2997,ASTS,CYPS,CYPS,FASP,CYPS,ASSP,4
ASC-369_2017_A_26_2413_3604,TURFH,PESP,EMA,PESP,TURFH,BGMA,4
ASC-373_2017_A_29_1506_828,CCAH,TURFH,PESP,SHAD,TURFH,PESP,4
ASC-377_2017_A_27_2071_1441,EMA,HALI,HALI,UPMA,TURFH,BGMA,5
ASC-379_2017_A_04_193_701,ENC,PAEN,ECHP,TURS,ECHP,TURS,4
ASC-379_2017_A_04_3069_2961,ASSP,PAEN,ECHP,TURS,ECHP,TURS,4
ASC-379_2017_A_04_3076_2841,ASSP,PAEN,ECHP,TURS,ECHP,TURS,4
ASC-380_2017_A_02_461_643,GRMA,TURFH,CAUL,UPMA,GRMA,TURFH,4
ASC-385_2017_A_12_1279_344,TURFH,SHAD,SHAD,BGMA,TURFH,HALI,4
ASC-385_2017_A_12_147_4869,UNK,BGMA,SHAD,CCAH,CCAH,CCAH,4
ASC-385_2017_A_12_2485_5067,PESP,BGMA,PESP,TURFH,EMA,TURFH,4
ASC-385_2017_A_12_2784_4438,PESP,BGMA,PESP,TURFH,EMA,BGMA,4
