REGION,REP_CARD,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,bA_BENTHIC_REP_CARD,bBENTHIC_SEC_CODE,bGEN_MHI_STRUCTURE,bPROTECTION_DS,AREA_HA,NH,MARIAN_2017,ASRAMP_2018,NOTES
CT,NOT,Timor Leste,ATA,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,ATA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,ATA,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,ATA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,BAU,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,BAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,BAU,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,BAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,BOB,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,BOB,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,BOB,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,BOB,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,DIL,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,DIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,DIL,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,DIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,LAU,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,LAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,LAU,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,LAU,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,LIQ,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,LIQ,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,LIQ,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,LIQ,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,MAN,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,MAN,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,MAN,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,MAN,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,OEC,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,OEC,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,OEC,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,OEC,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,VIL,Forereef,Mid,Timor Leste,Timor Leste,NA,NA,1,NA,,VIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,NOT,Timor Leste,VIL,Forereef,Shallow,Timor Leste,Timor Leste,NA,NA,1,NA,,VIL,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
MARIAN,NOT,11-mile bank,11-mile bank,Forereef,Deep,11-mile bank,11-mile bank,NA,NA,2.642415605,NA,11-mile bank,11-mile bank,
MARIAN,CNMI_UNPOP,Agrihan,Agrihan,Forereef,Deep,AGR,AGR,NOT,OPEN,455.6356862,1823,AGR_OPEN,Agrihan,
MARIAN,CNMI_UNPOP,Agrihan,Agrihan,Forereef,Mid,AGR,AGR,NOT,OPEN,51.8014133,207,AGR_OPEN,Agrihan,
MARIAN,CNMI_UNPOP,Agrihan,Agrihan,Forereef,Shallow,AGR,AGR,NOT,OPEN,343.1901754,1373,AGR_OPEN,Agrihan,
MARIAN,SaTiAg,Aguijan,Aguijan,Forereef,Deep,AGU,AGU,NOT,OPEN,119.2887963,477,AGU_OPEN,Aguijan,
MARIAN,SaTiAg,Aguijan,Aguijan,Forereef,Mid,AGU,AGU,NOT,OPEN,129.0007981,516,AGU_OPEN,Aguijan,
MARIAN,SaTiAg,Aguijan,Aguijan,Forereef,Shallow,AGU,AGU,NOT,OPEN,157.3007294,629,AGU_OPEN,Aguijan,
MARIAN,CNMI_UNPOP,Alamagan,Alamagan,Forereef,Deep,ALA,ALA,NOT,OPEN,112.8532954,451,ALA_OPEN,Alamagan,
