"","Mean.SEC_NAME","Mean.OBS_YEAR","Mean.N","Mean.CORAL","Mean.MA","Mean.TURF","Mean.UC","Mean.CCA","Mean.TW","Mean.EMA","Mean.SC","Mean.I","Mean.SED","Mean.HAL","Mean.MF","Mean.TOT_AREA_WT","PooledSE.SEC_NAME","PooledSE.OBS_YEAR","PooledSE.N","PooledSE.CORAL","PooledSE.MA","PooledSE.TURF","PooledSE.UC","PooledSE.CCA","PooledSE.TW","PooledSE.EMA","PooledSE.SC","PooledSE.I","PooledSE.SED","PooledSE.HAL","PooledSE.MF"
"1","HAW_HAMAKUA",2010,10,8.48746372838282,5.40014071863357,67.2845074860275,3.81167353158728,5.91178551071523,1.85558704012111,5.26989639521036,0,0.25553077208741,7.35105988662066,0.0396155023225091,0,4930.831404,"HAW_HAMAKUA",2010,10,2.27076256854331,1.89225008927169,3.11252648476196,0.960836439102428,1.07792367839421,0.272049582262557,1.51735826794609,0,0.161918205078453,2.13093896072361,0.0396066374514942,0
"2","HAW_KONA",2010,21,27.592057680201,1.35764545803966,48.2445121167309,7.44710559648197,9.01511157578748,0.594865934973795,8.32078808049115,0,0.0576333739445389,5.24970133281725,0.162550381987969,0.265189096643479,5727.459565,"HAW_KONA",2010,21,2.78678874645711,0.626274553337409,2.96800646114387,1.93118489273305,1.41645433880842,0.11436297662326,2.00210473553595,0,0.0333213323523639,1.07083723250601,0.0614329802266441,0.079283953969516
"3","HAW_PUNA",2010,11,13.866952908594,1.98182083286771,52.1598048496195,5.54602058784811,16.3966453204333,1.34006277847084,8.93555679151054,0,0.340008050384918,6.08197530167232,0.237235944917658,0.0934750341252384,3050.747533,"HAW_PUNA",2010,11,4.83253146573117,0.686618723159251,4.65085988176511,0.921094578484536,1.87968842189108,0.229627724076006,1.39513005123673,0,0.179484554761606,0.975737628255147,0.127624774525466,0.0531745486092223
"4","KAU_EAST",2010,19,8.00684584427581,5.37066596686075,67.2037027834702,3.72218661213181,9.74836359684373,1.30092472889731,5.28097946925752,0.0752958805567563,0.197819275327109,3.50275376577393,0.613573417634161,0,11545.393814,"KAU_EAST",2010,19,2.03525066580097,1.04644974461938,3.32146853424824,0.809131069920916,1.53429331279475,0.21159297186766,1.60504609028006,0.0752698321334563,0.130528129171167,1.1597302500095,0.185865779100058,0
"5","KAU_NAPALI",2010,5,4.50257210005355,5.96768599781536,73.6013779972303,2.60397990006463,2.63398723106803,0.793446709828091,9.74682621454364,0,0.355425429710661,3.15749418965075,0.0346308399277516,0,6183.949577,"KAU_NAPALI",2010,5,0.759540674430396,3.09983174666523,2.58698533304859,0.837326042129884,0.63210725511563,0.0584830659650196,2.77289063224277,0,0.355404802970408,1.26460137152232,0.034623916763512,0
"6","LAN_NORTH",2010,2,20.8591065292096,6.40590256721245,63.6365474024661,9.63412168991308,6.155245603396,0.735799474428947,2.08409136850617,0,0,0.515463917525773,0.343642611683849,0,631.8075072,"LAN_NORTH",2010,2,19.1333181089582,5.61936399419291,15.3951579546047,7.22576254700965,1.6872236372352,0.0484950506510715,1.05274672455034,0,0,0.515259913167635,0.343506608778423,0
"7","LAN_SOUTH",2010,12,24.326220594808,6.63688505396476,58.9292558329317,4.771211609701,4.29827724605008,0.853332356457992,2.02041213534492,0,0,3.29076482190559,0.498184314994867,0.0587268706921829,1480.6639285,"LAN_SOUTH",2010,12,6.68989336376047,3.55802269384958,7.97442471770941,1.0049638778757,0.788463474655022,0.132351142806444,0.50957220501003,0,0,1.18836836597713,0.212036090862875,0.0586678049134024
"8","MAI_HANA",2010,4,2.99546997728814,8.65643515946465,75.5929319696463,1.77960895935365,6.66490924457743,0.534609333497798,2.28574399057856,0,0.292958790977973,3.51155086746693,0,0.0728260671953011,448.4780961,"MAI_HANA",2010,4,0.850733756376826,6.75814072085737,4.57095960891979,0.210097995986165,2.33187932922429,0.175146749600314,0.810427748485912,0,0.292675209238139,1.26345859487472,0,0.0727302239171523
"9","MAI_KIHEI",2010,8,37.7660610620751,3.75097239572699,41.0212983817033,5.13550967732082,7.286291636775,0.911892054275051,3.25779333809731,0,0,6.01360236095493,0.903980824667425,0.650053276410757,1870.5576913,"MAI_KIHEI",2010,8,9.18363024198315,2.53499709975446,8.14549745112808,2.21331779986969,2.23720218424892,0.25795668208951,0.870022593803615,0,0,1.81061016847279,0.903484015922751,0.40945335348166
"10","MAI_LAHAINA",2010,6,24.0810590181571,6.06411900349325,50.6106398444996,5.43792539798384,3.23925818332661,0.731809753509121,2.3028602573019,0,0,13.0644193538226,0.637644339398852,0.712770858077818,923.2765979,"MAI_LAHAINA",2010,6,12.7831685257233,3.08340272882476,10.1939062073053,1.74341242330783,1.63676456987332,0.16181078611592,1.89743999008561,0,0,6.16428634752408,0.637150033277051,0.603571138174729
"11","MAI_NE",2010,7,1.95190387269447,15.1306408104612,63.9231599215907,2.25817023891065,5.25968569833759,0.802432271244903,3.90767131676005,0,0.267311568047814,8.90928881037605,0.650338001732152,0,2291.3105766,"MAI_NE",2010,7,0.876375099834438,3.3639690211876,5.5470677652361,0.428916707728797,1.77944976055262,0.160790368494816,0.945245304657134,0,0.233615031258154,5.41903145434408,0.47647298656776,0
"12","MAI_NW",2010,4,8.83631192894859,5.45632719783533,64.8836468396517,5.68044301816697,7.18758230567663,0.458581281749881,8.93394750472848,0,0.0677992068260228,3.86173891447915,0.772646101854076,0,463.8612162,"MAI_NW",2010,4,4.93204500405679,1.65515305236655,9.64236992453371,1.99365400611737,0.31615008025154,0.0991511896686633,3.438689959031,0,0.0677028965802128,0.329355922244233,0.771974514581506,0
"13","MOL_SOUTH",2010,4,50.496687052595,2.6331971750302,34.085116542876,5.10920171607536,4.83239206474302,0.527875446688437,5.75060622026818,0,0,2.20200094448766,0,0,603.9775235,"MOL_SOUTH",2010,4,7.82126834196117,1.27755411843719,10.2490480961446,0.432684412633354,0.995709724633758,0.226871317733085,4.36542406467258,0,0,0.662390712589576,0,0
"14","MOL_WEST",2010,4,17.8313965769663,6.39094227245414,53.0131608416747,1.61182877237997,1.75830476989982,1.03864974097779,2.10927596794315,0,0,17.7393896877435,1.15752988331842,0,2634.962602,"MOL_WEST",2010,4,14.0943818105851,5.16676498022253,3.3055650951627,0.617417170528654,0.680765454617458,0.534885691278288,1.54461823680996,0,0,12.7785768233637,0.90133217411233,0
"15","NII_EAST",2010,7,1.80896702529085,13.5863625037584,70.5704777868295,2.2643447801897,2.84047643993336,1.04846678761701,1.37590971689062,0,0,9.45784254690193,0.359963980395305,0.107411712016251,1641.4614035,"NII_EAST",2010,7,0.821542016856126,7.46754236571152,7.96403335476903,0.985683763707092,1.11788984810736,0.529949632826472,0.78627277114623,0,0,1.97871969236632,0.172409781479999,0.0816973284504142
"16","NII_WEST",2010,8,0.947993305285027,5.27424887939632,76.6434656165877,3.22504905719349,4.8630942855825,0.855244764457375,5.3457406102118,0,0.0468206835632707,6.87863661937344,0,0.131011982100114,5380.849639,"NII_WEST",2010,8,0.279352129874533,1.87224035302522,3.87904121540251,0.974801620114573,0.614533400719028,0.132686698300027,1.73669552283742,0,0.0468128611818606,2.29132726996547,0,0.0769108669982334
"17","OAH_EAST",2010,10,8.2943898031115,10.4849108118311,59.8750281331681,2.197625981905,3.54719732164301,0.744567444317832,2.00877878846951,0,0.120786313790522,14.900966535476,0.767942292510272,0.0865443781269071,4369.0862881,"OAH_EAST",2010,10,2.19816132596099,3.15907207702991,2.04656517019348,0.723010263186752,0.749733600381457,0.160344597823015,0.911667910062783,0,0.0909534527351315,4.40318332302867,0.617030345565523,0.057351172712962
"18","OAH_NE",2010,6,11.682773454631,9.52719327712696,58.99287680123,5.72224921978509,10.4286990299063,1.46521301007565,4.38388980983408,0,0,3.15599841871104,1.82856920856056,0.0954036469007648,3819.0808527,"OAH_NE",2010,6,3.03675899331188,3.98266256422659,5.69070739972492,3.23186299009078,3.32982651802965,0.495253391005976,2.64505462359827,0,0,1.57505082737088,0.31127940611686,0.0953925134659367
"19","OAH_SOUTH",2010,24,5.98291075514422,9.01319193473907,67.6061236335772,2.15912832737969,3.37629863573003,0.770247579966212,1.78812204943933,0,0.0561928718710741,11.9086137323001,0.268546387198983,0.22047818940562,9041.70869,"OAH_SOUTH",2010,24,1.45793566782649,2.28465829308656,2.61100235173343,0.48216040856311,0.903521598002312,0.123770354958841,0.750254634461913,0,0.0313933493846693,2.40089919045747,0.139635989849666,0.0873249034958583
"20","Ofu & Olosega",2010,30,24.4776983459751,0.779825901561881,20.6772781784528,11.6499439952037,38.294098658963,3.72587012871439,6.81192836972693,0.154290765120362,5.17040324798702,2.45122672540432,1.18324980680862,0.0744863121737508,793.3725,"Ofu & Olosega",2010,30,1.77903705325633,0.327461275024558,3.25717464114491,1.51296184651765,2.74739232958708,0.428031394130918,0.869944572010526,0.0832676558001576,2.19761668692568,0.849582894926177,0.553490884583519,0.0683412050598409
"21","ROS_INNER",2010,10,1.27384795129997,0.273296506234961,72.625411439442,1.25991921847986,12.3369877321124,4.50459843799305,4.84659061791346,0,0,8.5784233493795,0.0654424036176646,0,275.6062,"ROS_INNER",2010,10,0.744542773998167,0.164794730013645,4.52707523153757,0.779245955604064,4.09384671549594,0.967030177407174,2.39431260542873,0,0,4.35678183147561,0.0651277748547287,0
"22","ROS_SANCTUARY",2010,24,15.9481216877178,5.50456965387691,16.2560585831766,2.21584399628914,44.6427287502487,3.4245464160981,9.62199550060138,0.558718645307056,1.72334793748449,0.387913510535258,5.35654573105182,0,120.295,"ROS_SANCTUARY",2010,24,3.05447743851043,2.17337619154778,1.57683095869313,0.352662056743481,3.30760948541135,0.376576033725853,0.835066655250625,0.226117843977226,1.09732422438429,0.151813554252684,1.49675120212019,0
"23","South Bank",2010,2,2.2788614893878,24.1682002208318,49.7337749969329,2.10280947123052,2.62667157404,2.97632192369035,6.47773279352227,0.174825174825175,0.524475524475524,13.3143172616857,0.701140964298859,0,25,"South Bank",2010,2,1.21754921775895,0.0419006962720028,1.99423023996029,0.697130424931309,0.168817298023435,0.514953484618249,1.20236780606619,0.173068093297407,0.51920427989222,2.45027984721065,0.347957955997944,0
"24","SWA_OPEN",2010,5,18.9287646252563,11.4666373092952,21.8160492118143,3.78001784947314,32.1170412002617,1.58406028018789,15.6715076533725,0,0,0,0,0,223.0820773,"SWA_OPEN",2010,5,0.941294203316965,9.27343646516414,0.688818409615154,2.38045319642682,12.1106230709541,0.807175827557002,4.38301728024264,0,0,0,0,0
"25","SWA_SANCTUARY",2010,18,38.8420545916279,5.69599077123979,25.08001309882,3.35475634906772,12.827084627373,2.28843804730737,17.1959192324078,0,0.0630181171156977,0.29591956141585,0,0,280.50301822,"SWA_SANCTUARY",2010,18,5.01636824437896,1.00757277270387,4.74977879848116,0.614571187532429,0.809545578414445,0.217139324472346,2.17017814393814,0,0.0538394525230285,0.202517323450073,0,0
"26","TAU_OPEN",2010,22,25.027119289139,0.136134171238937,21.9937671419616,5.51921725378384,28.8407771988498,3.86138414186591,15.2989636085389,0.1231961280885,4.26524053760666,2.77669307601197,1.53810884856469,0.0273960857202916,903.87,"TAU_OPEN",2010,22,2.75764580885587,0.0644553583986084,4.54118637913569,0.836274001831794,3.74664265836095,0.365735658001155,1.09498640158405,0.0813610850275003,1.12468433643269,1.32038492195869,0.365450605903633,0.0272419921097829
"27","TUT_AUNUU_A",2010,6,16.7318640415277,0.224727095368866,55.1275201880517,2.3364187415576,13.7773116990143,2.58021768223857,6.56959296353088,0,0.948055825585428,0.387582571496097,6.23334561542499,0.261833941045738,1272.20944,"TUT_AUNUU_A",2010,6,10.4206923384361,0.186312010585762,20.838601130277,0.363756316646362,7.76711933536994,0.39478889359459,1.78464216618242,0,0.906840403819529,0.110733455856877,3.33549027375982,0.261621795543609
"28","TUT_AUNUU_B",2010,3,6.8184166274778,0.241545893719807,64.9033460162741,7.52702250153193,11.0675580351417,4.72501888190615,8.48287446738774,0,0.462962962962963,7.72831074629843,0.294985250737463,0,654.85,"TUT_AUNUU_B",2010,3,1.35650750802736,0.241407532781801,9.92269509156246,4.80972522467864,6.95186295281511,1.1774450436909,4.12377083739047,0,0.462697771165118,4.54333771139813,0.294816278972465,0
"29","TUT_NE_OPEN",2010,27,20.4167912284349,0.529749721674514,49.4388115749243,3.02842558745072,14.6928464613191,2.89341988416804,7.40811522881565,0.570036744157118,0.70032461602628,4.80569038118468,1.43763404346346,0.0104440354477882,1567.936268,"TUT_NE_OPEN",2010,27,2.31562079746181,0.228628211464758,3.9216343769927,0.557394070998148,2.08666805354867,0.233508403369631,1.39865047386491,0.233460932686405,0.298546855635048,2.19746081947953,0.563997637328984,0.0104165086107959
"30","TUT_NW_OPEN",2010,23,29.9194180634473,0.949903586292956,35.6766142449362,3.93354457999937,17.203187195627,3.68691730068268,9.55004660565991,0.0801653830499984,0.653934558463911,4.25411443768022,1.71261592484249,0,608.4,"TUT_NW_OPEN",2010,23,3.71360150025824,0.319491082304429,4.1405738849182,1.42685932921382,2.51434868899839,0.474755852517829,1.04729764464635,0.0681629974265159,0.204399029011946,1.49142910796864,0.611630993193298,0
