TAXON_NAME,SPCODE,REGION,OBS_YEAR,TAXAGROUP
Acanthastrea sp.,ACAS,MARIAN,2014,GENUS
Acropora sp.,ACSP,MARIAN,2014,GENUS
Alveopora sp.,ALSP,MARIAN,2014,GENUS
Astreopora sp.,ASSP,MARIAN,2014,GENUS
Barabattoia sp.,BARS,MARIAN,2014,GENUS
Coscinaraea sp.,COSP,MARIAN,2014,GENUS
Ctenactis sp.,CTSP,MARIAN,2014,GENUS
Cyphastrea sp.,CYPS,MARIAN,2014,GENUS
Cycloseris sp.,CYSP,MARIAN,2014,GENUS
Diaseris sp.,DIAS,MARIAN,2014,GENUS
Diploastrea sp.,DISP,MARIAN,2014,GENUS
Echinophyllia sp.,ECHL,MARIAN,2014,GENUS
Echinopora sp.,ECHP,MARIAN,2014,GENUS
Euphyllia sp.,EUSP,MARIAN,2014,GENUS
Favia sp.,FASP,MARIAN,2014,GENUS
Favites sp.,FAVS,MARIAN,2014,GENUS
Fungia sp.,FUSP,MARIAN,2014,GENUS
Gardineroseris sp.,GARS,MARIAN,2014,GENUS
Galaxea sp.,GASP,MARIAN,2014,GENUS
Goniastrea sp.,GONS,MARIAN,2014,GENUS
Goniopora sp.,GOSP,MARIAN,2014,GENUS
Halomitra sp.,HASP,MARIAN,2014,GENUS
Herpolitha sp.,HERS,MARIAN,2014,GENUS
Heliopora sp.,HESP,MARIAN,2014,GENUS
Hydnophora sp.,HYSP,MARIAN,2014,GENUS
Isopora sp.,ISSP,MARIAN,2014,GENUS
Leptastrea sp.,LEPT,MARIAN,2014,GENUS
Leptoseris sp.,LESP,MARIAN,2014,GENUS
Lobophyllia sp.,LOBS,MARIAN,2014,GENUS
Merulina sp.,MESP,MARIAN,2014,GENUS
Millepora sp.,MISP,MARIAN,2014,GENUS
Montastraea sp.,MONS,MARIAN,2014,GENUS
Montipora sp.,MOSP,MARIAN,2014,GENUS
Mycedium sp.,MYSP,MARIAN,2014,GENUS
Oulophyllia sp.,OUSP,MARIAN,2014,GENUS
Pachyseris sp.,PACS,MARIAN,2014,GENUS
Pavona sp.,PAVS,MARIAN,2014,GENUS
Pectinia sp.,PESP,MARIAN,2014,GENUS
Plerogyra sp.,PLER,MARIAN,2014,GENUS
Plesiastrea sp.,PLES,MARIAN,2014,GENUS
Platygyra sp.,PLSP,MARIAN,2014,GENUS
Pocillopora sp.,POCS,MARIAN,2014,GENUS
Podabacia sp.,PODS,MARIAN,2014,GENUS
Polyphyllia sp.,POLY,MARIAN,2014,GENUS
Porites sp.,POSP,MARIAN,2014,GENUS
Psammocora sp.,PSSP,MARIAN,2014,GENUS
Sandalolitha sp.,SASP,MARIAN,2014,GENUS
Scapophyllia sp.,SCAS,MARIAN,2014,GENUS
Scolymia sp.,SCSP,MARIAN,2014,GENUS
Seriatopora sp.,SESP,MARIAN,2014,GENUS
Stylocoeniella sp.,STSP,MARIAN,2014,GENUS
Stylaraea sp.,STYP,MARIAN,2014,GENUS
Stylophora sp.,STYS,MARIAN,2014,GENUS
Symphyllia sp.,SYSP,MARIAN,2014,GENUS
Turbinaria sp.,TURS,MARIAN,2014,GENUS
Diploastrea heliopora,DHEL,MARIAN,2014,SPECIES
Favia matthaii,FMAT,MARIAN,2014,SPECIES
Favia stelligera,FSTE,MARIAN,2014,SPECIES
Goniastrea edwardsi,GEDW,MARIAN,2014,SPECIES
Gardineroseris planulata,GPLA,MARIAN,2014,SPECIES
Heliopora coerulea,HCOE,MARIAN,2014,SPECIES
Hydnophora exesa,HEXE,MARIAN,2014,SPECIES
Hydnophora microconos,HMIC,MARIAN,2014,SPECIES
Leptoria phyrigia,LPHY,MARIAN,2014,SPECIES
Leptastrea pupurea,LPUR,MARIAN,2014,SPECIES
Leptastrea transversa,LTRA,MARIAN,2014,SPECIES
Montastraea curta,MCUR,MARIAN,2014,SPECIES
Porites cylindrica,PCYL,MARIAN,2014,SPECIES
Pocillopora eydouxi,PEYD,MARIAN,2014,SPECIES
Psammocora haimeana,PHAI,MARIAN,2014,SPECIES
Porites horizontalata,PHOR,MARIAN,2014,SPECIES
Platygyra daedalea,PLDA,MARIAN,2014,SPECIES
Porites lichen,PLIC,MARIAN,2014,SPECIES
Pavona maldivensis,PMAL,MARIAN,2014,SPECIES
Pocillopora meandrina,PMEA,MARIAN,2014,SPECIES
Porites monticulosa,PMON,MARIAN,2014,SPECIES
Psammocora nierstrazi,PNIE,MARIAN,2014,SPECIES
Platygyra pini,PPIN,MARIAN,2014,SPECIES
Porites rus,PRUS,MARIAN,2014,SPECIES
Psammocora stellata,PSTE,MARIAN,2014,SPECIES
Pavona varians,PVAR,MARIAN,2014,SPECIES
Scapophyllia cylindrica,SCYL,MARIAN,2014,SPECIES
Stylophora pistillata,SPIS,MARIAN,2014,SPECIES
Unknown Scleractinian,UNKN,MARIAN,2014,SPECIES
Acanthastrea sp.,ACAS,MARIAN,2017,GENUS
Acropora sp.,ACSP,MARIAN,2017,GENUS
Aleopora sp,ALSP,MARIAN,2017,GENUS
Astreopora sp.,ASSP,MARIAN,2017,GENUS
Astrea sp.,ASTS,MARIAN,2017,GENUS
Coscinaraea sp.,COSP,MARIAN,2017,GENUS
Ctenactis sp.,CTSP,MARIAN,2017,GENUS
Cyphastrea sp.,CYPS,MARIAN,2017,GENUS
Cycloseris sp.,CYSP,MARIAN,2017,GENUS
Echinophyllia sp,ECHL,MARIAN,2017,GENUS
Echinopora sp.,ECHP,MARIAN,2017,GENUS
Euphyllia sp.,EUSP,MARIAN,2017,GENUS
Favia sp.,FASP,MARIAN,2017,GENUS
Favites sp.,FAVS,MARIAN,2017,GENUS
Fungia sp.,FUSP,MARIAN,2017,GENUS
Gardineroseris sp,GARS,MARIAN,2017,GENUS
Galaxea sp.,GASP,MARIAN,2017,GENUS
Goniastrea sp.,GONS,MARIAN,2017,GENUS
Goniopora sp.,GOSP,MARIAN,2017,GENUS
Heliopora sp,HESP,MARIAN,2017,GENUS
Hydnophora sp.,HYSP,MARIAN,2017,GENUS
Isopora sp.,ISSP,MARIAN,2017,GENUS
Leptoria sp.,LEPS,MARIAN,2017,GENUS
Leptastrea sp.,LEPT,MARIAN,2017,GENUS
Leptoseris sp.,LESP,MARIAN,2017,GENUS
Lobophyllia sp.,LOBS,MARIAN,2017,GENUS
Merulina sp.,MESP,MARIAN,2017,GENUS
Millepora sp,MISP,MARIAN,2017,GENUS
Montastraea sp,MONS,MARIAN,2017,GENUS
Montipora sp.,MOSP,MARIAN,2017,GENUS
Oulophyllia sp.,OUSP,MARIAN,2017,GENUS
Palauastrea,PALS,MARIAN,2017,GENUS
Parascolymia sp,PARA,MARIAN,2017,GENUS
Pavona sp.,PAVS,MARIAN,2017,GENUS
Pectinia sp.,PESP,MARIAN,2017,GENUS
Phymastrea sp.,PHSP,MARIAN,2017,GENUS
Plerogyra sp.,PLER,MARIAN,2017,GENUS
Plesiastrea sp.,PLES,MARIAN,2017,GENUS
Platygyra sp.,PLSP,MARIAN,2017,GENUS
Pocillopora sp.,POCS,MARIAN,2017,GENUS
Porites sp.,POSP,MARIAN,2017,GENUS
Psammocora sp.,PSSP,MARIAN,2017,GENUS
Scapophyllia sp.,SCAS,MARIAN,2017,GENUS
Stylocoeniella sp.,STSP,MARIAN,2017,GENUS
Stylaraea sp.,STYP,MARIAN,2017,GENUS
Stylophora sp.,STYS,MARIAN,2017,GENUS
Turbinaria sp.,TURS,MARIAN,2017,GENUS
Tubastrea sp.,TUSP,MARIAN,2017,GENUS
Acropora abrotanoides,AABR,MARIAN,2017,SPECIES
Acropora aspera,AASP,MARIAN,2017,SPECIES
Astrea curta,ACUR,MARIAN,2017,SPECIES
Acropora digitifera,ADIG,MARIAN,2017,SPECIES
Acropora globiceps,AGLO,MARIAN,2017,SPECIES
Acropora humilis,AHUM,MARIAN,2017,SPECIES
Astreopora listeri,ALIS,MARIAN,2017,SPECIES
Acropora monticulosa,AMON,MARIAN,2017,SPECIES
Astreopora myriophthalma,AMYR,MARIAN,2017,SPECIES
Astreopora randalli,ARAN,MARIAN,2017,SPECIES
Acropora tenuis,ATEN,MARIAN,2017,SPECIES
Acropora verweyi,AVER,MARIAN,2017,SPECIES
Coscinaraea columna,CCOL,MARIAN,2017,SPECIES
Coscinaraea exesa,CEXE,MARIAN,2017,SPECIES
Echinopora lamellosa,ELAM,MARIAN,2017,SPECIES
Echinopora pacificus,EPAC,MARIAN,2017,SPECIES
Favites abdita,FABD,MARIAN,2017,SPECIES
Favia favus,FFAV,MARIAN,2017,SPECIES
Favia matthaii,FMAT,MARIAN,2017,SPECIES
Fungia scutaria,FSCU,MARIAN,2017,SPECIES
Favia stelligera,FSTE,MARIAN,2017,SPECIES
Galaxea astreata,GAAS,MARIAN,2017,SPECIES
Goniastrea edwardsi,GEDW,MARIAN,2017,SPECIES
Galaxea fascicularis,GFAS,MARIAN,2017,SPECIES
Goniopora fruticosa,GFRU,MARIAN,2017,SPECIES
Goniastrea pectinata,GPEC,MARIAN,2017,SPECIES
Gardineroseris planulata,GPLA,MARIAN,2017,SPECIES
Goniastrea retiformis,GRET,MARIAN,2017,SPECIES
Heliopora coerulea,HCOE,MARIAN,2017,SPECIES
Hydnophora microconos,HMIC,MARIAN,2017,SPECIES
Hydnophora rigida,HRIG,MARIAN,2017,SPECIES
Isopora palifera,IPAL,MARIAN,2017,SPECIES
Leptastrea bewickensis,LBEW,MARIAN,2017,SPECIES
Leptoseris incrustans,LINC,MARIAN,2017,SPECIES
Leptoseris mycetoseroides,LMYC,MARIAN,2017,SPECIES
Leptoria phrygia,LPHY,MARIAN,2017,SPECIES
Leptastrea pruinosa,LPRU,MARIAN,2017,SPECIES
Leptastrea purpurea,LPUR,MARIAN,2017,SPECIES
Leptastrea transversa,LTRA,MARIAN,2017,SPECIES
Merulina ampliata,MAMP,MARIAN,2017,SPECIES
Montipora caliculata,MCAL,MARIAN,2017,SPECIES
Montipora incrassata,MINC,MARIAN,2017,SPECIES
Merulina scabricula,MSCA,MARIAN,2017,SPECIES
Oulophyllia crispa,OCRI,MARIAN,2017,SPECIES
Pavona chiriquiensis,PCHI,MARIAN,2017,SPECIES
Psammocora contigua,PCON,MARIAN,2017,SPECIES
Porites cylindrica,PCYL,MARIAN,2017,SPECIES
Pocillopora damicornis,PDAM,MARIAN,2017,SPECIES
Pocillopora danae,PDAN,MARIAN,2017,SPECIES
Psammocora digitata,PDIG,MARIAN,2017,SPECIES
Pavona duerdeni,PDUE,MARIAN,2017,SPECIES
Pocillopora grandis,PGRA,MARIAN,2017,SPECIES
Psammocora haimeana,PHAI,MARIAN,2017,SPECIES
Porites horizontalata,PHOR,MARIAN,2017,SPECIES
