"","SITEVISITID","OBS_YEAR","REGION_NAME","ISLAND","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","SITE_MIN_DEPTH","SITE_MAX_DEPTH"
"1",11767,2018,"American Samoa","Swains","SWA-00788","Forereef","Shallow",-11.046745,-171.081099,"8","10"
"2",12217,2018,"Pacific Remote Island Areas","Jarvis","JAR-02019","Forereef","Shallow",-0.369821,-160.00832,"8","11"
"3",11833,2018,"American Samoa","Tutuila","TUT-02949","Forereef","Mid",-14.27787,-170.723442,"9","11"
"4",11995,2018,"American Samoa","Ofu & Olosega","OFU-01033","Forereef","Shallow",-14.162226,-169.620536,"10","12"
"5",12375,2018,"Pacific Remote Island Areas","Palmyra","PAL-01196","Forereef","Shallow",5.87507,-162.042945,"10","12"
"6",11895,2018,"American Samoa","Tutuila","TUT-02916","Forereef","Shallow",-14.248348,-170.670423,"11","12"
"7",12359,2018,"Pacific Remote Island Areas","Palmyra","PAL-01176","Forereef","Shallow",5.87388,-162.112352,"11","12"
"8",12415,2018,"Pacific Remote Island Areas","Palmyra","PAL-01193","Forereef","Shallow",5.883424,-162.113739,"4","12"
"9",11914,2018,"American Samoa","Tutuila","TUT-02883","Forereef","Shallow",-14.36313,-170.76224,"8","12"
"10",11915,2018,"American Samoa","Tutuila","TUT-02889","Forereef","Shallow",-14.36417,-170.76021,"11","13"
"11",12216,2018,"Pacific Remote Island Areas","Jarvis","JAR-02021","Forereef","Shallow",-0.365375,-160.006035,"11","13"
"12",12395,2018,"Pacific Remote Island Areas","Palmyra","PAL-01153","Forereef","Shallow",5.895465,-162.08955,"12","13"
"13",12353,2018,"Pacific Remote Island Areas","Palmyra","PAL-01142","Forereef","Shallow",5.886696,-162.115748,"9","13"
"14",11994,2018,"American Samoa","Ofu & Olosega","OFU-01031","Forereef","Shallow",-14.166198,-169.627529,"12","14"
"15",12031,2018,"American Samoa","Tau","TAU-01071","Forereef","Shallow",-14.263273,-169.498991,"12","14"
"16",12487,2018,"Pacific Remote Island Areas","Kingman","KIN-00860","Forereef","Shallow",6.404042,-162.344833,"12","14"
"17",12342,2018,"Pacific Remote Island Areas","Palmyra","PAL-01186","Forereef","Shallow",5.895223,-162.113847,"14","15"
"18",12374,2018,"Pacific Remote Island Areas","Palmyra","PAL-01138","Forereef","Shallow",5.867444,-162.041249,"14","15"
"19",12354,2018,"Pacific Remote Island Areas","Palmyra","PAL-01170","Forereef","Shallow",5.889177,-162.122065,"6","15"
"20",12015,2018,"American Samoa","Ofu & Olosega","OFU-00982","Forereef","Shallow",-14.16116,-169.68288,"12","16"
"21",12115,2018,"American Samoa","Rose","ROS-01077","Forereef","Shallow",-14.534023,-168.158611,"12","16"
"22",12492,2018,"Pacific Remote Island Areas","Kingman","KIN-00865","Forereef","Shallow",6.38196,-162.35016,"12","16"
"23",12338,2018,"Pacific Remote Island Areas","Palmyra","PAL-01182","Forereef","Shallow",5.877228,-162.119082,"12","16"
"24",11888,2018,"American Samoa","Tutuila","TUT-02952","Forereef","Shallow",-14.291981,-170.792279,"14","16"
"25",12409,2018,"Pacific Remote Island Areas","Palmyra","PAL-01143","Forereef","Shallow",5.894722,-162.084479,"14","16"
"26",12408,2018,"Pacific Remote Island Areas","Palmyra","PAL-01162","Forereef","Shallow",5.895975,-162.07913,"14","16"
"27",12306,2018,"Pacific Remote Island Areas","Jarvis","JAR-01931","Forereef","Shallow",-0.375452,-160.013453,"14","16"
"28",12386,2018,"Pacific Remote Island Areas","Palmyra","PAL-01187","Forereef","Shallow",5.873456,-162.042798,"9","16"
"29",11766,2018,"American Samoa","Swains","SWA-00789","Forereef","Shallow",-11.048532,-171.088791,"12","17"
"30",12114,2018,"American Samoa","Rose","ROS-01080","Forereef","Shallow",-14.537835,-168.170758,"14","17"
"31",12163,2018,"American Samoa","Tutuila","TUT-03026","Forereef","Shallow",-14.330663,-170.814113,"15","17"
"32",12396,2018,"Pacific Remote Island Areas","Palmyra","PAL-01152","Forereef","Shallow",5.896258,-162.105142,"15","17"
"33",12250,2018,"Pacific Remote Island Areas","Jarvis","JAR-02046","Forereef","Shallow",-0.366229,-159.985434,"12","18"
"34",11858,2018,"American Samoa","Tutuila","TUT-02954","Forereef","Shallow",-14.290842,-170.788769,"14","18"
"35",12164,2018,"American Samoa","Tutuila","TUT-03023","Forereef","Shallow",-14.326863,-170.833775,"16","18"
"36",12491,2018,"Pacific Remote Island Areas","Kingman","KIN-00863","Forereef","Shallow",6.393916,-162.335895,"16","18"
"37",12385,2018,"Pacific Remote Island Areas","Palmyra","PAL-01139","Forereef","Shallow",5.879394,-162.029958,"16","18"
"38",11866,2018,"American Samoa","Tutuila","TUT-02948","Forereef","Shallow",-14.293128,-170.808962,"13","19"
"39",12419,2018,"Pacific Remote Island Areas","Palmyra","PAL-01190","Forereef","Shallow",5.881436,-162.120753,"13","19"
"40",11745,2018,"American Samoa","Swains","SWA-00800","Forereef","Shallow",-11.063407,-171.087064,"14","19"
"41",11716,2018,"Pacific Remote Island Areas","Baker","BAK-00804","Forereef","Shallow",0.20376,-176.47806,"15","20"
"42",11998,2018,"American Samoa","Ofu & Olosega","OFU-01034","Forereef","Shallow",-14.164042,-169.659891,"16","20"
"43",11702,2018,"Pacific Remote Island Areas","Baker","BAK-00813","Forereef","Shallow",0.20132,-176.46906,"17","20"
"44",12277,2018,"Pacific Remote Island Areas","Jarvis","JAR-02016","Forereef","Shallow",-0.377353,-159.982974,"18","20"
"45",12235,2018,"Pacific Remote Island Areas","Jarvis","JAR-02031","Forereef","Shallow",-0.376718,-159.979493,"18","20"
"46",11644,2018,"Pacific Remote Island Areas","Howland","HOW-00891","Forereef","Shallow",0.8084,-176.61099,"12","21"
"47",12147,2018,"American Samoa","Tau","TAU-01074","Forereef","Shallow",-14.267674,-169.496253,"17","21"
"48",12439,2018,"Pacific Remote Island Areas","Kingman","KIN-00868","Forereef","Shallow",6.424615,-162.368648,"17","21"
