SEGMENTID,COLONYID,SPECIES,COLONYLENGTH,COLONYWIDTH,MORPH_CODE,SITE,DATE_,TRANSECTNUM,SITEVISITID,SEGMENT,SEGLENGTH,SEGWIDTH,TRANSECTID,DIVER,REGION,ISLANDCODE,OBS_YEAR,GENUS,S_ORDER,MISSIONID,ISLAND,REEF_ZONE,HABITAT_CODE,DEPTH_BIN,LATITUDE,LONGITUDE,MIN_DEPTH,MAX_DEPTH,REGION_NAME
1230,-,MOSP,1.8,-,EF,SWA-793,19-Jun-18,1,11744,1,1,1,841,JDG,SAMOA,SWA,2018,Montipora,Scleractinia,HA1801,Swains,Forereef,AGR,Deep,-11.056613,-171.091813,60,62,American Samoa
1234,-,PAVS,3.5,-,EF,SWA-793,19-Jun-18,1,11744,5,1,1,841,JDG,SAMOA,SWA,2018,Pavona,Scleractinia,HA1801,Swains,Forereef,AGR,Deep,-11.056613,-171.091813,60,62,American Samoa
1234,-,MOSP,4.1,-,EF,SWA-793,19-Jun-18,1,11744,5,1,1,841,JDG,SAMOA,SWA,2018,Montipora,Scleractinia,HA1801,Swains,Forereef,AGR,Deep,-11.056613,-171.091813,60,62,American Samoa
1230,-,MOSP,2.7,-,EF,SWA-793,19-Jun-18,1,11744,1,1,1,841,JDG,SAMOA,SWA,2018,Montipora,Scleractinia,HA1801,Swains,Forereef,AGR,Deep,-11.056613,-171.091813,60,62,American Samoa
1234,-,MOSP,2.1,-,EF,SWA-793,19-Jun-18,1,11744,5,1,1,841,JDG,SAMOA,SWA,2018,Montipora,Scleractinia,HA1801,Swains,Forereef,AGR,Deep,-11.056613,-171.091813,60,62,American Samoa
1234,-,MOSP,3.5,-,EF,SWA-793,19-Jun-18,1,11744,5,1,1,841,JDG,SAMOA,SWA,2018,Montipora,Scleractinia,HA1801,Swains,Forereef,AGR,Deep,-11.056613,-171.091813,60,62,American Samoa
1400,-,FUSP,4,-,FR,TUT-2929,29-Jun-18,1,11814,5,1,1,925,MAR,SAMOA,TUT,2018,Fungia,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.23855,-170.669358,44,46,American Samoa
1400,-,PVAR,3.2,-,EM,TUT-2929,29-Jun-18,1,11814,5,1,1,925,MAR,SAMOA,TUT,2018,Pavona,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.23855,-170.669358,44,46,American Samoa
1410,-,POSP,4.7,-,MD,TUT-2897,29-Jun-18,1,11812,5,1,1,921,MSW,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.237139,-170.6732,71,73,American Samoa
1402,-,POSP,3.8,-,KN,TUT-2927,29-Jun-18,1,11813,3,1,1,923,BH,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.246887,-170.664336,36,44,American Samoa
