Qualitycontrol,SEGMENTID,LONGITUDE,MIN_DEPTH,MAX_DEPTH,REGION_NAME,COLONYID,SPECIES,COLONYLENGTH,COLONYWIDTH,MORPH_CODE,SITE,DATE_,TRANSECTNUM,SITEVISITID,SEGMENT,SEGLENGTH,SEGWIDTH,TRANSECTID,DIVER,REGION,ISLANDCODE,OBS_YEAR,GENUS,S_ORDER,MISSIONID,ISLAND,REEF_ZONE,HABITAT_CODE,DEPTH_BIN,LATITUDE
DTP,9209,145.183134,62,67,Mariana Archipelago,,PAVS,3,,EF,ROT-874,31-MAY-22,1,38940,3,1,1,3480,MSW,MARIAN,ROT,2022,Pavona,Scleractinia,RA2201_LEG4,Rota,Forereef,SAG,Deep,14.113576
DTP,9227,144.662428,15,19,Mariana Archipelago,,PPRO,2,,EF,GUA-2696,01-JUN-22,1,38967,1,1,1,3514,JDG,MARIAN,GUA,2022,Psammocora,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.277189
DTP,9227,144.662428,15,19,Mariana Archipelago,,PPRO,4,,EF,GUA-2696,01-JUN-22,1,38967,1,1,1,3514,JDG,MARIAN,GUA,2022,Psammocora,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.277189
DTP,9227,144.662428,15,19,Mariana Archipelago,,PHSP,2,,EF,GUA-2696,01-JUN-22,1,38967,1,1,1,3514,JDG,MARIAN,GUA,2022,Phymastrea,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.277189
DTP,9227,144.662428,15,19,Mariana Archipelago,,POSP,3,,EF,GUA-2696,01-JUN-22,1,38967,1,1,1,3514,JDG,MARIAN,GUA,2022,Porites,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.277189
DTP,9227,144.662428,15,19,Mariana Archipelago,,FASP,2,,MD,GUA-2696,01-JUN-22,1,38967,1,1,1,3514,JDG,MARIAN,GUA,2022,Favia,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.277189
DTP,9145,145.697777,57,59,Mariana Archipelago,,STSP,4,,EF,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Stylocoeniella,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9162,145.699827,49,51,Mariana Archipelago,,LPUR,2,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Leptastrea,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,PHSP,2,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Phymastrea,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,FASP,2.5,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,11637,145.142447,46,49,Mariana Archipelago,,ASSP,2.5,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Astreopora,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11637,145.142447,46,49,Mariana Archipelago,,ASSP,4,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Astreopora,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11637,145.142447,46,49,Mariana Archipelago,,ASSP,1,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Astreopora,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11637,145.142447,46,49,Mariana Archipelago,,FASP,1,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Favia,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11637,145.142447,46,49,Mariana Archipelago,,FASP,3.5,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Favia,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11637,145.142447,46,49,Mariana Archipelago,,FASP,1.5,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Favia,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11637,145.142447,46,49,Mariana Archipelago,,FASP,3.5,,EF,ROT-845,30-MAY-22,1,38925,3,1,1,3470,DTP,MARIAN,ROT,2022,Favia,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,9065,144.695292,10,15,Mariana Archipelago,,GASP,3,,EF,GUA-2662,01-JUN-22,1,38966,5,1,1,3512,TO,MARIAN,GUA,2022,Galaxea,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.241626
DTP,9065,144.695292,10,15,Mariana Archipelago,,LPUR,2.5,,EF,GUA-2662,01-JUN-22,1,38966,5,1,1,3512,TO,MARIAN,GUA,2022,Leptastrea,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.241626
DTP,9065,144.695292,10,15,Mariana Archipelago,,ACUR,3,,EF,GUA-2662,01-JUN-22,1,38966,5,1,1,3512,TO,MARIAN,GUA,2022,Astrea,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.241626
DTP,9065,144.695292,10,15,Mariana Archipelago,,ACAS,3,,EF,GUA-2662,01-JUN-22,1,38966,5,1,1,3512,TO,MARIAN,GUA,2022,Acanthastrea,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.241626
DTP,9145,145.697777,57,59,Mariana Archipelago,,FMAT,1.5,,MD,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9145,145.697777,57,59,Mariana Archipelago,,FASP,2,,EF,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9145,145.697777,57,59,Mariana Archipelago,,FASP,4,,EF,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9162,145.699827,49,51,Mariana Archipelago,,FASP,3.5,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,FASP,4,,MD,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,11639,145.142447,46,49,Mariana Archipelago,,LEPT,1,,EF,ROT-845,30-MAY-22,2,38925,1,1,1,3471,DTP,MARIAN,ROT,2022,Leptastrea,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11639,145.142447,46,49,Mariana Archipelago,,POSP,2,,EF,ROT-845,30-MAY-22,2,38925,1,1,1,3471,DTP,MARIAN,ROT,2022,Porites,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11639,145.142447,46,49,Mariana Archipelago,,POSP,3,,MD,ROT-845,30-MAY-22,2,38925,1,1,1,3471,DTP,MARIAN,ROT,2022,Porites,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11651,145.174017,17,21,Mariana Archipelago,,ACSP,1,,EF,ROT-830,30-MAY-22,1,38927,1,1,1,3474,DTP,MARIAN,ROT,2022,Acropora,Scleractinia,RA2201_LEG4,Rota,Forereef,SAG,Shallow,14.170434
DTP,9165,145.798057,15,17,Mariana Archipelago,,FMAT,4,,EF,PAG-1272,20-MAY-22,1,38747,3,1,1,3294,DTP,MARIAN,PAG,2022,Favia,Scleractinia,RA2201_LEG4,Pagan,Forereef,ROB,Shallow,18.102034
DTP,9165,145.798057,15,17,Mariana Archipelago,,ACAS,3,,EF,PAG-1272,20-MAY-22,1,38747,3,1,1,3294,DTP,MARIAN,PAG,2022,Acanthastrea,Scleractinia,RA2201_LEG4,Pagan,Forereef,ROB,Shallow,18.102034
DTP,9065,144.695292,10,15,Mariana Archipelago,,FASP,3,,MD,GUA-2662,01-JUN-22,1,38966,5,1,1,3512,TO,MARIAN,GUA,2022,Favia,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.241626
DTP,9065,144.695292,10,15,Mariana Archipelago,,FASP,3.5,,EF,GUA-2662,01-JUN-22,1,38966,5,1,1,3512,TO,MARIAN,GUA,2022,Favia,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Shallow,13.241626
DTP,9145,145.697777,57,59,Mariana Archipelago,,FASP,3,,EF,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9145,145.697777,57,59,Mariana Archipelago,,FASP,1,,EF,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9145,145.697777,57,59,Mariana Archipelago,,FASP,1,,EF,SAI-1857,28-MAY-22,2,38881,3,1,1,3423,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Mid,15.203029
DTP,9162,145.699827,49,51,Mariana Archipelago,,CYSP,2.5,,MD,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Cycloseris,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,GONS,3,,MD,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Goniastrea,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,FASP,.5,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,FASP,2,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,9162,145.699827,49,51,Mariana Archipelago,,FASP,1.5,,EF,SAI-1854,28-MAY-22,1,38882,7,1,1,3424,DTP,MARIAN,SAI,2022,Favia,Scleractinia,RA2201_LEG4,Saipan,Forereef,AGR,Shallow,15.241284
DTP,11639,145.142447,46,49,Mariana Archipelago,,PSSP,1,,EF,ROT-845,30-MAY-22,2,38925,1,1,1,3471,DTP,MARIAN,ROT,2022,Psammocora,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11639,145.142447,46,49,Mariana Archipelago,,FASP,4,,EF,ROT-845,30-MAY-22,2,38925,1,1,1,3471,DTP,MARIAN,ROT,2022,Favia,Scleractinia,RA2201_LEG4,Rota,Forereef,AGR,Mid,14.151463
DTP,11623,145.227178,14,20,Mariana Archipelago,,FASP,1.5,,EF,ROT-869,31-MAY-22,1,38946,3,1,1,3492,DTP,MARIAN,ROT,2022,Favia,Scleractinia,RA2201_LEG4,Rota,Forereef,SAG,Shallow,14.127967
DTP,10903,144.865405,22,27,Mariana Archipelago,,FASP,2,,EF,GUA-2726,13-MAY-22,1,38601,1,1,1,3142,DTP,MARIAN,GUA,2022,Favia,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Mid,13.477824
DTP,10903,144.865405,22,27,Mariana Archipelago,,CYPS,2,,EF,GUA-2726,13-MAY-22,1,38601,1,1,1,3142,DTP,MARIAN,GUA,2022,Cyphastrea,Scleractinia,RA2201_LEG4,Guam,Forereef,AGR,Mid,13.477824
DTP,11247,145.584467,75,84,Mariana Archipelago,,LEPT,3.5,,EF,TIN-885,29-MAY-22,1,38900,5,1,1,3440,DTP,MARIAN,TIN,2022,Leptastrea,Scleractinia,RA2201_LEG4,Tinian,Forereef,PSC,Deep,15.008705
DTP,11247,145.584467,75,84,Mariana Archipelago,,PPRO,2.5,,EF,TIN-885,29-MAY-22,1,38900,5,1,1,3440,DTP,MARIAN,TIN,2022,Psammocora,Scleractinia,RA2201_LEG4,Tinian,Forereef,PSC,Deep,15.008705
DTP,11247,145.584467,75,84,Mariana Archipelago,,PPRO,2,,EF,TIN-885,29-MAY-22,1,38900,5,1,1,3440,DTP,MARIAN,TIN,2022,Psammocora,Scleractinia,RA2201_LEG4,Tinian,Forereef,PSC,Deep,15.008705
DTP,11247,145.584467,75,84,Mariana Archipelago,,PPRO,3,,EF,TIN-885,29-MAY-22,1,38900,5,1,1,3440,DTP,MARIAN,TIN,2022,Psammocora,Scleractinia,RA2201_LEG4,Tinian,Forereef,PSC,Deep,15.008705
