DATE_,Site,Diver,AdJuv,Segment,Taxon,SegArea,Count,MinSize,MaxSize,MinDead,MaxDead,RecentDead,DZ_COND,COMMENTS
4/20/2022,RR-1,CSC,Adult,10,MCAP,2.5,17,8,67,0,40,,,
4/20/2022,RR-1,CSC,Adult,10,PLOB,2.5,3,16,22,15,60,,5%- SGA,
4/20/2022,RR-1,CSC,Adult,10,PMEA,2.5,2,6,18,20,90,,100%/2-BLE,
4/20/2022,RR-1,CSC,Adult,10,MPAT,2.5,7,12,62,1,20,,,
4/20/2022,RR-1,CSC,Juv,10,MCAP,1,2,2,3,0,0,0,,
4/20/2022,RR-2,CSC,Adult,10,PLOB,2.5,7,8,68,10,80,10-Mar,FS,
4/20/2022,RR-2,CSC,Adult,10,MPAT,2.5,16,6,75,0,60,10-Feb,"FS,GAST",
4/20/2022,RR-2,CSC,Adult,10,PMEA,2.5,5,15,40,0,96,5-Mar,"FS,GAST",
4/20/2022,RR-2,CSC,Adult,10,PGRA,2.5,1,25,25,20,20,5,FS,
4/20/2022,RR-2,CSC,Adult,10,PCOM,2.5,1,25,25,20,20,5,FS,
4/20/2022,RR-2,CSC,Adult,10,PVAR,2.5,1,80,80,60,60,,,
4/20/2022,RR-2,CSC,Juv,10,PBER,1,1,4,4,0,0,0,,
4/19/2022,TR-1,NBO,Adult,5,PMEA,2.5,1,25,25,5,5,1,FISH,JC did last 0.5m of segment
4/19/2022,TR-1,NBO,Adult,5,MPAT,2.5,11,11,63,2,15,0-5,PUS?,
4/19/2022,TR-1,NBO,Adult,5,PLOB,2.5,8,5,55,0,90,0-3,FISH,
4/19/2022,TR-1,NBO,Adult,5,PDUE,2.5,1,11,11,5,5,0,,
4/19/2022,TR-1,NBO,Adult,5,MCAP,2.5,5,8,33,0,10,0,5% SGA,
4/19/2022,TR-2,NBO,Adult,15,PMEA,2.5,6,7,43,5,50,10-May,5% FUG,
4/19/2022,TR-2,NBO,Adult,15,MCAP,2.5,7,8,35,5,15,20-30,DZGN,"Looked like COTS but no other indicators of COTS found,"
4/19/2022,TR-2,NBO,Adult,15,MPAT,2.5,11,8,41,3,20,0,,
4/19/2022,TR-2,NBO,Adult,15,PLOB,2.5,4,6,24,3,45,0,,
4/19/2022,TR-2,NBO,Adult,15,PVAR,2.5,4,6,31,10,80,,,
4/19/2022,TR-2,NBO,Adult,15,CYPS,2.5,1,,,,,,,Recorded by BH
4/19/2022,TR-2,NBO,Juv,15,MCAP,1,2,1,1.5,,,,,
4/19/2022,TR-2,NBO,Juv,15,PVAR,1,1,4.5,4.5,,,,,
4/20/2022,RR-1,NBO,Adult,0,MCAP,2.5,7,8,69,2,15,20-Feb,FISH,
4/20/2022,RR-1,NBO,Adult,0,MPAT,2.5,7,10,43,3,85,5-Mar,GAST,
4/20/2022,RR-1,NBO,Adult,0,PLOB,2.5,9,8,26,5,20,10-May,TLS/FUG/5% PRS/DAMG,
4/20/2022,RR-1,NBO,Adult,0,LBEW,2.5,1,8,8,0,0,0,,
4/20/2022,RR-1,NBO,Adult,0,PVAR,2.5,1,7,7,0,0,0,,
4/20/2022,RR-1,NBO,Adult,0,PMEA,2.5,2,10,37,10,15,0,,
4/20/2022,RR-1,NBO,Juv,0,MCAP,1,1,3.5,3.5,0,0,0,,
4/20/2022,RR-1,NBO,Juv,0,PLOB,1,1,3.5,3.5,0,0,0,,
4/20/2022,RR-2,NBO,Adult,15,PGRA,2.5,1,36,36,0,0,5,FUG,
4/20/2022,RR-2,NBO,Adult,15,PLUT,2.5,3,6,7,3,10,0,,
4/20/2022,RR-2,NBO,Adult,15,MPAT,2.5,7,10,35,5,80,5-Feb,FISH/PUS?,
4/20/2022,RR-2,NBO,Adult,15,PLOB,2.5,3,18,48,5,50,0-3,FISH,
4/20/2022,RR-2,NBO,Adult,15,PMEA,2.5,3,7,20,0,25,5-Feb,DAMG,
4/20/2022,RR-2,NBO,Adult,15,PDUE,2.5,1,47,47,85,85,0,,
4/20/2022,RR-2,NBO,Juv,15,PSSP,1,1,3.5,3.5,0,0,0,,
4/20/2022,RR-1,JE,Adult,15,MPAT,2.5,6,14,120,0,0,0,,
4/20/2022,RR-1,JE,Adult,15,MCAP,2.5,6,35,87,0,30,0,SGA/BLE,
4/20/2022,RR-1,JE,Adult,15,PLOB,2.5,3,14,43,0,15,0,,
4/20/2022,RR-1,JE,Adult,15,PMEA,2.5,1,16,16,75,75,0,BLE,
4/20/2022,RR-1,JE,Adult,15,PLUT,2.5,1,53,53,0,0,2,PRED,
4/20/2022,RR-1,JE,Juv,15,POSP,1,1,5,5,0,0,0,,
4/20/2022,RR-2,JE,Adult,5,PMEA,2.5,7,8,37,0,75,0-5,BLE/PRED/PRED FISH,
4/20/2022,RR-2,JE,Adult,5,PLOB,2.5,1,37,37,35,35,,Tubeworm infestation,
4/20/2022,RR-2,JE,Adult,5,PLUT,2.5,2,52,142,20,30,0,,
4/20/2022,RR-2,JE,Adult,5,PBER,2.5,1,3,3,0,0,0,,
4/20/2022,RR-2,JE,Adult,5,PVAR,2.5,1,19,19,80,80,0,PALY overgrowth,
4/20/2022,RR-2,JE,Adult,5,PDUE,2.5,1,11,11,30,30,0,,
4/20/2022,RR-2,JE,Adult,5,MPAT,2.5,4,17,150,0,30,0,,
4/20/2022,RR-2,JE,Adult,5,PGRA,2.5,1,41,41,7,7,5,PRED,
4/20/2022,RR-2,JE,Adult,5,MCAP,2.5,2,36,42,10,70,0,,
4/13/2022,REA_038,JE,Adult,0,PVAR,2.5,5,8,52,0,80,0,,
4/13/2022,REA_038,JE,Adult,0,PMEA,2.5,8,12,48,0,70,0-15,"PRED, BLE",
4/13/2022,REA_038,JE,Adult,0,MPAT,2.5,3,16,65,0,30,0,,
4/13/2022,REA_038,JE,Juv,0,PBER,1,2,3,4,0,0,0,,
4/13/2022,REA_038,JE,Juv,0,PMEA,1,2,3,5,0,0,0,,
4/13/2022,REA_038,JE,Adult,10,MCAP,2.5,1,41,41,5,5,0,,
4/13/2022,REA_038,JE,Adult,10,MPAT,2.5,6,49,95,0,15,0,BLE,
