AdJuv,Segment,Diver,Taxon,Count,MinSize,MaxSize,MinDead,MaxDead,RecentMort,DZ_COND,,,,,,,,,,,,,,,,
A,10,NO,MCAP,3,5,50,4,45,,,,,,,,,,,,,,,,,,
A,10,NO,MPAT,15,5,90,4,40,,,,,,,,,,,,,,,,,,
A,10,NO,PBER,1,5,5,3,2.5,,,,,,,,,,,,,,,,,,
A,10,NO,PGRA,1,16,16,12,12,,,,,,,,,,,,,,,,,,
A,10,NO,PLOB,1,25,25,21,21,,,,,,,,,,,,,,,,,,
A,10,NO,PLUT,3,4,45,3,28,,,,,,,,,,,,,,,,,,
A,10,NO,PMEA,5,14,33,8,30,,,,,,,,,,,,,,,,,,
A,10,NO,PVAR,5,4,12,3,9,,,,,,,,,,,,,,,,,,
A,10,BH,MPAT,18,16,95,0,40,0,"SGA,",,,,,,,,,,,,,,,,
A,10,BH,MCAP,6,7,50,0,15,0,N/A,,,,,,,,,,,,,,,,
A,10,BH,PMEA,8,6,28,0,70,0 - 3,"FISH, UNKN",,,,,,,,,,,,,,,,
A,10,BH,PLOB,3,8,40,0,35,0,"SGA,",,,,,,,,,,,,,,,,
A,10,BH,PVAR,2,15,37,0,85,0,N/A,,,,,,,,,,,,,,,,
A,10,BH,PDUE,3,7,10,0,35,0,N/A,,,,,,,,,,,,,,,,
A,10,JE,MCAP,3,22,45,5,5,,,,,,,,,,,,,,,,,,
A,10,JE,MPAT,23,8,80,5,10,,,,,,,,,,,,,,,,,,
A,10,JE,PDUE,2,7,25,5,5,3,DAMAGE,,,,,,,,,,,,,,,,
A,10,JE,PLOB,3,6,40,5,40,,GA,,,,,,,,,,,,,,,,
A,10,JE,PMEA,6,6,32,0,70,0-100,DAMAGE/BL,,,,,,,,,,,,,,,,
A,10,JE,PVAR,2,13,19,1,30,0-50,FUG,,,,,,,,,,,,,,,,
A,0,JE,MCAP,3,7,32,,,,,,,,,,,,,,,,,,,,
A,0,JE,MPAT,12,19,95,3,20,,,,,,,,,,,,,,,,,,
A,0,JE,PLOB,1,25,25,65,65,0-10,FISH,,,,,,,,,,,,,,,,
A,0,JE,PMAL,3,8,13,0,0,,,,,,,,,,,,,,,,,,
A,0,JE,PMEA,5,17,45,10,70,Oct-60,BL,,,,,,,,,,,,,,,,
A,0,JE,PVAR,2,24,32,20,20,,,,,,,,,,,,,,,,,,
A,0,ML,PVAR,1,37,37,10,10,,,,,,,,,,,,,,,,,,
A,0,ML,MPAT,8,30,115,5,50,5,TLS?,,,,,,,,,,,,,,,,
A,0,ML,MCAP,2,7,47,0,5,,,,,,,,,,,,,,,,,,
A,0,ML,PMEA,4,27,45,5,75,,BLE,,,,,,,,,,,,,,,,
A,0,ML,PMAL,2,15,20,50,50,,,,,,,,,,,,,,,,,,
A,0,ML,PLOB,1,25,25,65,65,,,,,,,,,,,,,,,,,,
A,5,ML,PMEA,7,10,40,10,80,"0, 10","FRAG, FISH, BLE",,,,,,,,,,,,,,,,
A,5,ML,MPAT,8,20,60,1,40,"0, 5","FISH, GAST, FRAG, TLS",,,,,,,,,,,,,,,,
A,5,ML,MCAP,2,45,53,1,10,,,,,,,,,,,,,,,,,,
A,5,ML,PBER,1,3,3,,,,,,,,,,,,,,,,,,,,
A,5,ML,PLOB,3,25,48,5,70,"0,3","PRED, TLS",,,,,,,,,,,,,,,,
A,5,ML,PVAR,2,25,40,10,50,,,,,,,,,,,,,,,,,,
A,5,ML,PMAL,1,9,9,10,10,,,,,,,,,,,,,,,,,,
A,0,CA,MPAT,4,18,77,3,35,,,,,,,,,,,,,,,,,,
A,0,CA,MCAP,2,27,46,3,10,,,,,,,,,,,,,,,,,,
A,0,CA,PMEA,4,30,47,0,60,"2,5","DAMG,BLE",,,,,,,,,,,,,,,,
A,0,CA,PMAL,3,8,25,10,50,,,,,,,,,,,,,,,,,,
A,0,CA,PVAR,1,47,47,20,20,,,,,,,,,,,,,,,,,,
A,0,CA,PLOB,1,25,25,65,65,,,,,,,,,,,,,,,,,,
A,0,JC,PVAR,1,29,29,10,10,,,,,,,,,,,,,,,,,,
A,0,JC,MPAT,7,19,90,3,40,3,FISH,,,,,,,,,,,,,,,,
A,0,JC,MCAP,3,8,40,0,6,,,,,,,,,,,,,,,,,,
A,0,JC,PMEA,3,26,41,4,50,20,TLS/UNK,,,,,,,,,,,,,,,,
A,0,JC,PLOB,1,24,24,60,60,4,FISH,,,,,,,,,,,,,,,,
A,0,JC,PMAL,4,5,30,0,70,,,,,,,,,,,,,,,,,,
A,0,JC,PPRO,1,10,10,5,5,,,,,,,,,,,,,,,,,,
A,5,JC,PMEA,6,10,44,0,55,0-8,"FISH, BLE, FRAG",,,,,,,,,,,,,,,,
A,5,JC,PLOB,2,22,45,0,60,0-3,"FISH, PRS",,,,,,,,,,,,,,,,
A,5,JC,MCAP,6,6,62,0,50,0-4,"FISH, FRAG",,,,,,,,,,,,,,,,
A,5,JC,PVAR,2,29,37,10,85,,,,,,,,,,,,,,,,,,
A,5,JC,MPAT,11,8,70,0,20,1,GAST,,,,,,,,,,,,,,,,
A,5,JC,PMAL,1,12,12,30,30,,,,,,,,,,,,,,,,,,
A,5,DTP,MCAP,2,23,50,0,10,0,,,,,,,,,,,,,,,,,
A,5,DTP,MPAT,5,22,150,0,30,0,"FISH, TLS, GAST",,,,,,,,,,,,,,,,
A,5,DTP,PBER,1,,,,,,,,,,,,,,,,,,,,,,
A,5,DTP,PLOB,3,17,45,5,45,0,"PRED, TLS",,,,,,,,,,,,,,,,
A,5,DTP,PMAL,1,7,7,8,8,0,,,,,,,,,,,,,,,,,
A,5,DTP,PMEA,6,8,52,0,70,0 - 20,"FISH, UNKN",,,,,,,,,,,,,,,,
A,5,DTP,PVAR,2,30,40,5,40,0,,,,,,,,,,,,,,,,,
A,0,DTP,MCAP,1,40,40,0,0,,,,,,,,,,,,,,,,,,
A,0,DTP,MPAT,2,15,250,10,60,,,,,,,,,,,,,,,,,,
