FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng
0, ,0, , , ,0,2.5,1, ,PLOB, ,0, , ,50,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.073746186
1, ,0, , , ,0,1,1, ,PBER, ,-1, , ,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.018376344
2, ,0, , , ,0,1,1, ,PMEA, ,-1, , ,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.016810712
3, ,0, , , ,0,2.5,1, ,MOSP, ,0, , ,60,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.093889562
4, ,0, , , ,5,1,1,-1, , ,-1, , ,0, , ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.017772451
5, ,0, , , ,5,2.5,1,-1, , ,0, , ,0, , ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.056914849
6, ,0, , , ,10,2.5,1, ,PLOB, ,0, , ,5,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.052968859
7, ,0, , , ,10,1,1,-1, , ,-1, , ,0, , ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.045688182
8, ,0, , , ,15,2.5,1, ,PMEA, ,0, , ,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.071458099
9, ,0, , , ,15,2.5,1, ,PMEA, ,0, , ,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.075114979
10, ,0, , , ,15,2.5,1, ,PMEA, ,0, , ,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.067559308
11,RS,2019,SE1902,HAW-4220,A,0,2.5,1, ,PLOB, ,0, , ,40,MD,TLS,2, ,0, ,0,ALG,2,0, ,0,0, ,0,0,0.0971173
12,RS,2019,SE1902,HAW-4220,A,0,1,1, ,PLOB, ,-1, , ,0,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.00979847
13,RS,2019,SE1902,HAW-4220,A,0,1,1, ,MCAP, ,-1, , ,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.024084227
14,RS,2019,SE1902,HAW-4220,A,0,1,1, ,POSP, ,-1, , ,0,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.012747549
15,RS,2019,SE1902,HAW-4220,A,0,2.5,1, ,MCAP, ,0, , ,15,EM, ,0, ,0, ,0,BLE,100,2, ,0,0, ,0,0,0.080822336
16,RS,2019,SE1902,HAW-4220,A,0,1,1, ,MCAP, ,-1, , ,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.014956605
17,RS,2019,SE1902,HAW-4220,A,0,1,1, ,MCAP, ,-1, , ,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.044500001
18,RS,2019,SE1902,HAW-4220,A,0,1,1, ,PLOB, ,-1, , ,0,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.035575553
19,RS,2019,SE1902,HAW-4220,A,0,1,1, ,PLOB, ,-1, , ,0,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.019744872
20,RS,2019,SE1902,HAW-4220,A,0,1,1, ,PMEA, ,-1, , ,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.025394881
