"","SPCODE","MORPH_CODE"
"1","GEDW","MD"
"2","ACAS","EM"
"3","PHSP","EM"
"7","FASP","EM"
"8","GONS","MD"
"11","CYSP","EM"
"12","GONS","EM"
"13","ASSP","EM"
"15","ASTS","EM"
"28","TURS","EM"
"33","GPEC","EM"
"34","POSP","MD"
"36","CYPS","EM"
"40","PHSP","MD"
"44","POSP","EM"
"51","ACUR","MD"
"52","GEDW","EM"
"57","PLVE","MD"
"58","ACUR","EM"
"75","FASP","MD"
"77","MOSP","EM"
"86","PCHI","EM"
"93","GOSP","EM"
"106","FSTE","MD"
"111","GPEC","PL"
"119","CYPS","MD"
"121","PLOB","MD"
"123","FSTE","EM"
"144","ASTS","MD"
"166","PLOB","EM"
"187","SYSP","EM"
"195","FAVS","EM"
"203","LBEW","EM"
"205","GRET","EM"
"210","PPRO","EM"
"213","LPUR","EM"
"222","PVAR","EM"
"238","PLSP","EM"
"276","PMVC","BR"
"278","POCS","KN"
"286","STYS","BR"
"294","HCOE","KN"
"298","ACSP","DI"
"299","HCOE","CO"
"312","FUSP","EM"
"317","STYS","KN"
"323","POCS","EM"
"326","HCOE","BR"
"342","PPRO","MD"
"344","ACSP","CB"
"364","POSP","BR"
"365","POCS","BR"
"455","PDAM","BR"
"475","LEPT","MD"
"476","LEPT","EM"
"483","PGWC","BR"
"537","PMVC","MD"
"705","PMRC","EM"
"714","PMRC","LC"
"722","PMRC","KN"
"727","PMRC","PL"
"747","PMVC","KN"
"748","PMVC","EM"
"752","POSP","KN"
"755","PMVC","LC"
"765","PLUT","MD"
"773","PMVC","PL"
"801","PMRC","MD"
"810","POSP","PL"
"885","PMRC","CO"
"949","PPIN","MD"
"988","ASSP","MD"
"1021","FAVS","MD"
"1067","PSSP","EM"
"1070","PAVS","EM"
"1091","GPEC","MD"
"1107","PLDA","MD"
"1119","COSP","MD"
"1223","UNKN","EM"
"1239","LPUR","MD"
"1255","PLSP","MD"
