"","FID.x","ANALYST.x","OBS_YEAR.x","MISSION_ID.x","SITE","TRANSECT.x","SEGMENT","SEGLENGTH.x","SEGWIDTH.x","NO_COLONY.x","SPCODE.x","EX_BOUND.x","JUVENILE.x","FRAGMENT.x","REMNANT.x","OLDDEAD.x","MORPH_CODE.x","RDCAUSE1.x","RD_1.x","RDCAUSE2.x","RD_2.x","RDCAUSE3.x","RD_3.x","CON_1.x","EXTENT_1.x","SEV_1.x","CON_2.x","EXTENT_2.x","SEV_2.x","CON_3.x","EXTENT_3.x","SEV_3.x","Shape_Leng.x","FID.y","ANALYST.y","OBS_YEAR.y","MISSION_ID.y","TRANSECT.y","SEGLENGTH.y","SEGWIDTH.y","NO_COLONY.y","SPCODE.y","EX_BOUND.y","JUVENILE.y","FRAGMENT.y","REMNANT.y","OLDDEAD.y","MORPH_CODE.y","RDCAUSE1.y","RD_1.y","RDCAUSE2.y","RD_2.y","RDCAUSE3.y","RD_3.y","CON_1.y","EXTENT_1.y","SEV_1.y","CON_2.y","EXTENT_2.y","SEV_2.y","CON_3.y","EXTENT_3.y","SEV_3.y","Shape_Leng.y","SEGAREA","site_seg"
"1","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"3","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","85","EF","NA",0,"NA",0,"NA",0,"BLE",15,2,"NA",0,0,"NA",0,0,0.528823487,2.5,"HAW-03451 5"
"2","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"4","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","1","EF","NA",0,"NA",0,"NA",0,"BLE",99,3,"NA",0,0,"NA",0,0,0.076415509,2.5,"HAW-03451 5"
"3","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"5","MSL",2019,"SE1902","A",2.5,1,NA,"PLOB",NA,"0","0","0","60","EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.183295091,2.5,"HAW-03451 5"
"4","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"6","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","20","EF","NA",0,"NA",0,"NA",0,"BLE",80,3,"NA",0,0,"NA",0,0,0.18740683,2.5,"HAW-03451 5"
"5","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"7","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","65","EF","NA",0,"NA",0,"NA",0,"BLE",35,2,"NA",0,0,"NA",0,0,0.53293978,2.5,"HAW-03451 5"
"6","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"8","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","10","EF","PRED",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.198076803,2.5,"HAW-03451 5"
"7","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"9","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","50","EF","NA",0,"NA",0,"NA",0,"BLE",50,3,"NA",0,0,"NA",0,0,0.097704964,2.5,"HAW-03451 5"
"8","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"10","MSL",2019,"SE1902","A",2.5,1,NA,"MPAT",NA,"0","0","0","1","EM","NA",0,"NA",0,"NA",0,"BLE",99,2,"NA",0,0,"NA",0,0,0.076046434,2.5,"HAW-03451 5"
"9","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"11","MSL",2019,"SE1902","A",2.5,1,NA,"MCAP",NA,"0","0","0","0","EF","NA",0,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.12423349,2.5,"HAW-03451 5"
"10","13","MSL",2019,"SE1902","HAW-03451","A","5",1,1,NA," ",NA,"0","0","0","0"," ","NA",0,"NA",0,NA,0,"NA",0,0,"NA",0,0,"NA",0,0,0.0042,"12","MSL",2019,"SE1902","A",2.5,1,NA,"MPAT",NA,"0","0","0","1","EF","NA",0,"NA",0,"NA",0,"BLE",99,3,"NA",0,0,"NA",0,0,0.066520975,2.5,"HAW-03451 5"
