"ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","FRAGMENT","JUVENILE","REMNANT","OLD_DEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Length","site_seg","COLONYID"
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PLOB",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085579381,"GUA-2730 10",5
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,65,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141276583,"GUA-2730 10",6
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PMEA",0,0,0,0,3,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053462066,"GUA-2730 10",8
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,-1,0,0,75,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083518891,"GUA-2730 10",10
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"LPUR",0,0,0,0,45,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078418406,"GUA-2730 10",11
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,10,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102238036,"GUA-2730 10",12
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,55,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173236317,"GUA-2730 10",13
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,25,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145464031,"GUA-2730 10",14
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POSP",0,0,0,0,5,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057720312,"GUA-2730 10",15
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115158032,"GUA-2730 10",16
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054852326,"GUA-2730 10",17
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,30,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110163803,"GUA-2730 10",18
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,35,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104673487,"GUA-2730 10",19
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,45,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107527702,"GUA-2730 10",20
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07266236,"GUA-2730 10",21
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,80,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293307626,"GUA-2730 10",22
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102459194,"GUA-2730 10",23
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"FASP",0,0,0,0,8,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053190508,"GUA-2730 10",24
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PPRO",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052645108,"GUA-2730 10",25
"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,0,0,0,3,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070628251,"GUA-2730 10",26
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,45,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119671458,"GUA-2730 15",28
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,50,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12016755,"GUA-2730 15",31
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"FMAT",0,0,0,0,90,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1034645,"GUA-2730 15",33
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"POSP",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052454268,"GUA-2730 15",35
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"ECHP",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103412299,"GUA-2730 15",36
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,40,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100897998,"GUA-2730 15",37
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,25,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060340317,"GUA-2730 15",38
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"PLOB",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071592757,"GUA-2730 15",39
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,65,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091424247,"GUA-2730 15",40
"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"FMAT",0,0,0,0,10,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075057106,"GUA-2730 15",41
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104862838,"GUA-2730 10",44
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"FASP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057671519,"GUA-2730 10",45
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141757966,"GUA-2730 10",46
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284115516,"GUA-2730 10",47
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168807709,"GUA-2730 10",48
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11094258,"GUA-2730 10",49
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145308928,"GUA-2730 10",50
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"LPUR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087807329,"GUA-2730 10",51
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,0,0,0,70,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087588333,"GUA-2730 10",52
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"CYPS",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116654272,"GUA-2730 10",53
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056996635,"GUA-2730 10",54
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"CYSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054675034,"GUA-2730 10",55
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059538904,"GUA-2730 10",56
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061529571,"GUA-2730 10",58
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058699725,"GUA-2730 10",59
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153201844,"GUA-2730 10",60
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PLOB",0,0,0,0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073145508,"GUA-2730 10",61
"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058356499,"GUA-2730 10",63
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121840367,"GUA-2730 15",66
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"FASP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061430643,"GUA-2730 15",71
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131696799,"GUA-2730 15",72
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"POSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074535541,"GUA-2730 15",75
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105174974,"GUA-2730 15",76
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060469853,"GUA-2730 15",77
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107059101,"GUA-2730 15",78
"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"STSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059020389,"GUA-2730 15",79
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062844277,"GUA-2730 10",80
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POSP",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06686305,"GUA-2730 10",82
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,80,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105956789,"GUA-2730 10",83
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049703496,"GUA-2730 10",84
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049027497,"GUA-2730 10",86
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053988475,"GUA-2730 10",87
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,15,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1380206,"GUA-2730 10",88
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"UNKN",0,0,0,0,75,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108386673,"GUA-2730 10",89
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,0,0,0,75,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082653475,"GUA-2730 10",90
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230589737,"GUA-2730 10",91
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105404533,"GUA-2730 10",92
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"FMAT",0,0,0,0,5,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054611504,"GUA-2730 10",93
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,65,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187301257,"GUA-2730 10",94
"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,40,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280997288,"GUA-2730 10",95
"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,40,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115665373,"GUA-2730 15",96
"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,30,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122032136,"GUA-2730 15",97
