"","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","JUV_SUBSTRATE","REMNANT","OLD_DEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Length","site_seg","SEGAREA"
"240","JC",2024,"SE2406","FFS-4667","A","0",1,1,0,"DIAS",0,-1,"TURFR",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018300274,"FFS-4667 0",1
"280","JC",2024,"SE2406","FFS-4667","A","10",1,1,0,"CYSP",0,-1,"TURFR",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02300087,"FFS-4667 10",1
"302","JC",2024,"SE2406","FFS-4667","A","10",1,1,0,"DIAS",0,-1,"TURFR",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01992787,"FFS-4667 10",1
"680","JC",2024,"SE2406","FFS-4734","A","0",2.5,1,0,"APAN",0,0,"",0,15,"TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122004958,"FFS-4734 0",2.5
"717","JC",2024,"SE2406","FFS-4734","A","5",2.5,1,0,"APAN",0,0,"",0,5,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05793669,"FFS-4734 5",2.5
"730","JC",2024,"SE2406","FFS-4734","A","5",2.5,1,0,"APAN",0,0,"",0,15,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069159598,"FFS-4734 5",2.5
"734","JC",2024,"SE2406","FFS-4734","A","5",2.5,1,0,"APAN",0,0,"",0,0,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052800758,"FFS-4734 5",2.5
"1484","JC",2024,"SE2406","FFS-4831","A","5",2.5,1,0,"APAN",0,0,"",0,55,"TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091581658,"FFS-4831 5",2.5
"2855","JC",2024,"SE2406","HAW-4647","A","0",1,1,0,"CYSP",0,-1,"TURFH",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040193159,"HAW-4647 0",1
"3161","JC",2024,"SE2406","HAW-4647","A","10",1,1,0,"CYSP",0,-1,"TURFR",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022855415,"HAW-4647 10",1
"10387","JC",2024,"SE2406","KAU-2451","A","15",2.5,1,0,"PNIE",0,0,"",0,55,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097319268,"KAU-2451 15",2.5
"15499","JC",2024,"SE2406","MAI-4323","A","0",2.5,1,0,"LINC",0,0,"",0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062437888,"MAI-4323 0",2.5
"20491","JC",2024,"MP2404","OAH-4286","A","0",1,1,0,"CYSP",0,-1,"TURFH",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027334411,"OAH-4286 0",1
"20607","JC",2024,"MP2404","OAH-4286","A","10",1,1,0,"CYSP",0,-1,"TURFH",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024035183,"OAH-4286 10",1
"20608","JC",2024,"MP2404","OAH-4286","A","10",1,1,0,"CYSP",0,-1,"TURFH",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025249158,"OAH-4286 10",1
"20627","JC",2024,"MP2404","OAH-4286","A","10",1,1,0,"CYSP",0,-1,"TURFH",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021601158,"OAH-4286 10",1
"20629","JC",2024,"MP2404","OAH-4286","A","10",1,1,0,"CYSP",0,-1,"TURFH",0,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012614675,"OAH-4286 10",1
"23924","MSL",2024,"MP2404","OAH-4420","A","5",2.5,1,0,"PNIE",0,0,"",0,25,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082529328,"OAH-4420 5",2.5
