OID_,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,FRAGMENT,JUVENILE,REMNANT,OLDDEAD,MORPH_CODE,JUV_SUBSTRATE,RDCAUSE_1,RD_1,RDCAUSE_2,RD_2,RDCAUSE_3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Mosaic_Issues,Shape_Length
1,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,15,CB,,DAMG,3,,,,,,,,,,,,,,,0.134671897520317
2,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.030633969183888
3,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.020056918775417
4,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.028040863840168
5,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.251703178339558
6,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,CB,,,,,,,,,,,,,,,,,,0.261257650988033
7,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.147998277830871
8,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.099679687372219
9,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ASTS,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.296468632876942
10,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.110284406511042
11,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.075860002619914
12,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.047576991709869
13,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.030028154899119
14,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.028768906527727
15,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.027761843722228
16,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,30,CB,,,,,,,,,,,,,,,,,,0.625222968315338
17,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,40,EM,,,,,,,,,,,,,,,,,,0.593963366478483
18,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,35,CB,,,,,,,,,,,,,,,,,,0.122379123255106
19,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,,,0.088897806998482
20,MSL,2023,RA2301,BAK-2041,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.035300001502037
21,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.068194794850967
22,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,20,KN,,,,,,,,,,,,,,,,,,0.069908512240790
23,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.183823203548248
24,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,CB,,DAMG,5,,,,,,,,,,,,,,,0.301230890844344
25,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.138751577174077
26,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.087831941571503
27,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.050010499558549
28,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,DAMG,2,,,,,,,,,,,,,,,0.193544620054420
29,MSL,2023,RA2301,BAK-2041,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.159988281996347
30,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.218852643478377
31,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,MOSP,0,0,0,0,40,EM,,,,,,,,,,,,,,,,,,0.567144884148175
32,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,CB,,,,,,,,,,,,,,,,,,0.226504856314864
33,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,35,CB,,,,,,,,,,,,,,,,,,0.093124970247666
