"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","totaldead"
"0","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.086114574,"HAW-04221 0",2.5,0
"1","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.08810732,"HAW-04221 0",2.5,0
"2","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",3,"EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.101588631,"HAW-04221 0",2.5,3
"3","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMON","0",0,"0","0",70,"EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.772290625,"HAW-04221 0",2.5,70
"4","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",30,"EM",NA,0,NA,0,NA,0,"DIS",7,0,NA,0,0,NA,0,0,0.363856153,"HAW-04221 0",2.5,30
"5","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",10,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.119903502,"HAW-04221 0",2.5,10
"6","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",30,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.369351878,"HAW-04221 0",2.5,30
"7","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.060424167,"HAW-04221 0",2.5,0
"8","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.096580174,"HAW-04221 0",2.5,0
"9","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.10575221,"HAW-04221 0",2.5,5
"10","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","POCS","0",0,"0","0",3,"BR","TLS",5,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.196401248,"HAW-04221 0",2.5,8
"11","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",55,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.074389784,"HAW-04221 0",2.5,55
"12","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",10,"MD","TLS",3,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.374663075,"HAW-04221 0",2.5,13
"13","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",2,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1286014,"HAW-04221 0",2.5,2
"14","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","POCS","0",0,"0","0",60,"BR",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.318173616,"HAW-04221 0",2.5,60
"15","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",45,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.406231878,"HAW-04221 0",2.5,45
"16","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",45,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.572264589,"HAW-04221 0",2.5,45
"17","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMON","0",0,"0","0",20,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.176872072,"HAW-04221 0",2.5,20
"18","MA",2019,"SE1902","HAW-04221","B","0",1,1,"0","MPAT","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.039998126,"HAW-04221 0",1,0
"19","MA",2019,"SE1902","HAW-04221","B","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.018677527,"HAW-04221 0",1,0
"20","MA",2019,"SE1902","HAW-04221","B","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.014741099,"HAW-04221 0",1,0
"21","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0",0,"0","0",60,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053886176,"HAW-04221 0",2.5,60
"22","MA",2019,"SE1902","HAW-04221","B","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.017202907,"HAW-04221 0",1,0
"23","MA",2019,"SE1902","HAW-04221","B","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.02080625,"HAW-04221 0",1,0
"24","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0",0,"0","0",15,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.121273658,"HAW-04231 0",2.5,15
"25","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.090802918,"HAW-04231 0",2.5,0
"26","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.256507797,"HAW-04231 0",2.5,0
"27","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","POSP","0",0,"0","0",70,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09293078,"HAW-04231 0",2.5,70
"28","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.132274903,"HAW-04231 0",2.5,0
"29","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0",0,"0","0",5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058495811,"HAW-04231 0",2.5,5
"30","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0",0,"0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.146924334,"HAW-04231 0",2.5,60
"31","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0",0,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.167692487,"HAW-04231 0",2.5,0
"32","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0",0,"0","0",85,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.34067229,"HAW-04231 0",2.5,85
"33","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","PMEA","0",-1,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.037566209,"HAW-04231 0",1,0
"34","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","PMEA","0",-1,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.02616639,"HAW-04231 0",1,0
"35","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","PMEA","0",-1,"0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.026867267,"HAW-04231 0",1,0
"36","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","POSP","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.01510033,"HAW-04231 0",1,0
"37","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","PMEA","0",-1,"0","0",0,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.020658412,"HAW-04231 0",1,0
"38","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","MCAP","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.045304526,"HAW-04231 0",1,0
"39","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.021542516,"HAW-04231 0",1,0
"40","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","MCAP","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.015035957,"HAW-04231 0",1,0
"41","MA",2019,"SE1902","HAW-04231","B","0",1,1,"0","MCAP","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.038916578,"HAW-04231 0",1,0
"42","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.218500572,"HAW-04240 5",2.5,70
"43","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",60,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.142456239,"HAW-04240 5",2.5,60
"44","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",65,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.094299204,"HAW-04240 5",2.5,65
"45","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.083715291,"HAW-04240 5",2.5,15
"46","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.049222963,"HAW-04240 5",1,0
"47","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.064510852,"HAW-04240 5",2.5,0
"48","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054645403,"HAW-04240 5",2.5,0
"49","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.120758644,"HAW-04240 5",2.5,30
"50","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123146254,"HAW-04240 5",2.5,70
"51","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.117461696,"HAW-04240 5",2.5,20
"52","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.065068042,"HAW-04240 5",2.5,0
"53","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.070818995,"HAW-04240 5",2.5,20
"54","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123628031,"HAW-04240 5",2.5,20
"55","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.087153256,"HAW-04240 5",2.5,0
"56","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.055167835,"HAW-04240 5",2.5,0
"57","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.08863611,"HAW-04240 5",2.5,15
"58","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.061745446,"HAW-04240 5",2.5,0
"59","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",3,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056339773,"HAW-04240 5",2.5,3
"60","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.249381414,"HAW-04240 5",2.5,35
"61","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",75,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.061303916,"HAW-04240 5",2.5,75
"62","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.071225347,"HAW-04240 5",2.5,30
"63","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.17209172,"HAW-04240 5",2.5,55
"64","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.200987885,"HAW-04240 5",2.5,25
"65","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.183697169,"HAW-04240 5",2.5,20
"66","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058414381,"HAW-04240 5",2.5,60
"67","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.407339231,"HAW-04240 5",2.5,30
"68","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.069327123,"HAW-04240 5",2.5,15
"69","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.196462567,"HAW-04240 5",2.5,60
"70","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"EM",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,0.099236737,"HAW-04240 5",2.5,20
