OID_,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,FRAGMENT,JUVENILE,REMNANT,OLD_DEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Length
1,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,FSTE,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.020768973
2,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,FASP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.012467375
3,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.034826393
4,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.038683606
5,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,PLOB,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.085579381
6,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,65,MD,,,,,,,,,,,,,,,,0.141276583
7,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.02968539
8,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,PMEA,0,0,0,0,3,BR,,,,,,,,,,,,,,,,0.053462066
9,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,PHSP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.034107219
10,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,ACSP,0,-1,0,0,75,BR,,,,,,,,,,,,,,,,0.083518891
11,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,LPUR,0,0,0,0,45,EM,,,,,,,,,,,,,,,,0.078418406
12,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,10,MD,,,,,,,,,,,,,,,,0.102238036
13,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,55,MD,,,,,,,,,,,,,,,,0.173236317
14,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,25,MD,,,,,,,,,,,,,,,,0.145464031
15,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,POSP,0,0,0,0,5,KN,,,,,,,,,,,,,,,,0.057720312
16,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,50,MD,,,,,,,,,,,,,,,,0.115158032
17,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,3,EM,,,,,,,,,,,,,,,,0.054852326
18,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,30,MD,,,,,,,,,,,,,,,,0.110163803
19,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,35,MD,,,,,,,,,,,,,,,,0.104673487
20,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,45,MD,,,,,,,,,,,,,,,,0.107527702
