"COLONYID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Length","SEGAREA"
1,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"FSTE",0,"EM",0,-1,0,0,0.020768973,1
2,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"FASP",0,"EM",0,-1,0,0,0.012467375,1
3,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"AMYR",0,"EM",0,-1,0,0,0.034826393,1
4,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"AMYR",0,"EM",0,-1,0,0,0.038683606,1
7,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"AMYR",0,"EM",0,-1,0,0,0.02968539,1
9,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"PHSP",0,"EM",0,-1,0,0,0.034107219,1
27,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"FASP",0,"EM",0,-1,0,0,0.008178292,1
29,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"AMYR",0,"MD",0,-1,0,0,0.038150544,1
30,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.016862337,1
32,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"AMYR",0,"MD",0,-1,0,0,0.041190163,1
34,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.016553648,1
42,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"PLOB",0,"MD",0,-1,0,0,0.020865457,1
43,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.022209492,1
57,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.043369848,1
62,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.04003287,1
64,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"CYPS",0,"EM",0,-1,0,0,0.022135033,1
65,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"FASP",0,"EM",0,-1,0,0,0.016416693,1
67,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"STSP",0,"EM",0,-1,0,0,0.01807906,1
68,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.016474443,1
69,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.046986206,1
70,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"FASP",0,"EM",0,-1,0,0,0.036872777,1
73,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"CYPS",0,"EM",0,-1,0,0,0.014466122,1
74,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.03830576,1
81,"NBO",2022,"RA2201","GUA-2730","A","10",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.020710335,1
85,"NBO",2022,"RA2201","GUA-2730","A","10",1,1,0,"PDAM",0,"BR",0,-1,0,0,0.047443829,1
110,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.04631753,1
201,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.034729782,1
231,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.030916582,1
232,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.045072292,1
233,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.014758123,1
234,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"GONS",0,"EM",0,-1,0,0,0.011418229,1
235,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,"CO",0,-1,0,0,0.040253979,1
236,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"POSP",0,"EM",0,-1,0,0,0.00893409,1
237,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"POSP",0,"EM",0,-1,0,0,0.012466514,1
