"OID_","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","FRAGMENT","JUVENILE","REMNANT","OLD_DEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Length","site_seg","SEGAREA","totaldead","COLONYID"
1,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"FSTE",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020768973,"GUA-2730 10",1,NA,1
2,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"FASP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012467375,"GUA-2730 10",1,NA,2
3,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"AMYR",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034826393,"GUA-2730 10",1,NA,3
4,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"AMYR",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038683606,"GUA-2730 10",1,NA,4
5,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PLOB",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085579381,"GUA-2730 10",2.5,NA,5
6,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,65,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141276583,"GUA-2730 10",2.5,NA,6
7,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"AMYR",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02968539,"GUA-2730 10",1,NA,7
8,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PMEA",0,0,0,0,3,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053462066,"GUA-2730 10",2.5,NA,8
9,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"PHSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034107219,"GUA-2730 10",1,NA,9
10,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,-1,0,0,75,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083518891,"GUA-2730 10",2.5,NA,10
