"","SPCODE","MORPH_CODE"
"1","PLUT","MD"
"3","ACYT","KN"
"5","ACSP","EM"
"6","MCAP","EM"
"7","MPAT","EM"
"8","ACSP","KN"
"12","POSP","EM"
"16","POSP","MD"
"30","MOSP","EM"
"34","PLOB","MD"
"36","ACYT","TB"
"136","POCS","BR"
"140","FUSP","FR"
"144","PSSP","BR"
"191","PLIG","BR"
"221","POCS","EM"
"225","PSTE","BR"
"229","PMVC","BR"
"240","DIAS","FR"
"252","PSTE","FR"
"268","POCS","KN"
"280","CYSP","FR"
"290","LEPT","EM"
"295","PCHI","EM"
"304",NA,NA
"305","ACYT","EM"
"307","ACSP","DI"
"320","PMVC","KN"
"333","ACYT","CB"
"348","MINC","EM"
"351","PCOM","BR"
"370","POSP","KN"
"402","PLIC","EM"
"419","PCOM","KN"
"511","ACSP","BR"
"515","POSP","BR"
"546","CYPS","EM"
"548","PLUT","EM"
"615","POSP","CO"
"617","MFLA","EM"
"680","APAN","TB"
"705","ACSP","TB"
"706","PMRC","MD"
"717","APAN","BR"
"734","APAN","KN"
"796","PLOB","EM"
"842","MCAP","PL"
"1032","PGWC","BR"
"1073","LPUR","EM"
"1133","PDUE","ML"
"1272","ACYT","BR"
"1438","PSTE","KN"
"1439","PDAM","BR"
"1553","PLIC","PL"
"1779","PDUE","EM"
"1888","ACSP","CB"
"1911","PVAR","EM"
"2116","LESP","EM"
"2159","LMYC","EM"
"3012","LBEW","EM"
"3302","PCOM","CO"
"3304","POSP","PL"
"3342","PLOB","PL"
"3450","PMVC","EM"
"5424","PMAL","MD"
"5600","MCAP","BR"
"6150","PMRC","PL"
"6151","PMRC","EM"
"6271","PMRC","LC"
"6433","PSSP","EM"
"6612","PMRC","KN"
"6621","PDUE","MD"
"7325","MCAP","KN"
"7372","MPAT","PL"
"7698","PPRO","EM"
"7715","MCAP","LC"
"7761","PMAL","EM"
"7763","MOSP","PL"
"8090","PMAL","PL"
"10058","MPAT","MD"
"10361","PVAR","MD"
"10387","PNIE","EM"
"11232","PSSP","KN"
"12565","PLIC","MD"
"13092","CYPS","MD"
"13286","MCAP","FO"
"13458","PMAL","KN"
"13962","PMAL","ML"
"14497","CYPS","KN"
"14542","PSTE","EM"
"15499","LINC","EM"
"16599","MOSP","BR"
"18380","MINC","BR"
"19876","MCAP","CO"
"23925","PDUE","KN"
"24583","PLIC","FO"
"24616","PPRO","MD"
"25177","PSSP","MD"
"25199","LMYC","PL"
