,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,JUV_SUBSTRATE,REMNANT,OLD_DEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Length,site_seg,SEGAREA,totaldead
1,MSL,2024,SE2406,FFS-4717,A,5,2.5,1,0,POSP,0,0,,0,40,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041727928,FFS-4717 5,2.5,NA
2,MSL,2024,SE2406,FFS-4717,A,5,2.5,1,0,ACSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037659127,FFS-4717 5,2.5,NA
3,MSL,2024,SE2406,FFS-4717,A,5,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036694686,FFS-4717 5,2.5,NA
4,MSL,2024,SE2406,FFS-4717,A,5,2.5,1,0,ACSP,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037831866,FFS-4717 5,2.5,NA
5,MSL,2024,SE2406,FFS-4717,A,5,2.5,1,0,POSP,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03909335,FFS-4717 5,2.5,NA
6,MSL,2024,SE2406,FFS-4717,A,5,2.5,1,0,PLIC,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038550745,FFS-4717 5,2.5,NA
7,MSL,2024,SE2406,FFS-4717,A,10,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045795743,FFS-4717 10,2.5,NA
8,MSL,2024,SE2406,FFS-4750,A,10,2.5,1,0,POCS,0,0,,0,0,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021691013,FFS-4750 10,2.5,NA
9,MSL,2024,SE2406,FFS-4750,A,10,2.5,1,0,POSP,0,0,,0,10,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049491917,FFS-4750 10,2.5,NA
10,MSL,2024,SE2406,FFS-4750,A,10,2.5,1,0,POSP,0,0,,-1,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051198828,FFS-4750 10,2.5,NA
11,MSL,2024,SE2406,FFS-4818,A,5,2.5,1,0,PSTE,0,0,,0,30,KN,NA,NA,NA,NA,NA,NA,BLE,90,2,NA,NA,NA,NA,NA,NA,0.047034031,FFS-4818 5,2.5,NA
12,MSL,2024,SE2406,FFS-4856,A,0,2.5,1,0,PDUE,0,0,,0,35,ML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049789256,FFS-4856 0,2.5,NA
14,MSL,2024,SE2406,HAW-4650,A,5,2.5,1,0,POSP,0,0,,0,35,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049723334,HAW-4650 5,2.5,NA
15,MSL,2024,SE2406,HAW-4667,A,0,2.5,1,0,POSP,0,0,,0,3,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049805321,HAW-4667 0,2.5,NA
16,MSL,2024,SE2406,HAW-4677,A,0,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483,HAW-4677 0,2.5,NA
17,MSL,2024,SE2406,HAW-4677,A,0,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048858981,HAW-4677 0,2.5,NA
18,MSL,2024,SE2406,HAW-4677,A,0,2.5,1,0,POSP,0,0,,0,5,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044723372,HAW-4677 0,2.5,NA
19,MSL,2024,SE2406,HAW-4677,A,5,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048264376,HAW-4677 5,2.5,NA
20,MSL,2024,SE2406,HAW-4677,A,10,2.5,1,0,POSP,0,0,,-1,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051048408,HAW-4677 10,2.5,NA
21,MSL,2024,SE2406,HAW-4677,A,10,2.5,1,0,POSP,0,0,,-1,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052532753,HAW-4677 10,2.5,NA
22,MSL,2024,SE2406,HAW-4677,A,10,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049851479,HAW-4677 10,2.5,NA
23,MSL,2024,SE2406,HAW-4697,A,0,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047703355,HAW-4697 0,2.5,NA
24,MSL,2024,SE2406,HAW-4697,A,15,2.5,1,0,POSP,0,0,,-1,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054540719,HAW-4697 15,2.5,NA
25,MSL,2024,SE2406,HAW-4698,A,0,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043452158,HAW-4698 0,2.5,NA
26,MSL,2024,SE2406,HAW-4698,A,0,2.5,1,0,MCAP,0,0,,0,50,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044250312,HAW-4698 0,2.5,NA
27,MSL,2024,SE2406,HAW-4698,A,0,2.5,1,0,POSP,0,0,,0,50,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039588004,HAW-4698 0,2.5,NA
28,MSL,2024,SE2406,HAW-4698,A,5,2.5,1,0,MOSP,0,0,,0,20,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04865686,HAW-4698 5,2.5,NA
