"","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","JUV_SUBSTRATE","REMNANT","OLD_DEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Length","site_seg","SEGAREA","combo"
"1","CA",2024,"SE2406","HAW-4657","A","5",2.5,1,0,"PLOB",0,0,"",0,20,"PL","FISH",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441972047,"HAW-4657 5",2.5,"PLOB_PL"
"2","CA",2024,"SE2406","HAW-4657","A","5",2.5,1,0,"PLOB",0,0,"",0,4,"PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248167564,"HAW-4657 5",2.5,"PLOB_PL"
"3","JC",2024,"SE2406","HAW-4678","A","0",2.5,1,0,"PLOB",0,0,"",0,3,"PL","FISH",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134900334,"HAW-4678 0",2.5,"PLOB_PL"
"4","JC",2024,"SE2406","HAW-4678","A","0",2.5,1,0,"PLOB",0,0,"",0,2,"PL","FISH",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085267873,"HAW-4678 0",2.5,"PLOB_PL"
"5","JC",2024,"SE2406","HAW-4678","A","0",2.5,1,0,"PLOB",0,0,"",0,15,"PL","FISH",5,"GAST",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647444523,"HAW-4678 0",2.5,"PLOB_PL"
"6","IGB",2024,"SE2406","HAW-4731","A","0",2.5,1,0,"PLOB",0,0,"",0,20,"PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128055769,"HAW-4731 0",2.5,"PLOB_PL"
"7","CA",2024,"SE2406","HAW-4733","A","5",2.5,1,0,"PLOB",0,0,"",0,10,"PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088266075,"HAW-4733 5",2.5,"PLOB_PL"
"8","CA",2024,"SE2406","HAW-4733","A","5",2.5,1,0,"PLOB",0,0,"",0,9,"PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071191081,"HAW-4733 5",2.5,"PLOB_PL"
"9","CA",2024,"SE2406","KAH-0741","A","10",2.5,1,0,"PMAL",0,0,"",0,2,"PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059058107,"KAH-0741 10",2.5,"PMAL_PL"
"10","MSL",2024,"SE2406","LIS-4621","A","5",2.5,1,0,"PSTE",0,0,"",0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053423965,"LIS-4621 5",2.5,"PSTE_EM"
"11","MSL",2024,"SE2406","LIS-4621","A","10",2.5,1,0,"PSTE",0,0,"",0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0803254,"LIS-4621 10",2.5,"PSTE_EM"
"12","MSL",2024,"SE2406","LIS-4621","A","10",2.5,1,0,"PSTE",0,0,"",0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050153763,"LIS-4621 10",2.5,"PSTE_EM"
"13","MSL",2024,"SE2406","LIS-4621","A","10",2.5,1,0,"PSTE",0,0,"",0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061360084,"LIS-4621 10",2.5,"PSTE_EM"
"14","MSL",2024,"SE2406","LIS-4621","A","10",2.5,1,0,"PSTE",0,0,"",0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07543348,"LIS-4621 10",2.5,"PSTE_EM"
"15","MSL",2024,"MP2404","OAH-4420","A","5",1,1,0,"PDUE",0,-1,"TURFH",0,NA,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036087948,"OAH-4420 5",1,"PDUE_KN"
