"","FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg"
"1","5797"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.045510109," -   NA 0"
"2","5798"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","PLOB","0","0","0","-1","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.046966584," -   NA 0"
"3","5799"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.082329642," -   NA 0"
"4","5800"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","2","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.223309875," -   NA 0"
"5","5801"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MPAT","0","0","0","0","10","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.212201602," -   NA 0"
"6","5802"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.054005647," -   NA 0"
"7","5803"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EC"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.068059165," -   NA 0"
"8","5804"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.032978932," -   NA 0"
"9","5805"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0,"BLE",100,1," ",0,0," ",0,0,0.058238303," -   NA 0"
"10","5806"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.145739665," -   NA 0"
"11","5807"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","POSP","0","0","0","0","5","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.057750932," -   NA 0"
"12","5808"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","2","EM"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.092938258," -   NA 0"
"13","5809"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MPAT","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.074875431," -   NA 0"
"14","5810"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","75","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.399158327," -   NA 0"
"15","5811"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","3","EC"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.381792312," -   NA 0"
"16","5812"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","POSP","0","0","0","0","15","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.162707868," -   NA 0"
"17","5813"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.112824554," -   NA 0"
"18","5814"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","1","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.069731629," -   NA 0"
"19","5815"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.164002744," -   NA 0"
"20","5816"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.07277637," -   NA 0"
"21","5817"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","POSP","0","-1","0","0","0","MD"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.008602324," -   NA 0"
"22","5818"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.034600577," -   NA 0"
"23","5819"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","POSP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.007981228," -   NA 0"
"24","5820"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EC"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.102824998," -   NA 0"
"25","5821"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.075795051," -   NA 0"
"26","5822"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.034949391," -   NA 0"
"27","5823"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","2","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.328899757," -   NA 0"
"28","5824"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.095678316," -   NA 0"
"29","5825"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.111346171," -   NA 0"
"30","5826"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","2","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.263743302," -   NA 0"
"31","5827"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","30","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.079976622," -   NA 0"
"32","5828"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","0","LM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.221216749," -   NA 0"
"33","5829"," ",2019,"SE1902"," -   NA"," ","0",2.5,1,"0","MCAP","0","0","0","0","3","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.235399085," -   NA 0"
"34","5830"," ",2019,"SE1902"," -   NA"," ","0",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.006352952," -   NA 0"
"35","5831"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","PLOB","0","0","0","0","10","MD"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.054173887," -   NA 5"
"36","5832"," ",2019,"SE1902"," -   NA"," ","5",1,1,"0","PCOM","0","-1","0","0","0","BR"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.045818446," -   NA 5"
"37","5833"," ",2019,"SE1902"," -   NA"," ","5",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.026509243," -   NA 5"
"38","5834"," ",2019,"SE1902"," -   NA"," ","5",1,1,"0","MCAP","0","-1","0","0","0","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.046687152," -   NA 5"
"39","5835"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","5","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.141061583," -   NA 5"
"40","5836"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","PLOB","0","0","0","0","80","MD"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.19308612," -   NA 5"
"41","5837"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","25","EC"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.232879411," -   NA 5"
"42","5838"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.08553128," -   NA 5"
"43","5839"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","0","EC"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.060532471," -   NA 5"
"44","5840"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","20","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.293271888," -   NA 5"
"45","5841"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","10","EC"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.235481315," -   NA 5"
"46","5842"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","POSP","0","0","0","0","15","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.334610998," -   NA 5"
"47","5843"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","35","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.327493664," -   NA 5"
"48","5844"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","5","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.273435989," -   NA 5"
"49","5845"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","10","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.406257063," -   NA 5"
"50","5846"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.062727347," -   NA 5"
"51","5847"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","PMEA","0","0","0","0","0","BR"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.053445393," -   NA 5"
"52","5848"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","30","EM"," ",0," ",0," ",0,"BLE",100,1," ",0,0," ",0,0,0.106032542," -   NA 5"
"53","5849"," ",2019,"SE1902"," -   NA"," ","5",1,1,"0","MOSP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.013553228," -   NA 5"
"54","5850"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","3","EM"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.17336277," -   NA 5"
"55","5851"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MPAT","0","0","0","0","3","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.0635," -   NA 5"
"56","5852"," ",2019,"SE1902"," -   NA"," ","5",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.051744082," -   NA 5"
"57","5853"," ",2019,"SE1902"," -   NA"," ","5",1,1,"0","MCAP","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.0198," -   NA 5"
