"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY_","SPCODE","FRAGMENT_Y","MORPH_CODE","EX_BOUND","OLDDEAD","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","SHAPE_Leng","SEGAREA","site_seg"
0,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.085374762,2.5,"HAW-04221 0"
1,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,4,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.100469348,2.5,"HAW-04221 0"
2,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,30,"NA",0,"NA",0,"NA",0,"PRS",2,0,"NA",0,0,"NA",0,0,0.329229403,2.5,"HAW-04221 0"
3,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.088897469,2.5,"HAW-04221 0"
4,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,78,"NA",0,"NA",0,"NA",0,"PRS",3,0,"NA",0,0,"NA",0,0,0.768838631,2.5,"HAW-04221 0"
5,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,28,"NA",0,"NA",0,"NA",0,"PRS",1,0,"NA",0,0,"NA",0,0,0.367351126,2.5,"HAW-04221 0"
6,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLIC",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.11175585,2.5,"HAW-04221 0"
7,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.056405763,2.5,"HAW-04221 0"
8,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,28,"NA",0,"NA",0,"NA",0,"PRS",1,0,"NA",0,0,"NA",0,0,0.192092322,2.5,"HAW-04221 0"
9,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,33,"NA",0,"NA",0,"NA",0,"PRS",1,0,"NA",0,0,"NA",0,0,0.553040334,2.5,"HAW-04221 0"
