FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng
0,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,10,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.076228931
1,MA,2019,SE1902,HAW-4240,A,0,1,1,0,MCAP,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.0087
2,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.007528611
3,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,5,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.053894712
4,MA,2019,SE1902,HAW-4240,A,0,1,1,0,POSP,0,-1,0,0,0,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.04904498
5,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.00994887
6,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,25,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.079411901
7,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.017274259
8,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.044659826
9,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.00986154
10,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.030611437
11,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,20,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.05017609
12,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.016160445
13,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.022927058
14,MA,2019,SE1902,HAW-4240,A,0,1,1,0,POSP,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.012940247
15,MA,2019,SE1902,HAW-4240,A,0,1,1,0,POSP,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.047312683
16,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,35,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.079520123
17,MA,2019,SE1902,HAW-4240,A,0,1,1,0,POSP,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.014217243
18,MA,2019,SE1902,HAW-4240,A,0,1,1,0,POSP,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.006449806
19,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.010123734
20,MA,2019,SE1902,HAW-4240,A,0,1,1,0,POSP,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.005024939
21,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.040383289
22,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.047346911
23,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.042629802
24,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.011881077
25,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.00804301
26,MA,2019,SE1902,HAW-4240,A,0,1,1,0,PLOB,0,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.01896365
27,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,-1,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.075245265
28,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,85,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.06239391
29,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,15,MD, ,0, ,0, ,0,DIS,5,0, ,0,0, ,0,0,0.129945566
30,MA,2019,SE1902,HAW-4240,A,0,2.5,1,0,PLOB,0,0,0,0,20,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.137253232
