FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng
0,MSL,2019,SE1902,HAW-3451,A,0,2.5,1, ,MCAP, ,0,0,0,65,EF, ,0, ,0, ,0,BLE,35,3, ,0,0, ,0,0,0.21656006
1,MSL,2019,SE1902,HAW-3451,A,0,2.5,1, ,MCAP, ,0,0,0,30,EF, ,0, ,0, ,0,BLE,70,3, ,0,0, ,0,0,0.139062935
2,MSL,2019,SE1902,HAW-3451,A,0,1,1, ,PLOB, ,-1,0,0,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.030004332
3,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,85,EF, ,0, ,0, ,0,BLE,15,2, ,0,0, ,0,0,0.528823487
4,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,1,EF, ,0, ,0, ,0,BLE,99,3, ,0,0, ,0,0,0.076415509
5,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,PLOB, ,0,0,0,60,EM, ,0, ,0, ,0,ALG,1,0, ,0,0, ,0,0,0.183295091
6,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,20,EF, ,0, ,0, ,0,BLE,80,3, ,0,0, ,0,0,0.18740683
7,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,65,EF, ,0, ,0, ,0,BLE,35,2, ,0,0, ,0,0,0.53293978
8,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,10,EF,PRED,1, ,0, ,0, ,0,0, ,0,0, ,0,0,0.198076803
9,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,50,EF, ,0, ,0, ,0,BLE,50,3, ,0,0, ,0,0,0.097704964
10,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MPAT, ,0,0,0,1,EM, ,0, ,0, ,0,BLE,99,2, ,0,0, ,0,0,0.076046434
11,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MCAP, ,0,0,0,0,EF, ,0, ,0, ,0,BLE,100,3, ,0,0, ,0,0,0.12423349
12,MSL,2019,SE1902,HAW-3451,A,5,2.5,1, ,MPAT, ,0,0,0,1,EF, ,0, ,0, ,0,BLE,99,3, ,0,0, ,0,0,0.066520975
13,MSL,2019,SE1902,HAW-3451,A,5,1,1,-1, , , ,0,0,0, , ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.0042
14,MSL,2019,SE1902,HAW-3451,A,10,2.5,1, ,MCAP, ,0,0,0,40,EM, ,0, ,0, ,0,BLE,20,2, ,0,0, ,0,0,0.540728998
15,MSL,2019,SE1902,HAW-3451,A,10,2.5,1, ,MCAP, ,0,0,0,1,EF, ,0, ,0, ,0,BLE,99,3,ALG,1,0, ,0,0,0.12807443
16,MSL,2019,SE1902,HAW-3451,A,10,1,1,-1, , , ,0,0,0, , ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.001700001
17,MSL,2019,SE1902,HAW-3451,A,10,2.5,1, ,MCAP, ,0,0,0,1,EF, ,0, ,0, ,0,BLE,99,3, ,0,0, ,0,0,0.129862889
18,MSL,2019,SE1902,HAW-3451,A,10,2.5,1, ,MCAP, ,0,0,0,0,EF, ,0, ,0, ,0,BLE,100,3, ,0,0, ,0,0,0.061356989
19,MSL,2019,SE1902,HAW-3451,A,10,2.5,1, ,MCAP, ,0,0,0,55,EF, ,0, ,0, ,0,BLE,45,3, ,0,0, ,0,0,0.233767107
