SITEVISITID,ROUNDID,MISSIONID,REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,new_MIN_DEPTH_M,new_MAX_DEPTH_M,SITE,OLD_SITE,OCC_SITEID,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOV,LONGITUDE_LOV,OBS_YEAR,ANALYSIS_YEAR,DATE_,HABITAT_CODE,Type
52166,191,RA2301_LEG7,SAMOA,Tau,,Forereef,Mid,,,TAU-02,TAU-02,OCC-TAU-007,-14.251191,-169.447133,-14.25116,-169.44694,2023,2023,8-Aug-23,,Oceanography
51991,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OLO-05,OLO-05,OCC-OFU-005,-14.16335,-169.62453,-14.16373,-169.62435,2023,2023,29-Jul-23,,Oceanography
51989,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-01,OFU-01,OCC-OFU-004,-14.164439,-169.655679,-14.16463,-169.65568,2023,2023,29-Jul-23,,Oceanography
51863,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-03,OFU-03,OCC-OFU-012,-14.186419,-169.659871,-14.18653,-169.66115,2023,2023,22-Jul-23,,Oceanography
51864,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-03,OFU-03,OCC-OFU-012,-14.186487,-169.660117,-14.18653,-169.66115,2023,2023,22-Jul-23,,Oceanography
51790,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-02,TUT-02,OCC-TUT-009,-14.27782,-170.60721,-14.27779,-170.60717,2023,2023,7-Jul-23,,Oceanography
51791,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-02,TUT-02,OCC-TUT-009,-14.277671,-170.607166,-14.27779,-170.60717,2023,2023,7-Jul-23,,Oceanography
52107,191,RA2301_LEG7,SAMOA,Tutuila,,Forereef,Mid,,,TUT-08,TUT-08,OCC-TUT-023,-14.291488,-170.780461,-14.29173,-170.78057,2023,2023,5-Aug-23,,Oceanography
52108,191,RA2301_LEG7,SAMOA,Tutuila,,Forereef,Mid,,,TUT-08,TUT-08,OCC-TUT-023,-14.291488,-170.780461,-14.29173,-170.78057,2023,2023,5-Aug-23,,Oceanography
51665,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-16,TUT-16,OCC-TUT-007,-14.285299,-170.564028,-14.28551,-170.56406,2023,2023,30-Jun-23,,Oceanography
51668,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-16,TUT-16,OCC-TUT-007,-14.285001,-170.564022,-14.28551,-170.56406,2023,2023,30-Jun-23,,Oceanography
51666,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-16,TUT-16,OCC-TUT-007,-14.285334,-170.563993,-14.28551,-170.56406,2023,2023,30-Jun-23,,Oceanography
51809,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-17,TUT-17,OCC-TUT-005,-14.245193,-170.572552,-14.24606,-170.57182,2023,2023,8-Jul-23,,Oceanography
51987,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-09,OFU-09,OCC-OFU-002,-14.157622,-169.674219,-14.15785,-169.67442,2023,2023,29-Jul-23,,Oceanography
51988,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-09,OFU-09,OCC-OFU-002,-14.157452,-169.674323,-14.15785,-169.67442,2023,2023,29-Jul-23,,Oceanography
52072,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-09,OFU-09,OCC-OFU-002,-14.157295,-169.67447,-14.15785,-169.67442,2023,2023,2-Aug-23,,Oceanography
52070,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-06,OFU-06,OCC-OFU-014,-14.17419,-169.681927,-14.1738,-169.68182,2023,2023,2-Aug-23,,Oceanography
52071,191,RA2301_LEG7,SAMOA,Ofu & Olosega,,Forereef,Mid,,,OFU-06,OFU-06,OCC-OFU-014,-14.174244,-169.681885,-14.1738,-169.68182,2023,2023,2-Aug-23,,Oceanography
51068,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Mid,,,BAK-11,BAK-11,OCC-BAK-011,0.198612,-176.484889,0.1989,-176.485,2023,2023,17-Mar-23,,Oceanography
51069,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Mid,,,BAK-11,BAK-11,OCC-BAK-011,0.198625,-176.484922,0.1989,-176.485,2023,2023,17-Mar-23,,Oceanography
51027,187,RA2301_LEG2,PRIAs,Howland,,Forereef,Shallow,,,HOW-214,HOW-214,OCC-HOW-008,0.806591,-176.621488,0.80664544,-176.621334,2023,2023,15-Mar-23,,Oceanography
51024,187,RA2301_LEG2,PRIAs,Howland,,Forereef,Shallow,,,HOW-214,HOW-214,OCC-HOW-008,0.806556,-176.62136,0.80664544,-176.621334,2023,2023,15-Mar-23,,Oceanography
51890,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.538873,-168.145778,-14.5395,-168.1457,2023,2023,23-Jul-23,,Oceanography
51920,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.538746,-168.145805,-14.5395,-168.1457,2023,2023,25-Jul-23,,Oceanography
51921,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.538868,-168.145805,-14.5395,-168.1457,2023,2023,25-Jul-23,,Oceanography
52005,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.539187,-168.14559,-14.5395,-168.1457,2023,2023,30-Jul-23,,Oceanography
51889,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.53881,-168.145771,-14.5395,-168.1457,2023,2023,23-Jul-23,,Oceanography
51891,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.538534,-168.145802,-14.5395,-168.1457,2023,2023,23-Jul-23,,Oceanography
52026,191,RA2301_LEG7,SAMOA,Rose,,Forereef,Mid,,,ROS-01,ROS-01,OCC-ROS-002,-14.538601,-168.145837,-14.5395,-168.1457,2023,2023,31-Jul-23,,Oceanography
51785,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-513,TUT-513,OCC-TUT-010,-14.288578,-170.63446,-14.288335,-170.63475,2023,2023,7-Jul-23,,Oceanography
51786,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-513,TUT-513,OCC-TUT-011,-14.288397,-170.634552,-14.288335,-170.63475,2023,2023,7-Jul-23,,Oceanography
51788,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-513,TUT-513,OCC-TUT-011,-14.288304,-170.634508,-14.288335,-170.63475,2023,2023,7-Jul-23,,Oceanography
51787,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Mid,,,TUT-513,TUT-513,OCC-TUT-010,-14.288818,-170.63443,-14.288335,-170.63475,2023,2023,7-Jul-23,,Oceanography
52103,191,RA2301_LEG7,SAMOA,Tutuila,,Forereef,Mid,,,TUT-19,TUT-19,OCC-TUT-025,-14.28311,-170.72832,-14.28323,-170.72801,2023,2023,5-Aug-23,,Oceanography
52105,191,RA2301_LEG7,SAMOA,Tutuila,,Forereef,Mid,,,TUT-19,TUT-19,OCC-TUT-025,-14.283142,-170.728314,-14.28323,-170.72801,2023,2023,5-Aug-23,,Oceanography
52106,191,RA2301_LEG7,SAMOA,Tutuila,,Forereef,Mid,,,TUT-19,TUT-19,OCC-TUT-025,-14.283213,-170.72849,-14.28323,-170.72801,2023,2023,5-Aug-23,,Oceanography
