"METHOD","SITEVISITID","SITE","Adult_Shannon","Adult_Simpson","Adult_Hills","Adult_Richness","Juv_Shannon","Juv_Simpson","Juv_Hills","Juv_Richness","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","GENSPratio_Adult","logGENSPratio_Adult","GENSPratio_Juv","logGENSPratio_Juv"
"Diver",51120,"SWA-00964",1.05875787481883,0.51978550295858,2.88278798091311,7,1.05492016798614,0.64,2.87174588749259,3,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Mid",-11.066912,-171.083491,14.9344712,16.1536117,41.80811022,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",167,"SWA_MPA","NOT","SWA_SANCTUARY","",7,1.94591014905531,4,1.38629436111989
"Diver",51125,"SWA-00975",0.727861815085798,0.409652398735995,2.07064844170684,4,0.777140995932613,0.480151228733459,2.17524433450049,3,2023,"SAMOA","Swains","SWA_OPEN","Forereef","Mid",-11.061945,-171.067737,8.533983542,9.448338921,15.6128307,"Swains","SWA_OPEN","Swains","NOT","NOT","NOT","SWA_OPEN","SWA","SWA",NA,"OPEN",62,"SWA_OPEN","NOT","SWA_OPEN","",2.93333333333333,1.07613943281605,NA,NA
"Diver",51140,"SWA-00995",1.45849492110889,0.655759870200108,4.29948359417152,9,1.43682866896303,0.728888888888889,4.20733179542325,5,2023,"SAMOA","Swains","SWA_OPEN","Forereef","Mid",-11.057687,-171.091441,17.37275221,18.28710759,15.6128307,"Swains","SWA_OPEN","Swains","NOT","NOT","NOT","SWA_OPEN","SWA","SWA",NA,"OPEN",62,"SWA_OPEN","NOT","SWA_OPEN","",1.86666666666667,0.624154309072994,1.5,0.405465108108164
"Diver",51143,"SWA-00938",1.52660296251594,0.717111354263109,4.60251531894433,9,1.32966134885476,0.722222222222222,3.77976314968462,4,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Shallow",-11.047027,-171.084079,4.571776897,5.486132277,118.5523679,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",474,"SWA_MPA","NOT","SWA_SANCTUARY","",1.94594594594595,0.665748206371831,NA,NA
"Diver",51160,"SWA-00989",1.57655695138375,0.704849115504683,4.83826870609163,11,0.671153792012057,0.367626886145405,1.95649340532212,3,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Deep",-11.046284,-171.081534,23.16366961,23.77323987,9.371844797,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",37,"SWA_MPA","NOT","SWA_SANCTUARY","",0.28099173553719,-1.26943002098058,0.0952380952380952,-2.35137525716348
"Diver",51164,"SWA-00977",1.02642330605395,0.429906542056075,2.79106517479679,8,0.779225951739174,0.40625,2.17978435403179,4,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Deep",-11.04716,-171.069025,20.42060347,22.24931423,9.371844797,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",37,"SWA_MPA","NOT","SWA_SANCTUARY","",4.63157894736842,1.53289783531177,0.333333333333333,-1.09861228866811
"Diver",51184,"TAU-01327",1.80075798468719,0.780697190426639,6.05423474287766,11,1.62508249152608,0.752,5.07883798099598,7,2023,"SAMOA","Tau","TAU_OPEN","Forereef","Deep",-14.248955,-169.418086,22.85888449,24.38281012,179.335,"Tau","TAU_OPEN","Tau","NOT","NOT","NOT","TAU_OPEN","TAU","TAU","NOT","OPEN",717,"TAU_OPEN","NOT","TAU_OPEN","Area calculated from 50*50 grids",0.0782608695652174,-2.54770755102703,1.5,0.405465108108164
"Diver",51185,"TAU-01306",2.50094899612874,0.898687046835195,12.1940605877847,19,1.47080847632211,0.74,4.35275281648062,5,2023,"SAMOA","Tau","TAU_OPEN","Forereef","Mid",-14.241813,-169.419129,11.88661993,13.71533069,494.905,"Tau","TAU_OPEN","Tau","NOT","NOT","NOT","TAU_OPEN","TAU","TAU","NOT","OPEN",1980,"TAU_OPEN","NOT","TAU_OPEN","Area calculated from 50*50 grids",0.6875,-0.374693449441411,NA,NA
"Diver",51186,"TAU-01294",2.22429438154159,0.837114946474829,9.24695567873668,17,0.983087758574785,0.513888888888889,2.67269615442102,4,2023,"SAMOA","Tau","TAU_OPEN","Forereef","Mid",-14.211412,-169.434351,8.229198415,8.533983542,494.905,"Tau","TAU_OPEN","Tau","NOT","NOT","NOT","TAU_OPEN","TAU","TAU","NOT","OPEN",1980,"TAU_OPEN","NOT","TAU_OPEN","Area calculated from 50*50 grids",4.11428571428571,1.41446523808659,NA,NA
"Diver",51200,"ROS-05250",1.92265702252416,0.816862970410801,6.8391060081133,11,0.974314752869349,0.59375,2.6493511285621,3,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Deep",-14.559759,-168.15997,18.89667784,19.81103322,16.5025,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",66,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.475,-0.744440474947496,NA,NA
