"METHOD","SITE","SITEVISITID","TRANSECTAREA_ad","GENUS_CODE","AdColCount","AdColDen","TRANSECTAREA_j","JuvColCount","JuvColDen","Ave.size","Ave.od","Ave.rd","Predation","AcuteDZ","ChronicDZ","BLE","AcuteDZ_prev","BLE_prev","ChronicDZ_prev","Adpres.abs","Juvpres.abs","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","DB_RZ","STRATANAME","ANALYSIS_SCHEMA","DOMAIN_SCHEMA","ANALYSIS_YEAR"
"SfM","ROS-05229",51205,9.5,"ACAS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"ACSP",3,0.315789473684211,3,0,0,12.8408376028672,0,0,0,0,0,0,0,0,0,1,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"ALSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"ASSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"ASTS",13,1.36842105263158,3,3,1,7.88572020361875,5.84615384615385,0,0,0,0,0,0,0,0,1,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"COSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"CYPS",1,0.105263157894737,3,0,0,37.8426769193343,10,0,0,0,0,0,0,0,0,1,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"ECHP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"FASP",6,0.631578947368421,3,0,0,29.4304580935161,6.66666666666667,0,0,0,0,0,0,0,0,1,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"FAVS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
