"METHOD","SITEVISITID","SITE","Adult_Shannon","Adult_Simpson","Adult_Hills","Adult_Richness","Juv_Shannon","Juv_Simpson","Juv_Hills","Juv_Richness","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","HABITAT_CODE","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","NA","GENSPratio_Adult","logGENSPratio_Adult","GENSPratio_Juv","logGENSPratio_Juv"
"DIVER",38540,"GUA-02717",2.63276186778464,0.884227765180146,13.912140382981,28,2.14852473007324,0.83179012345679,8.57220275130123,13,"2022","MARIAN","Guam","GUA_PITI_BOMB","Forereef","Mid","PAV",13.468966,144.684697,8.229198415,11.58183481,40.25,"GUAM_MP","GUA_MP","Guam","GUA_MP","GUA_MP_MINUS_ACHANG","NOT","NOT","GUA_WEST_MPA","GUA_WEST","NOT","PITI",161,"GUA_WEST_PITI","NOT","GUA_PITI_BOMB","",2,0.653333333333333,-0.425667815425684,1.11764705882353,0.111225635110224
"DIVER",38542,"GUA-02672",2.41881093337881,0.842076124567474,11.2324951859384,23,1.27671970477818,0.6328125,3.58486101484904,5,"2022","MARIAN","Guam","GUA_PITI_BOMB","Forereef","Mid","PAV",13.479462,144.706698,4.571776897,5.18134715,40.25,"GUAM_MP","GUA_MP","Guam","GUA_MP","GUA_MP_MINUS_ACHANG","NOT","NOT","GUA_WEST_MPA","GUA_WEST","NOT","PITI",161,"GUA_WEST_PITI","NOT","GUA_PITI_BOMB","",0,0.416666666666667,-0.8754687373539,7,1.94591014905531
"DIVER",38560,"GUA-02745",2.30283317741026,0.884083044982699,10.002481151917,12,1.95213820941537,0.839506172839506,7.0437324653769,8,"2022","MARIAN","Guam","GUA_PATI_POINT","Forereef","Deep","AGR",13.614547,144.907654,24.07802499,24.99238037,155.25,"GUAM_MP","GUA_MP","Guam","GUA_MP","GUA_MP_MINUS_ACHANG","NOT","NOT","GUA_EAST_MPA","GUA_EAST","NOT","PATI",621,"GUA_EAST_PATI","NOT","GUA_PATI_POINT","",0,1.26666666666667,0.23638877806423,2,0.693147180559945
"DIVER",38561,"GUA-02681",2.42279726640141,0.869146005509642,11.2773610180854,18,1.25661157796028,0.65625,3.51349608705295,5,"2022","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","AGR",13.652454,144.874849,9.143553795,11.88661993,1027.25,"GUAM_EAST_OPEN","GUA_EAST_OPEN","Guam","GUA_EAST_OPEN","GUA_EAST_OPEN","NOT","NOT","GUA_EAST_OPEN","GUA_EAST","NOT","OPEN",4109,"GUA_EAST_OPEN","NOT","GUA_EAST_OPEN","",0,1.64,0.494696241836107,23,3.13549421592915
"DIVER",38562,"GUA-02740",3.1748865107933,0.946540546285471,23.9241045866498,31,1.33166431029301,0.673469387755102,3.78734145651377,5,"2022","MARIAN","Guam","GUA_WEST_OPEN","Forereef","Shallow","AGR",13.654324,144.854606,4.571776897,6.705272783,756.5,"GUAM_WEST_OPEN","GUA_WEST_OPEN","Guam","GUA_WEST_OPEN","GUA_WEST_OPEN","NOT","NOT","GUA_WEST_OPEN","GUA_WEST","NOT","OPEN",3026,"GUA_WEST_OPEN","NOT","GUA_WEST_OPEN","",0,0.901960784313726,-0.103184236235231,13,2.56494935746154
"DIVER",38563,"GUA-02744",2.09136896819502,0.839677047289504,8.09599073534696,12,2.18978800974122,0.863169280692266,8.93331913731778,12,"2022","MARIAN","Guam","GUA_PATI_POINT","Forereef","Deep","PAV",13.604377,144.921127,19.5062481,19.81103322,155.25,"GUAM_MP","GUA_MP","Guam","GUA_MP","GUA_MP_MINUS_ACHANG","NOT","NOT","GUA_EAST_MPA","GUA_EAST","NOT","PATI",621,"GUA_EAST_PATI","NOT","GUA_PATI_POINT","",0,0.645161290322581,-0.438254930931155,2.90909090909091,1.06784063000136
"DIVER",38564,"GUA-02702",2.42564436940625,0.856527777777778,11.3095145770541,22,2.09472904752765,0.833333333333333,8.12323966013147,11,"2022","MARIAN","Guam","GUA_PATI_POINT","Forereef","Mid","PAV",13.601985,144.934492,11.27704968,12.19140506,159,"GUAM_MP","GUA_MP","Guam","GUA_MP","GUA_MP_MINUS_ACHANG","NOT","NOT","GUA_EAST_MPA","GUA_EAST","NOT","PATI",636,"GUA_EAST_PATI","NOT","GUA_PATI_POINT","",1,0.7,-0.356674943938732,23,3.13549421592915
"DIVER",38565,"GUA-02684",2.95623626279497,0.931020408163265,19.2254757747148,26,1.56071040904141,0.777777777777778,4.7622031559046,5,"2022","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Shallow","SAG",13.633916,144.89092,5.486132277,6.705272783,421.5,"GUAM_EAST_OPEN","GUA_EAST_OPEN","Guam","GUA_EAST_OPEN","GUA_EAST_OPEN","NOT","NOT","GUA_EAST_OPEN","GUA_EAST","NOT","OPEN",1686,"GUA_EAST_OPEN","NOT","GUA_EAST_OPEN","",0,0.794871794871795,-0.2295744416445,5,1.6094379124341
"DIVER",38580,"GUA-02751",1.90705394500372,0.756895619253651,6.7332231046177,17,2.02532622077007,0.86,7.57858283255199,8,"2022","MARIAN","Guam","GUA_TUMON","Forereef","Deep","AGR",13.512508,144.794288,21.63974398,22.24931423,27.75,"GUAM_MP","GUA_MP","Guam","GUA_MP","GUA_MP_MINUS_ACHANG","NOT","NOT","GUA_WEST_MPA","GUA_WEST","NOT","TUMB",111,"GUA_WEST_TUMB","NOT","GUA_TUMON","",0,0.162162162162162,-1.81915844341617,1.5,0.405465108108164
"DIVER",38581,"GUA-02735",2.36173836677077,0.895833333333333,10.6093784222852,12,2.05918235313584,0.825208085612366,7.83955719968947,11,"2022","MARIAN","Guam","GUA_WEST_OPEN","Forereef","Mid","PAV",13.504738,144.770644,16.45839683,17.37275221,1035,"GUAM_WEST_OPEN","GUA_WEST_OPEN","Guam","GUA_WEST_OPEN","GUA_WEST_OPEN","NOT","NOT","GUA_WEST_OPEN","GUA_WEST","NOT","OPEN",4140,"GUA_WEST_OPEN","NOT","GUA_WEST_OPEN","",0,0.846153846153846,-0.167054084663166,6.25,1.83258146374831
