"SITE","SITEVISITID","GENUS_CODE","TRANSECTAREA_ad","TRANSECTAREA_j","AdColCount","AdColDen","Ave.od","Ave.rd","Ave.size","JuvColDen","BLE","AcuteDZ","ChronicDZ","BLE_prev","AcuteDZ_prev","ChronicDZ_prev","Adpres.abs","Juvpres.abs","MISSIONID","DATE_","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","HABITAT_CODE","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION_DS","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","METHOD","DB_RZ","STRATANAME","ANALYSIS_SCHEMA","DOMAIN_SCHEMA"
"HAW-03433",12870,"BASP",10,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"CYPS",10,3,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"FUSP",10,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"LEPT",10,3,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"LESP",10,3,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"MOSP",10,3,18,1.8,28.3333333333333,0,24.7222222222222,0.333333333333333,0,0,0,0,0,0,1,1,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"PAVS",10,3,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"POCS",10,3,8,0.8,7.875,0,16.25,2.66666666666667,0,0,0,0,0,0,1,1,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"POSP",10,3,28,2.8,35.8571428571429,0.178571428571429,22.1071428571429,1.33333333333333,0,0.1,0.2,0,3.57142857142857,7.14285714285714,1,1,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
"HAW-03433",12870,"PSSP",10,3,1,0.1,50,0,19,0,0,0,0.1,0,0,100,1,0,"SE1902_MHI_LEG1",2019-05-04,2019,2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB",2334.19033,"Hawaii","HAW_HAMAKUA","HAW_HAMAKUA","NOT","NOT","NOT","NOT","HAW_CM","HAW_HA","CM","OPEN",9337,"HAW_CMHA_CM_OPEN","NOT","HAW_HAMAKUA","Not much hard/soft information","Diver","Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA_Mid_Forereef","HAW_HAMAKUA"
