"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","REVIEW_ANALYST"
332,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PMEA",0,0,0,0,15,"BR",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.336099702,"HAW-4278 5",2.5,"CA"
333,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PLOB",0,0,0,0,20,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.173941254,"HAW-4278 5",2.5,"CA"
334,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"MCAP",0,0,0,0,75,"EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.166722074,"HAW-4278 5",2.5,"CA"
335,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PLOB",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.188383651,"HAW-4278 5",2.5,"CA"
336,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PLOB",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.166180897,"HAW-4278 5",2.5,"CA"
337,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PLOB",0,0,0,0,15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.098517004,"HAW-4278 5",2.5,"CA"
338,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"POSP",0,0,0,0,60,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.120399999,"HAW-4278 5",2.5,"CA"
339,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PLOB",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.086092972,"HAW-4278 5",2.5,"CA"
340,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"MCAP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.051049878,"HAW-4278 5",2.5,"CA"
341,"MA",2019,"SE1902","HAW-04278","B",5,2.5,1,0,"PLOB",0,0,0,0,2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.13042657,"HAW-4278 5",2.5,"CA"
