"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","REVIEW_ANALYST"
2003,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123396678,"HAW-4267 15",2.5,"MA"
2004,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PCOM",0,0,0,0,20,"BR",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,0.165591365,"HAW-4267 15",2.5,"MA"
2005,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PLOB",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.065276336,"HAW-4267 15",2.5,"MA"
2006,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PCOM",0,0,0,0,80,"BR",NA,0,NA,0,NA,0,"ALG",5,0,NA,0,0,NA,0,0,0.149505218,"HAW-4267 15",2.5,"MA"
2007,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PLOB",0,0,0,0,50,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.064030694,"HAW-4267 15",2.5,"MA"
2008,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PCOM",0,0,0,0,45,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.218382897,"HAW-4267 15",2.5,"MA"
2009,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.134920162,"HAW-4267 15",2.5,"MA"
2010,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PCOM",0,0,0,0,50,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.10560464,"HAW-4267 15",2.5,"MA"
2011,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PCOM",0,0,0,0,5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.128574686,"HAW-4267 15",2.5,"MA"
2012,"RS",2019,"SE1902","HAW-04267","A",15,2.5,1,0,"PLOB",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.097158891,"HAW-4267 15",2.5,"MA"
