"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","REVIEW_ANALYST"
1973,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,5,"BR",NA,0,NA,0,NA,0,"BLE",50,2,NA,0,0,NA,0,0,0.112052934,"HAW-4267 10",2.5,"MSL"
1974,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,60,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.153865818,"HAW-4267 10",2.5,"MSL"
1975,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.162623646,"HAW-4267 10",2.5,"MSL"
1976,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,50,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.21062882,"HAW-4267 10",2.5,"MSL"
1977,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,70,"BR","FISH",1,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.622306758,"HAW-4267 10",2.5,"MSL"
1978,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.158045468,"HAW-4267 10",2.5,"MSL"
1979,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,20,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.143728772,"HAW-4267 10",2.5,"MSL"
1980,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,10,"BP",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.217838931,"HAW-4267 10",2.5,"MSL"
1981,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PLOB",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.205785351,"HAW-4267 10",2.5,"MSL"
1982,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,50,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.290205342,"HAW-4267 10",2.5,"MSL"
