"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","REVIEW_ANALYST"
708,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.186725557,"KAU-2160 5",2.5,"RS"
709,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.068766926,"KAU-2160 5",2.5,"RS"
710,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.187030185,"KAU-2160 5",2.5,"RS"
711,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.167017903,"KAU-2160 5",2.5,"RS"
712,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.206875808,"KAU-2160 5",2.5,"RS"
713,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.234125885,"KAU-2160 5",2.5,"RS"
714,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.076883808,"KAU-2160 5",2.5,"RS"
715,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.188291397,"KAU-2160 5",2.5,"RS"
716,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"MCAP",0,0,0,0,97,"EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.384381595,"KAU-2160 5",2.5,"RS"
717,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"PLOB",0,0,0,0,70,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.331693171,"KAU-2160 5",2.5,"RS"
718,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"MCAP",0,0,0,0,55,"EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.113947708,"KAU-2160 5",2.5,"RS"
719,"CA",2019,"SE1902","KAU-02160","B",5,2.5,1,0,"MCAP",0,0,0,0,40,"EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.255903888,"KAU-2160 5",2.5,"RS"
