"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","SEGAREA","site_seg","REVIEW_ANALYST","Lump_Split_Error","SPCODE_CORRECT","MORPH_CORRECT","RDCAUSE_CORRECT","CONDITION_CORRECT","SEVERITY_CORRECT","SIZE_CORRECT","DELETE_COLONY"
422,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,80,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.076934322,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
424,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058856181,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
427,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,40,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.370825513,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
428,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,"PTR",1,0,NA,0,0,NA,0,0,0.083045169,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
429,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,15,"MD",NA,0,NA,0,NA,0,"PRS",2,0,NA,0,0,NA,0,0,0.0504473,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
430,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.075845765,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
431,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PLOB",0,0,0,0,55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.089954877,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
432,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058895925,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
433,"MA",2019,"SE1902","HAW-04292","B",10,2.5,1,0,"PPRO",0,0,0,0,3,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054392831,2.5,"HAW-04292_10","CA",NA,NA,NA,NA,NA,NA,NA,NA
842,"RS",2019,"SE1902","NII-02594","B",5,2.5,1,-1,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0351,2.5,"NII-02594_5","CA",NA,NA,NA,NA,NA,NA,NA,NA
888,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.073522582,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
889,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PLOB",0,0,0,0,75,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.466151402,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
891,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PLOB",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.061698378,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
893,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"MCAP",0,0,0,0,10,"EM",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.07295951,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
894,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PLOB",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.061135914,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
896,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PLOB",0,0,0,0,25,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.158369252,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
903,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PLOB",0,0,0,0,15,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.362631066,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
904,"MA",2019,"SE1902","OAH-03235","B",0,2.5,1,0,"PLOB",0,0,0,0,10,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105546815,2.5,"OAH-03235_0","CA",NA,NA,NA,NA,NA,NA,NA,NA
