"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","SEGAREA","site_seg","REVIEW_ANALYST","Lump_Split_Error","SPCODE_CORRECT","MORPH_CORRECT","RDCAUSE_CORRECT","CONDITION_CORRECT","SEVERITY_CORRECT","SIZE_CORRECT","DELETE_COLONY"
1793,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.205700875,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1796,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.180564364,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1797,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,0.189286159,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1798,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,55,"MD","TLS",3,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.127164932,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1799,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,70,"MD",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.301558502,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1802,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"MPAT",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.087365039,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1804,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PCOM",0,0,0,0,0,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058009137,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1805,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PCOM",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.08260569,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1806,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PCOM",0,0,0,0,40,"BR",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.497519968,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1810,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,60,"MD","PRED",35,NA,0,NA,0,"ALG",3,0,NA,0,0,NA,0,0,0.095061769,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1811,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.075742986,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1812,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.076932438,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1815,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,"ALG",3,0,NA,0,0,NA,0,0,0.063102853,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1816,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.16143172,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
