"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","SEGAREA","site_seg","REVIEW_ANALYST","Lump_Split_Error","SPCODE_CORRECT","MORPH_CORRECT","RDCAUSE_CORRECT","CONDITION_CORRECT","SEVERITY_CORRECT","SIZE_CORRECT","DELETE_COLONY"
4037,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MCAP",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.153859189,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4039,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PLOB",0,0,0,0,45,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.189957284,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4040,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PLOB",0,0,0,0,80,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.173686845,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4045,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MPAT",0,0,0,0,2,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.092529995,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4047,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PLOB",0,0,0,0,45,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.142813516,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4052,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MPAT",0,0,0,0,1,"EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.072701721,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4053,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PVAR",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054612269,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4055,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PLOB",0,0,0,0,3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054915662,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4058,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"POSP",0,0,-1,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.062968643,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4059,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MCAP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051457557,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4060,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PLOB",0,0,0,0,50,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.313411582,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4061,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MCAP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.051728522,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4062,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"UNKN",0,0,0,0,10,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.068755363,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4063,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MCAP",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.198803245,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4064,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"PLOB",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.111835326,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
4065,"MA",2019,"SE1902","KAU-02115","A",0,2.5,1,0,"MPAT",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051437341,2.5,"KAU-02115_0","RS",NA,NA,NA,NA,NA,NA,NA,NA
