"METHOD","ANALYST","REGION","OBS_YEAR","ISLAND","SEC_NAME","SITEVISITID","SITE","REEF_ZONE","DEPTH_BIN","HABITAT_CODE","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","SEGMENT","SEGLENGTH","SEGWIDTH","SEGAREA","COLONYID","Fragment","S_ORDER","GENUS_CODE","SPCODE","TAXONCODE","TAXONNAME","EX_BOUND","COLONYLENGTH","OLDDEAD","GENRD1","GENRD2","GENRD3","RD1","RDEXTENT1","RD2","RDEXTENT2","RD3","RDEXTENT3","CONDITION_1","EXTENT_1","SEVERITY_1","CONDITION_2","EXTENT_2","SEVERITY_2","CONDITION_3","EXTENT_3","SEVERITY_3"
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,1,0,"Scleractinia","POCS","PMEA","PMEA","Pocillopora meandrina",0,"8.6114574",0,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,2,0,"Scleractinia","POCS","PMEA","PMEA","Pocillopora meandrina",0,"8.810732",0,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,3,0,"Scleractinia","POSP","PLOB","PLOB","Porites lobata",0,"10.1588631",3,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,4,0,"Scleractinia","POSP","PMON","PMON","Porites monticulosa",0,"77.2290625",70,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,5,0,"Scleractinia","POSP","PLOB","PLOB","Porites lobata",0,"36.3856153",30,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"DIS",7,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,6,0,"Scleractinia","POSP","PLOB","PLOB","Porites lobata",0,"11.9903502",10,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,7,0,"Scleractinia","POSP","PLOB","PLOB","Porites lobata",0,"36.9351878",30,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,8,0,"Scleractinia","POCS","PMEA","PMEA","Pocillopora meandrina",0,"6.0424167",0,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,9,0,"Scleractinia","POSP","PLOB","PLOB","Porites lobata",0,"9.6580174",0,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
"SfM","MA","MHI",2019,"Hawaii","HAW_PUNA",12958,"HAW-04221","Forereef","Mid","AGR",19.745762,-155.066556,"7.619628162",6.400487656,0,2.5,1,2.5,10,0,"Scleractinia","POSP","PLOB","PLOB","Porites lobata",0,"10.575221",5,"NONE","NONE","NONE","NONE",0,"NONE",0,"NONE",0,"NONE",0,0,"NONE",0,0,"NONE",0,0
