"METHOD","SITE","SITEVISITID","SEGMENT","SEG_ad","GENUS_CODE","AdColCount","AdColDen","SEGAREA_j","JuvColCount","JuvColDen","Ave.size","Ave.od","Ave.rd","AcuteDZ","ChronicDZ","BLE","Adpres.abs","Juvpres.abs","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","HABITAT_CODE","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","TRANSECT","SITE_SEG","ANALYST","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION_DS","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES"
"SfM","NII-02594",13148,15,2.5,"CYPS",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"CYSP",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"FUSP",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"GARS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"LEPT",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"MOSP",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"PAVS",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"POCS",1,0.4,1,NA,NA,48.2614235,15,0,0,0,0.4,1,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"POSP",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"PSSP",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"UNKN",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
"SfM","NII-02594",13148,15,2.5,"BASP",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2019,"MHI","Niihau","NII_WEST","Forereef","Mid","PAV",21.970101,-160.1269,13.71533069,14.32490094,1,"NII-02594_15","RS",2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST",""
