"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA"
"0","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.086114574,"HAW-4221 0",2.5
"1","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.08810732,"HAW-4221 0",2.5
"2","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",3,"EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.101588631,"HAW-4221 0",2.5
"3","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMON","0","0","0","0",70,"EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.772290625,"HAW-4221 0",2.5
"4","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",30,"EM",NA,0,NA,0,NA,0,"DIS",7,0,NA,0,0,NA,0,0,0.363856153,"HAW-4221 0",2.5
"5","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",10,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.119903502,"HAW-4221 0",2.5
"6","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",30,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.369351878,"HAW-4221 0",2.5
"7","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.060424167,"HAW-4221 0",2.5
"8","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.096580174,"HAW-4221 0",2.5
"9","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.10575221,"HAW-4221 0",2.5
"10","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","POCS","0","0","0","0",3,"BR","TLS",5,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.196401248,"HAW-4221 0",2.5
"11","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",55,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.074389784,"HAW-4221 0",2.5
"12","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",10,"MD","TLS",3,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.374663075,"HAW-4221 0",2.5
"13","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",2,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1286014,"HAW-4221 0",2.5
"14","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","POCS","0","0","0","0",60,"BR",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.318173616,"HAW-4221 0",2.5
"15","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",45,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.406231878,"HAW-4221 0",2.5
"16","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",45,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.572264589,"HAW-4221 0",2.5
"17","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PMON","0","0","0","0",20,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.176872072,"HAW-4221 0",2.5
"21","MA",2019,"SE1902","HAW-04221","B","0",2.5,1,"0","PLOB","0","0","0","0",60,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053886176,"HAW-4221 0",2.5
