FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng,site_seg,SEGAREA
0,RS,2019,SE1902,NII-02594,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013656134,NII_2594 0,1
1,RS,2019,SE1902,NII-02594,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.010154801,NII_2594 0,1
2,RS,2019,SE1902,NII-02594,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.010599999,NII_2594 0,1
3,RS,2019,SE1902,NII-02594,B,0,1,1,0,POSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.011810588,NII_2594 0,1
4,RS,2019,SE1902,NII-02594,B,0,1,1,0,POSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.009504736,NII_2594 0,1
5,RS,2019,SE1902,NII-02594,B,0,1,1,0,POSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.016278822,NII_2594 0,1
6,RS,2019,SE1902,NII-02594,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013151805,NII_2594 0,1
7,RS,2019,SE1902,NII-02594,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.016514842,NII_2594 0,1
8,RS,2019,SE1902,NII-02594,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.016381087,NII_2594 0,1
9,RS,2019,SE1902,NII-02594,B,0,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.028556787,NII_2594 0,1
