SITE,REGION,ISLAND,SEC_NAME,DEPTH_BIN,LATITUDE,LONGITUDE,repeats
ASC-00585,MARIAN,Asuncion,Asuncion,Shallow,19.694044,145.38995,No
ASC-00590,MARIAN,Asuncion,Asuncion,Shallow,19.683009,145.389745,No
ASC-00594,MARIAN,Asuncion,Asuncion,Shallow,19.680538,145.393456,Yes
ASC-00601,MARIAN,Asuncion,Asuncion,Mid,19.677024,145.410765,No
ASC-00611,MARIAN,Asuncion,Asuncion,Mid,19.674966,145.400707,Yes
ASC-00612,MARIAN,Asuncion,Asuncion,Shallow,19.693992,145.389297,No
ASC-00613,MARIAN,Asuncion,Asuncion,Mid,19.707896,145.399214,No
ASC-00614,MARIAN,Asuncion,Asuncion,Mid,19.704035,145.413804,Yes
ASC-00623,MARIAN,Asuncion,Asuncion,Mid,19.708138,145.403998,Yes
ASC-00626,MARIAN,Asuncion,Asuncion,Deep,19.683353,145.38745,No
ASC-00627,MARIAN,Asuncion,Asuncion,Deep,19.699728,145.390976,No
ASC-00632,MARIAN,Asuncion,Asuncion,Deep,19.698668,145.418563,No
ASC-00637,MARIAN,Asuncion,Asuncion,Deep,19.680868,145.41562,No
GUA-02650,MARIAN,Guam,GUA_WEST_OPEN,Shallow,13.569112,144.8213,No
GUA-02662,MARIAN,Guam,GUA_ACHANG,Shallow,13.241626,144.695292,Yes
GUA-02672,MARIAN,Guam,GUA_PITI_BOMB,Mid,13.479462,144.706698,No
GUA-02677,MARIAN,Guam,GUA_EAST_OPEN,Shallow,13.486052,144.873026,No
GUA-02681,MARIAN,Guam,GUA_EAST_OPEN,Mid,13.652454,144.874849,No
GUA-02684,MARIAN,Guam,GUA_EAST_OPEN,Shallow,13.633916,144.89092,No
GUA-02701,MARIAN,Guam,GUA_WEST_OPEN,Shallow,13.564825,144.818855,No
GUA-02702,MARIAN,Guam,GUA_PATI_POINT,Mid,13.601985,144.934492,No
GUA-02717,MARIAN,Guam,GUA_PITI_BOMB,Mid,13.468966,144.684697,No
GUA-02720,MARIAN,Guam,GUA_EAST_OPEN,Mid,13.527454,144.931278,No
GUA-02727,MARIAN,Guam,GUA_EAST_OPEN,Mid,13.249366,144.737206,No
GUA-02730,MARIAN,Guam,GUA_WEST_OPEN,Mid,13.315347,144.646926,No
GUA-02735,MARIAN,Guam,GUA_WEST_OPEN,Mid,13.504738,144.770644,No
GUA-02737,MARIAN,Guam,GUA_WEST_OPEN,Mid,13.255525,144.649654,No
GUA-02740,MARIAN,Guam,GUA_WEST_OPEN,Shallow,13.654324,144.854606,No
GUA-02744,MARIAN,Guam,GUA_PATI_POINT,Deep,13.604377,144.921127,No
GUA-02745,MARIAN,Guam,GUA_PATI_POINT,Deep,13.614547,144.907654,No
GUA-02751,MARIAN,Guam,GUA_TUMON,Deep,13.512508,144.794288,No
GUA-02762,MARIAN,Guam,GUA_EAST_OPEN,Deep,13.301457,144.775395,No
GUA-02767,MARIAN,Guam,GUA_EAST_OPEN,Deep,13.439638,144.820239,No
