"","METHOD","SITEVISITID","OBS_YEAR","REGION","ISLAND","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M"
"1","SfM",12958,2019,"MHI","Hawaii","HAW_PUNA","HAW-04221","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656
"20","SfM",12973,2019,"MHI","Hawaii","HAW_PUNA","HAW-04231","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943
"29","SfM",13013,2019,"MHI","Hawaii","HAW_KONA","HAW-04240","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783
"55","SfM",13014,2019,"MHI","Hawaii","HAW_KONA","HAW-04241","Forereef","Shallow",19.798083,-156.021233,3.657421518,6.09570253
"91","SfM",13062,2019,"MHI","Hawaii","HAW_KONA","HAW-04259","Forereef","Deep",19.340351,-155.887944,21.63974398,22.24931423
"166","SfM",13015,2019,"MHI","Hawaii","HAW_KONA","HAW-04260","Forereef","Shallow",19.78536,-156.042101,3.962206644,5.18134715
"168","SfM",12927,2019,"MHI","Hawaii","HAW_KONA","HAW-04263","Forereef","Mid",19.162636,-155.914784,12.19140506,12.80097531
"189","SfM",13028,2019,"MHI","Hawaii","HAW_KONA","HAW-04264","Forereef","Shallow",19.551252,-155.965955,3.962206644,6.400487656
"223","SfM",13026,2019,"MHI","Hawaii","HAW_KONA","HAW-04268","Forereef","Mid",19.566983,-155.970355,7.924413289,9.753124048
"231","SfM",12940,2019,"MHI","Hawaii","HAW_KONA","HAW-04278","Forereef","Mid",20.044184,-155.837756,9.753124048,10.05790917
"257","SfM",12941,2019,"MHI","Hawaii","HAW_KONA","HAW-04283","Forereef","Shallow",20.056914,-155.844993,2.133495885,3.962206644
"273","SfM",13023,2019,"MHI","Hawaii","HAW_KONA","HAW-04287","Forereef","Shallow",19.59316,-155.97189,2.743066138,3.352636391
"284","SfM",13063,2019,"MHI","Hawaii","HAW_KONA","HAW-04292","Forereef","Mid",19.391824,-155.908866,12.49619019,13.41054557
"375","SfM",13027,2019,"MHI","Hawaii","HAW_KONA","HAW-04294","Forereef","Mid",19.561026,-155.967373,13.10576044,15.23925632
"431","SfM",13025,2019,"MHI","Hawaii","HAW_KONA","HAW-04296","Forereef","Deep",19.641879,-156.013599,22.24931423,22.85888449
"445","SfM",13064,2019,"MHI","Hawaii","HAW_KONA","HAW-04299","Forereef","Shallow",19.451268,-155.921941,3.657421518,4.266991771
"458","SfM",13116,2019,"MHI","Kauai","KAU_EAST","KAU-02115","Forereef","Mid",21.927625,-159.652355,9.448338921,9.753124048
"479","SfM",13217,2019,"MHI","Kauai","KAU_EAST","KAU-02133","Forereef","Mid",22.040952,-159.311087,17.67753734,17.98232246
"484","SfM",13204,2019,"MHI","Kauai","KAU_NAPALI","KAU-02160","Forereef","Mid",22.146988,-159.750268,14.9344712,15.84882658
"523","SfM",13077,2019,"MHI","Lanai","LAN_SOUTH","LAN-01811","Forereef","Shallow",20.883442,-157.057024,2.133495885,2.743066138
"540","SfM",13075,2019,"MHI","Lanai","LAN_SOUTH","LAN-01813","Forereef","Mid",20.820918,-156.990676,12.49619019,13.41054557
"541","SfM",13178,2019,"MHI","Niihau","NII_WEST","NII-02584","Forereef","Mid",21.884451,-160.236959,8.838768668,10.3626943
"547","SfM",13148,2019,"MHI","Niihau","NII_WEST","NII-02594","Forereef","Mid",21.970101,-160.1269,13.71533069,14.32490094
"551","SfM",13314,2019,"MHI","Oahu","OAH_NORTH","OAH-03232","Forereef","Mid",21.633314,-158.079568,7.924413289,8.229198415
"557","SfM",13317,2019,"MHI","Oahu","OAH_NORTH","OAH-03234","Forereef","Mid",21.684098,-158.042318,7.924413289,8.533983542
"566","SfM",13281,2019,"MHI","Oahu","OAH_NORTH","OAH-03235","Forereef","Mid",21.60814,-158.108096,7.924413289,8.229198415
"620","SfM",12870,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03433","Forereef","Mid",20.088132,-155.429411,8.838768668,10.66747943
"663","SfM",12868,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03434","Forereef","Deep",20.069002,-155.391537,20.7253886,21.94452911
"749","SfM",12877,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03436","Forereef","Deep",20.030422,-155.308065,21.33495885,21.94452911
"832","SfM",12878,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03441","Forereef","Mid",20.065206,-155.381868,12.19140506,13.41054557
"973","SfM",12871,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03445","Forereef","Shallow",20.089567,-155.436063,3.352636391,3.962206644
"977","SfM",12869,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03451","Forereef","Mid",20.07739,-155.403639,15.23925632,16.45839683
"1013","SfM",12879,2019,"MHI","Hawaii","HAW_HAMAKUA","HAW-03465","Forereef","Shallow",20.054534,-155.363257,3.047851265,5.486132277
"1027","SfM",12974,2019,"MHI","Hawaii","HAW_PUNA","HAW-04208","Forereef","Shallow",19.58264,-154.92026,3.352636391,4.876562024
"1034","SfM",12965,2019,"MHI","Hawaii","HAW_PUNA","HAW-04220","Forereef","Deep",19.532548,-154.819135,22.24931423,23.77323987
"1171","SfM",12957,2019,"MHI","Hawaii","HAW_PUNA","HAW-04237","Forereef","Mid",19.747905,-155.08926,7.314843036,8.533983542
"1177","SfM",12956,2019,"MHI","Hawaii","HAW_PUNA","HAW-04239","Forereef","Deep",19.841398,-155.079881,19.5062481,20.7253886
"1415","SfM",12959,2019,"MHI","Hawaii","HAW_PUNA","HAW-04247","Forereef","Shallow",19.731735,-155.068138,1.523925632,3.657421518
