"","Var1","Var2","Diver","Sfm"
"1","ASC-00623","AGLO",1,NA
"2","ASC-00626","AGLO",0,0
"3","MAU-01248","AGLO",1,NA
"4","OFU-01322","AGLO",1,2
"5","OFU-01340","AGLO",1,1
"6","OFU-01342","AGLO",0,0
"7","ROT-00830","AGLO",1,1
"8","ROT-00845","AGLO",0,NA
"9","SAI-01909","AGLO",1,NA
"10","TAU-01306","AGLO",0,0
"11","TIN-00868","AGLO",1,NA
"12","TUT-05690","AGLO",0,0
"13","TUT-05795","AGLO",0,0
"14","TUT-05876","AGLO",0,0
"15","ASC-00623","ICRA",0,NA
"16","ASC-00626","ICRA",0,0
"17","MAU-01248","ICRA",0,NA
"18","OFU-01322","ICRA",0,0
"19","OFU-01340","ICRA",0,0
"20","OFU-01342","ICRA",5,9
"21","ROT-00830","ICRA",0,0
"22","ROT-00845","ICRA",0,NA
"23","SAI-01909","ICRA",0,NA
"24","TAU-01306","ICRA",27,27
"25","TIN-00868","ICRA",0,NA
"26","TUT-05690","ICRA",3,1
"27","TUT-05795","ICRA",18,12
"28","TUT-05876","ICRA",69,76
"29","ASC-00623","PDIF",0,NA
"30","ASC-00626","PDIF",2,3
"31","MAU-01248","PDIF",0,NA
"32","OFU-01322","PDIF",0,0
"33","OFU-01340","PDIF",0,0
"34","OFU-01342","PDIF",0,0
"35","ROT-00830","PDIF",0,0
"36","ROT-00845","PDIF",1,NA
"37","SAI-01909","PDIF",0,NA
"38","TAU-01306","PDIF",0,0
"39","TIN-00868","PDIF",0,NA
"40","TUT-05690","PDIF",0,0
"41","TUT-05795","PDIF",0,0
"42","TUT-05876","PDIF",0,0
