,GENUS_CODE,SfM,DIVER,R,diff,pct,Type,Morph
1,SSSS,14616,14573,0.813911541,43,0.295066218,Non-Cryptic,
2,POSP,1872,1693,0.869756304,179,10.57294743,Mixed,MD
3,MOSP,1582,1492,0.811246966,90,6.032171582,Non-Cryptic,EM
4,ASSP,1413,1229,0.856262407,184,14.97152156,Non-Cryptic,MD
5,FASP,1113,1225,0.754387272,-112,-9.142857143,Non-Cryptic,MD
6,GONS,1132,1211,0.721754802,-79,-6.523534269,Non-Cryptic,MD
7,PAVS,969,1012,0.829671165,-43,-4.249011858,Mixed,EM
8,POCS,933,822,0.936545054,111,13.50364964,Non-Cryptic,BR
9,LEPT,870,896,0.846729192,-26,-2.901785714,Non-Cryptic,EM
10,GASP,818,642,0.898573246,176,27.41433022,Mixed,EM
11,CYPS,772,776,0.702984164,-4,-0.515463918,Cryptic,EM
12,ASTS,474,603,0.828053674,-129,-21.39303483,Non-Cryptic,EM
13,PHSP,508,527,0.75012423,-19,-3.605313093,Cryptic,EM
14,ACSP,405,413,0.954143725,-8,-1.937046005,Non-Cryptic,BR
15,PSSP,201,378,0.557151243,-177,-46.82539683,Cryptic,EM
16,FUSP,188,228,0.984735591,-40,-17.54385965,Mixed,FR
17,LEPS,200,193,0.883890435,7,3.626943005,Non-Cryptic,MD
18,ACAS,159,170,0.897046133,-11,-6.470588235,Non-Cryptic,EM
19,TURS,164,120,0.982982257,44,36.66666667,Non-Cryptic,FO
20,PLSP,124,150,0.675316822,-26,-17.33333333,Non-Cryptic,MD
21,ISSP,135,128,0.980027586,7,5.46875,Non-Cryptic,EM
22,HESP,130,99,0.881627851,31,31.31313131,Non-Cryptic,BR
23,FAVS,110,82,0.610943293,28,34.14634146,Non-Cryptic,MD
24,LESP,50,97,0.724848352,-47,-48.45360825,Cryptic,EM
25,GOSP,52,61,0.838810171,-9,-14.75409836,Non-Cryptic,MD
26,HYSP,48,47,0.753172092,1,2.127659574,Non-Cryptic,MD
27,ECHP,29,41,0.670524702,-12,-29.26829268,Non-Cryptic,EM
28,STSP,1,40,2.67E-05,-39,-97.5,Cryptic,EM
29,COSP,32,30,0.767830345,2,6.666666667,Non-Cryptic,EM
30,STYS,27,31,0.905712129,-4,-12.90322581,Non-Cryptic,BR
31,LOBS,29,27,0.884830825,2,7.407407407,Non-Cryptic,MD
32,ECHL,4,25,0.007024988,-21,-84,Mixed,EM
33,CYSP,0,15,0,-15,-100,Mixed,FR
34,OUSP,11,15,0.449922912,-4,-26.66666667,Non-Cryptic,MD
35,SCAS,4,14,0.027252349,-10,-71.42857143,Non-Cryptic,EM
36,PLES,12,6,0.198633841,6,100,Non-Cryptic,MD
37,MISP,11,8,0.109973244,3,37.5,Non-Cryptic,EM
38,MESP,10,6,0.861306161,4,66.66666667,Non-Cryptic,EM
39,ALSP,0,6,0,-6,-100,Non-Cryptic,MD
40,EUSP,6,1,0.68639508,5,500,Non-Cryptic,MD
41,HERS,5,4,0.186979801,1,25,Non-Cryptic,FR
42,SASP,5,4,0.218997849,1,25,Non-Cryptic,FR
43,MYSP,3,0,NA,3,Inf,Non-Cryptic,EM
44,DISP,2,1,1,1,100,Non-Cryptic,MD
45,GARS,0,2,0,-2,-100,Non-Cryptic,MD
46,PLER,0,2,0,-2,-100,Cryptic,MD
47,UNKN,2,0,NA,2,Inf,Non-Cryptic,NA
48,OXSP,1,0,NA,1,Inf,Cryptic,EM
49,POLY,0,1,0,-1,-100,Non-Cryptic,FR
50,PACS,0,0,0,0,NA,Cryptic,ED
