"","GENUS_CODE","pvals.wil","pvals.lrt"
"1","ACAS",0.220013878554251,0.555994618118821
"2","ACSP",0.36879308786325,0.495535468533266
"3","ASSP",0.769615913471562,0.386849825653525
"4","ASTS",0.00161775819935496,0.00336196812831445
"5","CYPS",0.135351711600112,0.489123530484358
"6","ECHP",0.0979331501761509,0.27999448972708
"7","FASP",0.163422127075742,0.239343571123777
"8","FAVS",0.355681182822674,0.254792554377633
"9","FUSP",0.344209765578328,0.490991850910935
"10","GASP",0.792225490201714,0.685865603757771
"11","GONS",0.441607156441299,0.655378915732182
"12","GOSP",0.341542351281218,0.645682572988516
"13","HESP",0.724547261048368,0.540833549110058
"14","HYSP",0.886579814974315,0.891875912632137
"15","ISSP",0.652862154946745,0.974951060664381
"16","LEPS",0.770427218378565,0.953865071135512
"17","LEPT",0.383817025196978,0.521915656581928
"18","LESP",0.00114939256284417,0.0208485793389718
"19","MOSP",0.601319295092206,0.613685492383541
"20","PAVS",0.545699050109987,0.522653592346763
"21","PHSP",0.305911742952989,0.64713824711018
"22","PLSP",0.226491194806609,0.233271759972332
"23","POCS",0.823529937490712,0.514855117382384
"24","POSP",0.903901813768999,0.785332135775616
"25","PSSP",5.01877530923749e-05,7.20596914425725e-05
"26","TURS",0.967924091141163,0.955109076777999
