FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY_,SPCODE,FRAGMENT_Y,MORPH_CODE,EX_BOUND,OLDDEAD,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,SHAPE_Leng,ADULT_JUV,FRAGMENT,COLONYLENG,MAXD
0,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0,FISH,2, ,0, ,0, ,0,0, ,0,0, ,0,0,0.120760920611000, ,0,0.000000000000000, 
1,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0,ALG,2,0, ,0,0, ,0,0,0.288618571469000, ,0,0.000000000000000, 
2,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PVAR,0,EF,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.059748222017600, ,0,0.000000000000000, 
3,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,2, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.091170664250300, ,0,0.000000000000000, 
4,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PVAR,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.092115145613500, ,0,0.000000000000000, 
5,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PVAR,0,EF,0,75, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.495529534387000, ,0,0.000000000000000, 
6,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.041271055633700, ,0,0.000000000000000, 
7,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MCAP,0,EF,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.162437988258000, ,0,0.000000000000000, 
8,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PNIE,0,EF,0,20, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.257510329338000, ,0,0.000000000000000, 
9,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.071677402039800, ,0,0.000000000000000, 
10,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MCAP,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.110442065147000, ,0,0.000000000000000, 
11,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.440891107713000, ,0,0.000000000000000, 
12,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,7, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.353476506445000, ,0,0.000000000000000, 
13,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.695302416075000, ,0,0.000000000000000, 
14,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.362411437855000, ,0,0.000000000000000, 
15,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,3, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.157655478360000, ,0,0.000000000000000, 
16,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.062483037845300, ,0,0.000000000000000, 
17,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MCAP,0,EF,0,20, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.332076753652000, ,0,0.000000000000000, 
18,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,5,TLS,5, ,0, ,0, ,0,0, ,0,0, ,0,0,0.327928802630000, ,0,0.000000000000000, 
19,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.213293459848000, ,0,0.000000000000000, 
20,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MCAP,0,EF,0,40, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.224731329728000, ,0,0.000000000000000, 
21,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0,FISH,2, ,0, ,0, ,0,0, ,0,0, ,0,0,0.261527532565000, ,0,0.000000000000000, 
22,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.269712680771000, ,0,0.000000000000000, 
23,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PLOB,0,EF,0,30,TLS,12, ,0, ,0, ,0,0, ,0,0, ,0,0,0.136730757174000, ,0,0.000000000000000, 
24,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.359111181037000, ,0,0.000000000000000, 
25,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PNIE,0,EF,0,7, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.203574948390000, ,0,0.000000000000000, 
26,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MCAP,0,EF,0,20, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.440693657965000, ,0,0.000000000000000, 
27,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,MPAT,0,EF,0,60, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.629366999454000, ,0,0.000000000000000, 
28,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,LESP,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.110710478333000, ,0,0.000000000000000, 
29,MA,2019, ,SfM12,1,2.5000000,1.0000000,0,PVAR,0,EF,0,7, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.097278208962200, ,0,0.000000000000000, 
30,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,55, ,0, ,0, ,0,BLE,30,3, ,0,0, ,0,0,0.218329682482000, ,0,0.000000000000000, 
31,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0,FISH,3, ,0, ,0, ,0,0, ,0,0, ,0,0,0.220504443922000, ,0,0.000000000000000, 
32,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.072652941941900, ,0,0.000000000000000, 
33,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,EF,0,20, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.114163391241000, ,0,0.000000000000000, 
34,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,POSP,0,KN,0,0,FISH,5, ,0, ,0, ,0,0, ,0,0, ,0,0,0.054335439550200, ,0,0.000000000000000, 
35,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.089057846245300, ,0,0.000000000000000, 
36,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MCAP,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.269433646980000, ,0,0.000000000000000, 
37,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.194163848353000, ,0,0.000000000000000, 
38,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0,FISH,2, ,0, ,0, ,0,0, ,0,0, ,0,0,0.197383003089000, ,0,0.000000000000000, 
39,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MCAP,0,EF,0,10, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.580043110928000, ,0,0.000000000000000, 
40,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MCAP,0,EF,0,10, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.406598390708000, ,0,0.000000000000000, 
41,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MCAP,0,EF,0,7, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.546023488804000, ,0,0.000000000000000, 
42,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,EF,0,40, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.965129653498000, ,0,0.000000000000000, 
43,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,EF,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.828308505045000, ,0,0.000000000000000, 
44,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0,FISH,7, ,0, ,0, ,0,0, ,0,0, ,0,0,0.145100516562000, ,0,0.000000000000000, 
45,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.328449479547000, ,0,0.000000000000000, 
46,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,BR,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.319162561243000, ,0,0.000000000000000, 
