FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng
0,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,5,EM, ,0, ,0, ,0,BLE,100,2, ,0,0, ,0,0,0.068500657
1,RS,2019,SE1902,HAW-3436,A,0,1,1, ,MCAP, ,-1, , ,0,EM, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.038148263
2,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,PLOB, ,0, , ,5,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.130939261
3,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,10,EM, ,0, ,0, ,0,BLE,100,2, ,0,0, ,0,0,0.156370649
4,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MPAT, ,0, , ,45,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.071091842
5,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,PLOB, ,0, , ,40,MD, ,0, ,0, ,0,ALG,1,0,BLE,50,2, ,0,0,0.117872177
6,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,60,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.168963191
7,RS,2019,SE1902,HAW-3436,A,0,1,1, ,MCAP, ,-1, , ,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.01820165
8,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,0,EF, ,0, ,0, ,0,BLE,100,2, ,0,0, ,0,0,0.180501441
9,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.140366983
10,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,PLOB, ,0, , ,10,MD, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.138515596
11,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,25,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.274124953
12,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,PLOB, ,0, , ,5,MD, ,0, ,0, ,0,ALG,1,0,TIN,5,0, ,0,0,0.113278418
13,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,30,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.292109568
14,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MPAT, ,0, , ,85,EF, ,0, ,0, ,0,ALG,1,0, ,0,0, ,0,0,0.191279116
15,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,65,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.119397027
16,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,5,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.211906229
17,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MCAP, ,0, , ,10,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.098742594
18,RS,2019,SE1902,HAW-3436,A,0,2.5,1, ,MPAT, ,0, , ,10,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.122303312
