FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng
0,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,20,EF, ,0, ,0, ,0,ALG,1,0, ,0,0, ,0,0,0.152005824
1,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.03223042
2,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.006835203
3,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.028398063
4,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,20,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.07114675
5,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,POSP, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.008509407
6,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.01833712
7,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,1,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.051199415
8,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,3,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.151102118
9,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.021268051
10,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.020511948
11,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.017229046
12,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,POSP, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.009097251
13,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.015420765
14,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,POSP, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.010818965
15,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,POSP, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.030223335
16,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PMEA, ,0,0,0,65,BR, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.496300253
17,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,MCAP, ,0,0,0,0,EF, ,0, ,0, ,0,BLE,100,2, ,0,0, ,0,0,0.053067975
18,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PLOB, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.010456099
19,MSL,2019,SE1902,HAW-3433,A,0,1,1, ,PMEA, ,-1,0,0,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.028419183
20,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,30,EF, ,0, ,0, ,0,DIS,3,0, ,0,0, ,0,0,0.284166588
21,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PMEA, ,0,0,0,0,KN, ,0, ,0, ,0,BLE,100,1, ,0,0, ,0,0,0.060198754
22,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,65,EF, ,0, ,0, ,0,SGA,1,0, ,0,0, ,0,0,0.596936388
23,MSL,2019,SE1902,HAW-3433,A,0,2.5,1, ,PLOB, ,0,0,0,50,EF, ,0, ,0, ,0,SGA,5,0, ,0,0, ,0,0,0.137058709
24,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,PLOB, ,0,0,0,60,EM, ,0, ,0, ,0,PRS,1,0, ,0,0, ,0,0,0.175632145
25,MSL,2019,SE1902,HAW-3433,A,5,1,1, ,POCS, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.029398129
26,MSL,2019,SE1902,HAW-3433,A,5,1,1, ,POCS, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.034961121
27,MSL,2019,SE1902,HAW-3433,A,5,1,1, ,PMEA, ,-1,0,0,0,KN, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.032546582
28,MSL,2019,SE1902,HAW-3433,A,5,1,1, ,POSP, ,-1,0,0,0,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.035420333
29,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,MPAT, ,0,0,0,20,EF, ,0, ,0, ,0,DIS,10,0, ,0,0, ,0,0,0.288698406
30,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,PLOB, ,0,0,0,10,EF, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.206883566
31,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,MPAT, ,0,0,0,3,EF, ,0, ,0, ,0,BLE,100,1, ,0,0, ,0,0,0.125006
32,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,PLOB, ,0,0,0,1,EM, ,0, ,0, ,0,ALG,1,0, ,0,0, ,0,0,0.252387005
33,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,PMEA, ,0,0,0,0,BR, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.257710788
34,MSL,2019,SE1902,HAW-3433,A,5,2.5,1, ,PLOB, ,0,0,0,10,EF, ,0, ,0, ,0,PRS,1,0, ,0,0, ,0,0,0.192170055
