"","FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY_","SPCODE","FRAGMENT_Y","MORPH_CODE","EX_BOUND","OLDDEAD","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","SHAPE_Leng"
"1",786,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"BR",0,25,"NA",0,"NA",0,"NA",0,"BLE",90,3,"NA",0,0,"NA",0,0,0.309653112
"2",787,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,0,"NA",0,"NA",0,"NA",0,"BLE",100,5,"NA",0,0,"NA",0,0,0.013926952
"3",788,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.015654072
"4",789,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"ALG",5,0,"BLE",100,1,"NA",0,0,0.024980393
"5",790,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,4,"NA",0,"NA",0,"NA",0,"BLE",100,2,"ALG",5,0,"NA",0,0,0.030907119
"6",791,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,30,"NA",0,"NA",0,"NA",0,"BLE",50,3,"NA",0,0,"NA",0,0,0.184023586
"7",792,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"BLE",100,3,"ALG",20,0,"NA",0,0,0.085092421
"8",793,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,50,"NA",0,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.038451008
"9",794,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"BLE",100,4,"ALG",3,0,"NA",0,0,0.019137658
"10",795,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"BLE",100,4,"ALG",10,0,"NA",0,0,0.038490778
"11",796,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,3,"MACA",2,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.032139851
"12",797,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"BLE",100,4,"ALG",10,0,"NA",0,0,0.050436593
"13",798,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.020048941
"14",799,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,5,"MACA",5,"NA",0,"NA",0,"BLE",95,3,"NA",0,0,"NA",0,0,0.062369385
"15",800,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,25,"MACA",5,"NA",0,"NA",0,"BLE",90,4,"BLE",10,2,"NA",0,0,0.161106671
"16",801,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,20,"GAST",2,"MACA",1,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.139680921
"17",802,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,30,"NA",0,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.097446191
"18",803,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.158210144
"19",804,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,55,"NA",0,"MACA",4,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.122841687
"20",805,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,2,"NA",0,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.014886235
"21",806,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"MACA",2,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.039751855
"22",807,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.039246019
"23",808,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"MACA",2,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.022539742
"24",809,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"BLE",50,4,"BLE",50,1,"NA",0,0,0.090426988
"25",810,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,45,"NA",0,"NA",0,"NA",0,"BLE",60,2,"NA",0,0,"NA",0,0,0.058710307
"26",811,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"MACA",1,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.082660088
"27",812,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,25,"NA",0,"NA",0,"NA",0,"BLE",100,5,"NA",0,0,"NA",0,0,0.009396276
"28",813,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,2,"NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.124612198
"29",814,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.106301693
"30",815,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,30,"MACA",2,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.097148392
"31",816,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.10840226
"32",817,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,25,"NA",0,"NA",0,"NA",0,"ALG",5,0,"BLE",100,1,"NA",0,0,0.172667369
"33",1519,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,13,"MACA",10,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.165774064
"34",1520,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,80,"NA",0,"NA",0,"NA",0,"BLE",30,1,"NA",0,0,"NA",0,0,0.076625126
"35",1521,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.039410913
"36",1522,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,82,"NA",0,"NA",0,"NA",0,"BLE",60,3,"NA",0,0,"NA",0,0,0.134046261
"37",1523,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,60,"MACA",5,"NA",0,"NA",0,"BLE",96,2,"ALG",10,0,"NA",0,0,0.121471642
"38",1524,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.058531444
"39",1525,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,0,"NA",0,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.049320686
"40",1526,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,10,"NA",0,"NA",0,"NA",0,"BLE",90,1,"NA",0,0,"NA",0,0,0.041425836
"41",1527,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"BLE",100,1,"NA",0,0,0.022750165
"42",1528,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,0,"MACA",2,"NA",0,"NA",0,"NA",0,0,"BLE",100,1,"NA",0,0,0.0096
"43",1529,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.017132719
"44",1530,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,0,"MACA",5,"NA",0,"NA",0,"NA",0,0,"BLE",100,2,"NA",0,0,0.021085778
"45",1531,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,45,"MACA",25,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.047760339
"46",1532,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.109483149
"47",1533,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.018049931
"48",1534,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,0,"MACA",3,"NA",0,"NA",0,"BLE",97,2,"BLE",3,5,"NA",0,0,0.032003125
"49",1535,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,85,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.201623832
"50",1536,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,0,"MACA",5,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.080010562
"51",1537,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,2,"NA",0,"NA",0,"NA",0,"NA",0,0,"BLE",100,1,"NA",0,0,0.020838667
"52",1538,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,5,"MACA",10,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.046812926
"53",1539,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,3,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.027378823
"54",1540,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.025102988
"55",1541,"NA",0,"NA","NA-   NA","0",0,0,0,"PDUE",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.046025753
"56",1542,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.039870039
"57",1543,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"BLE",100,1,"NA",0,0,0.011168258
"58",1544,"NA",0,"NA","NA-   NA","0",0,0,0,"POCS",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.055147982
"59",1545,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"BLE",90,1,"NA",0,0,"NA",0,0,0.034583377
"60",1546,"NA",0,"NA","NA-   NA","0",0,0,0,"MCAP",0,"EF",0,50,"MACA",5,"NA",0,"NA",0,"BLE",100,4,"NA",0,0,"NA",0,0,0.185198408
"61",1547,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.034340646
"62",1548,"NA",0,"NA","NA-   NA","0",0,0,0,"POCS",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.023362363
"63",1549,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EF",0,50,"MACA",4,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.036980264
