"","X.1","X","SITEVISITID","REGION","ISLAND","SITE","OLD_SITE","OCC_SITEID","REEF_ZONE","DEPTH_BIN","ROUNDID","MISSIONID","OBS_YEAR","DATE_","HABITAT_CODE","LATITUDE_SV","LONGITUDE_SV","LATITUDE_LOV","LONGITUDE_LOV","EXCLUDE_FLAG","CLIMATE_STATION_YN","PERM_SITE","TRANSECT_PHOTOS","PHOTOMOSAIC_YN","new_MIN_DEPTH_M","new_MAX_DEPTH_M","benth","fish","arms_d","arms_r","cau_d","cau_r","microb","ARMS","Benthic","CAU","Fish","Oceanography","HUMANS20","HUMANS200","TYPE","ANALYSIS_SCHEME","bANALYSIS_SCHEME","ANALYSIS_YEAR","TUT2012","OTHER_AREA_GROUPING","SPECIAL_PROJ_YN","SPECIAL_PROJ_DESCRIPTION","depth_bin","SEC_NAME"
"1",12468,NA,51280,"SAMOA","Tutuila","TUT-05961","TUT-5961",NA,"Forereef","Deep",188,"RA2301_LEG3",2023,"04/08/2023 09.52.23","AGR",-14.340092,-170.791304,-14.340092,-170.791304,0,0,0,-1,-1,22.55409936,23.46845474,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"DEEP","TUT_SW_OPEN"
"2",12469,NA,51281,"SAMOA","Tutuila","TUT-05876","TUT-5876",NA,"Forereef","Mid",188,"RA2301_LEG3",2023,"04/08/2023 11.06.28","AGR",-14.330245,-170.8126,-14.330245,-170.8126,0,0,0,-1,-1,8.229198415,10.66747943,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"MID","TUT_SW_OPEN"
"3",12470,NA,51282,"SAMOA","Tutuila","TUT-05763","TUT-5763",NA,"Forereef","Shallow",188,"RA2301_LEG3",2023,"04/08/2023 13.02.44","PAV",-14.326576,-170.834455,-14.326576,-170.834455,0,0,0,-1,-1,2.438281012,4.266991771,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"SHAL","TUT_SW_OPEN"
"4",12471,NA,51283,"SAMOA","Tutuila","TUT-05765","TUT-5765",NA,"Forereef","Shallow",188,"RA2301_LEG3",2023,"04/08/2023 14.43.31","SAG",-14.326243,-170.837539,-14.326243,-170.837539,0,0,0,-1,0,3.962206644,5.486132277,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"SHAL","TUT_SW_OPEN"
"5",12472,NA,51284,"SAMOA","Tutuila","TUT-05948","TUT-5948",NA,"Forereef","Deep",188,"RA2301_LEG3",2023,"04/08/2023 10.11.13","AGR",-14.350096,-170.789554,-14.350096,-170.789554,0,0,0,-1,-1,21.33495885,22.24931423,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"DEEP","TUT_SW_OPEN"
"6",12473,NA,51285,"SAMOA","Tutuila","TUT-05884","TUT-5884",NA,"Forereef","Mid",188,"RA2301_LEG3",2023,"04/08/2023 11.47.58","AGR",-14.335902,-170.803115,-14.335902,-170.803115,0,0,0,-1,-1,11.88661993,13.41054557,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"MID","TUT_SW_OPEN"
"7",12474,NA,51286,"SAMOA","Tutuila","TUT-05878","TUT-5878",NA,"Forereef","Mid",188,"RA2301_LEG3",2023,"04/08/2023 13.34.34","AGR",-14.334391,-170.818574,-14.334391,-170.818574,0,0,0,-1,-1,12.49619019,13.41054557,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"MID","TUT_SW_OPEN"
"8",12475,NA,51287,"SAMOA","Tutuila","TUT-05760","TUT-5760",NA,"Forereef","Shallow",188,"RA2301_LEG3",2023,"04/08/2023 15.14.27","AGR",-14.330949,-170.830461,-14.330949,-170.830461,0,0,0,-1,-1,4.266991771,4.571776897,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"SHAL","TUT_SW_OPEN"
"9",12476,NA,51320,"SAMOA","Tutuila","TUT-05920","TUT-5920",NA,"Forereef","Deep",188,"RA2301_LEG3",2023,"04/11/2023 09.47.31","AGR",-14.255297,-170.622993,-14.255297,-170.622993,0,0,0,-1,-1,18.89667784,19.81103322,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"DEEP","TUT_NE_OPEN"
"10",12477,NA,51321,"SAMOA","Tutuila","TUT-05930","TUT-5930",NA,"Forereef","Mid",188,"RA2301_LEG3",2023,"04/11/2023 12.12.19","AGR",-14.252287,-170.652265,-14.252287,-170.652265,0,0,0,-1,-1,7.010057909,7.924413289,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"DEEP","TUT_NE_OPEN"
"11",12478,NA,51322,"SAMOA","Tutuila","TUT-05833","TUT-5833",NA,"Forereef","Mid",188,"RA2301_LEG3",2023,"04/11/2023 13.36.54","AGR",-14.250439,-170.657301,-14.250439,-170.657301,0,0,0,-1,-1,11.58183481,12.80097531,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"MID","TUT_NE_OPEN"
"12",12479,NA,51323,"SAMOA","Tutuila","TUT-05725","TUT-5725",NA,"Forereef","Shallow",188,"RA2301_LEG3",2023,"04/11/2023 14.45.46","AGR",-14.247567,-170.673476,-14.247567,-170.673476,0,0,0,-1,0,4.571776897,5.486132277,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"SHAL","TUT_NE_OPEN"
"13",12480,NA,51423,"SAMOA","Tutuila","TUT-05942","TUT-5942",NA,"Forereef","Deep",188,"RA2301_LEG3",2023,"04/17/2023 09.17.44","AGR",-14.28863,-170.63386,-14.28863,-170.63386,0,0,0,-1,0,20.11581835,20.7253886,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"DEEP","TUT_SE_OPEN"
"14",12481,NA,51424,"SAMOA","Tutuila","TUT-05743","TUT-5743",NA,"Forereef","Mid",188,"RA2301_LEG3",2023,"04/17/2023 11.28.01","AGR",-14.279754,-170.6196,-14.279754,-170.6196,0,0,0,-1,0,14.62968607,14.9344712,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"SHAL","TUT_SE_OPEN"
"15",12482,NA,51425,"SAMOA","Tutuila","TUT-05745","TUT-5745",NA,"Forereef","Shallow",188,"RA2301_LEG3",2023,"04/17/2023 13.10.53","AGR",-14.272025,-170.608855,-14.272025,-170.608855,0,0,0,-1,0,3.047851265,4.571776897,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RANDOM","RAMP_BASIC","RAMP_BASIC","2023",NA,NA,NA,NA,"SHAL","TUT_SE_OPEN"
