"","METHOD","MISSIONID","DATE_","SITEVISITID","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M"
"1","DIVER","HA1304",2013-08-03 00:00:00,5936,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-01402","Forereef","Deep",20.2405,-155.75785,20.11581835,22.24931423
"72","DIVER","HA1304",2013-08-03 00:00:00,5937,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-01411","Forereef","Mid",20.23514229,-155.7517892,NA,12.80097531
"223","DIVER","HA1304",2013-08-03 00:00:00,5939,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-01448","Forereef","Mid",20.25085609,-155.7918375,12.80097531,13.71533069
"394","DIVER","HA1304",2013-08-03 00:00:00,5938,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-01468","Forereef","Shallow",20.24428267,-155.8900548,NA,6.400487656
"556","DIVER","HA1304",2013-08-03 00:00:00,5942,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-01476","Forereef","Shallow",20.26737649,-155.8629675,5.486132277,6.09570253
"689","DIVER","HA1304",2013-08-04 00:00:00,5947,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-01487","Forereef","Deep",19.14996377,-155.9173019,22.55409936,23.46845474
"795","DIVER","HA1304",2013-08-08 00:00:00,6015,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-01488","Forereef","Deep",20.06308017,-155.8532859,18.28710759,20.42060347
"1043","DIVER","HA1304",2013-08-08 00:00:00,6016,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-01540","Forereef","Mid",20.00323883,-155.8331828,14.62968607,15.54404145
"1343","DIVER","HA1304",2013-08-04 00:00:00,5948,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-01566","Forereef","Mid",19.16065933,-155.9154834,13.41054557,13.41054557
"1694","DIVER","HA1304",2013-08-08 00:00:00,6017,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-01579","Forereef","Shallow",19.9609699,-155.8595162,2.438281012,5.18134715
"1997","DIVER","HA1304",2013-08-08 00:00:00,6018,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-01619","Forereef","Shallow",19.9272578,-155.8894908,2.743066138,5.18134715
"2112","DIVER","HA1304",2013-08-06 00:00:00,5967,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-01625","Forereef","Deep",19.44420143,-154.8548014,19.20146297,23.77323987
"2243","DIVER","HA1304",2013-08-05 00:00:00,5955,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-01631","Forereef","Deep",19.8325335,-155.0803804,NA,24.38281012
"2323","DIVER","HA1304",2013-08-05 00:00:00,5956,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-01643","Forereef","Mid",19.74481596,-155.0538582,NA,13.41054557
"2584","DIVER","HA1304",2013-08-06 00:00:00,5982,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-01648","Forereef","Mid",19.408233,-154.901467,13.71533069,15.23925632
"2681","DIVER","HA1304",2013-08-07 00:00:00,5986,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_SE","HAW-01677","Forereef","Deep",19.1187421,-155.5083339,19.81103322,23.16366961
"2907","DIVER","HA1304",2013-08-07 00:00:00,5987,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_SE","HAW-01693","Forereef","Mid",19.07674391,-155.5532311,12.19140506,14.62968607
"3205","DIVER","HA1304",2013-08-07 00:00:00,5988,"2013",2013,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_SE","HAW-01733","Forereef","Shallow",18.96680854,-155.6135593,5.790917403,6.09570253
