"","REGION","PooledSector_Viztool","OBS_YEAR","STRATANAME","n"
"1","CNMI","Agrihan",2017,"Agrihan_Forereef_Deep",2
"2","CNMI","Agrihan",2017,"Agrihan_Forereef_Mid",2
"3","CNMI","Agrihan",2017,"Agrihan_Forereef_Shallow",3
"4","CNMI","Aguijan",2014,"Aguijan_Forereef_Mid",2
"5","CNMI","Aguijan",2014,"Aguijan_Forereef_Shallow",3
"6","CNMI","Aguijan",2017,"Aguijan_Forereef_Deep",3
"7","CNMI","Aguijan",2017,"Aguijan_Forereef_Mid",5
"8","CNMI","Aguijan",2017,"Aguijan_Forereef_Shallow",2
"9","CNMI","Alamagan",2014,"Alamagan_Forereef_Deep",2
"10","CNMI","Alamagan",2014,"Alamagan_Forereef_Mid",2
"11","CNMI","Alamagan",2014,"Alamagan_Forereef_Shallow",2
"12","CNMI","Alamagan",2017,"Alamagan_Forereef_Shallow",2
"13","CNMI","Asuncion",2014,"Asuncion_Forereef_Deep",3
"14","CNMI","Asuncion",2014,"Asuncion_Forereef_Mid",6
"15","CNMI","Asuncion",2014,"Asuncion_Forereef_Shallow",3
"16","CNMI","Asuncion",2017,"Asuncion_Forereef_Deep",4
"17","CNMI","Asuncion",2017,"Asuncion_Forereef_Mid",4
"18","CNMI","Asuncion",2017,"Asuncion_Forereef_Shallow",4
"19","CNMI","Asuncion",2022,"Asuncion_Forereef_Deep",4
"20","CNMI","Asuncion",2022,"Asuncion_Forereef_Mid",8
"21","CNMI","Asuncion",2022,"Asuncion_Forereef_Shallow",5
"22","CNMI","Farallon de Pajaros",2014,"Farallon de Pajaros_Forereef_Deep",2
"23","CNMI","Farallon de Pajaros",2014,"Farallon de Pajaros_Forereef_Mid",3
"24","CNMI","Farallon de Pajaros",2014,"Farallon de Pajaros_Forereef_Shallow",2
"25","CNMI","Farallon de Pajaros",2017,"Farallon de Pajaros_Forereef_Deep",3
"26","CNMI","Farallon de Pajaros",2017,"Farallon de Pajaros_Forereef_Mid",5
"27","CNMI","Farallon de Pajaros",2017,"Farallon de Pajaros_Forereef_Shallow",4
"28","CNMI","Guguan",2014,"Guguan_Forereef_Deep",2
"29","CNMI","Guguan",2014,"Guguan_Forereef_Shallow",2
"30","CNMI","Maug",2014,"Maug_Forereef_Deep",6
"31","CNMI","Maug",2014,"Maug_Forereef_Mid",11
"32","CNMI","Maug",2014,"Maug_Forereef_Shallow",5
"33","CNMI","Maug",2017,"Maug_Forereef_Deep",6
"34","CNMI","Maug",2017,"Maug_Forereef_Mid",13
"35","CNMI","Maug",2017,"Maug_Forereef_Shallow",8
"36","CNMI","Maug",2022,"Maug_Forereef_Deep",7
"37","CNMI","Maug",2022,"Maug_Forereef_Mid",12
"38","CNMI","Maug",2022,"Maug_Forereef_Shallow",5
"39","CNMI","Pagan",2014,"Pagan_Forereef_Deep",8
"40","CNMI","Pagan",2014,"Pagan_Forereef_Mid",6
"41","CNMI","Pagan",2014,"Pagan_Forereef_Shallow",5
"42","CNMI","Pagan",2017,"Pagan_Forereef_Deep",4
"43","CNMI","Pagan",2017,"Pagan_Forereef_Mid",7
"44","CNMI","Pagan",2017,"Pagan_Forereef_Shallow",8
"45","CNMI","Pagan",2022,"Pagan_Forereef_Deep",7
"46","CNMI","Pagan",2022,"Pagan_Forereef_Mid",9
"47","CNMI","Pagan",2022,"Pagan_Forereef_Shallow",8
"48","CNMI","Rota",2014,"Rota_Forereef_Deep",3
"49","CNMI","Rota",2014,"Rota_Forereef_Mid",4
"50","CNMI","Rota",2014,"Rota_Forereef_Shallow",3
"51","CNMI","Rota",2017,"Rota_Forereef_Deep",4
"52","CNMI","Rota",2017,"Rota_Forereef_Mid",4
"53","CNMI","Rota",2017,"Rota_Forereef_Shallow",5
"54","CNMI","Rota",2022,"Rota_Forereef_Deep",3
"55","CNMI","Rota",2022,"Rota_Forereef_Mid",4
"56","CNMI","Rota",2022,"Rota_Forereef_Shallow",9
"57","CNMI","Saipan",2014,"Saipan_Forereef_Deep",10
"58","CNMI","Saipan",2014,"Saipan_Forereef_Mid",7
"59","CNMI","Saipan",2014,"Saipan_Forereef_Shallow",5
"60","CNMI","Saipan",2017,"Saipan_Forereef_Deep",5
"61","CNMI","Saipan",2017,"Saipan_Forereef_Mid",9
"62","CNMI","Saipan",2017,"Saipan_Forereef_Shallow",8
"63","CNMI","Saipan",2022,"Saipan_Forereef_Deep",7
"64","CNMI","Saipan",2022,"Saipan_Forereef_Mid",10
"65","CNMI","Saipan",2022,"Saipan_Forereef_Shallow",7
"66","CNMI","Sarigan",2014,"Sarigan_Forereef_Mid",3
"67","CNMI","Sarigan",2017,"Sarigan_Forereef_Mid",2
"68","CNMI","Sarigan",2017,"Sarigan_Forereef_Shallow",2
"69","CNMI","Tinian",2014,"Tinian_Forereef_Deep",2
"70","CNMI","Tinian",2014,"Tinian_Forereef_Mid",2
"71","CNMI","Tinian",2014,"Tinian_Forereef_Shallow",3
"72","CNMI","Tinian",2017,"Tinian_Forereef_Deep",4
"73","CNMI","Tinian",2017,"Tinian_Forereef_Mid",6
"74","CNMI","Tinian",2017,"Tinian_Forereef_Shallow",4
"75","CNMI","Tinian",2022,"Tinian_Forereef_Deep",5
"76","CNMI","Tinian",2022,"Tinian_Forereef_Mid",7
"77","CNMI","Tinian",2022,"Tinian_Forereef_Shallow",3
"78","GUA","GUA_EAST_OPEN",2014,"GUA_EAST_OPEN_Forereef_Deep",3
"79","GUA","GUA_EAST_OPEN",2014,"GUA_EAST_OPEN_Forereef_Mid",5
"80","GUA","GUA_EAST_OPEN",2014,"GUA_EAST_OPEN_Forereef_Shallow",5
