"","REGION","PooledSector_Viztool","OBS_YEAR","STRATANAME","n"
"1","CNMI","Asuncion",2014,"Asuncion_Forereef_Deep",3
"2","CNMI","Asuncion",2014,"Asuncion_Forereef_Mid",6
"3","CNMI","Asuncion",2014,"Asuncion_Forereef_Shallow",3
"4","CNMI","Asuncion",2017,"Asuncion_Forereef_Deep",4
"5","CNMI","Asuncion",2017,"Asuncion_Forereef_Mid",4
"6","CNMI","Asuncion",2017,"Asuncion_Forereef_Shallow",4
"7","CNMI","Asuncion",2022,"Asuncion_Forereef_Deep",4
"8","CNMI","Asuncion",2022,"Asuncion_Forereef_Mid",8
"9","CNMI","Asuncion",2022,"Asuncion_Forereef_Shallow",5
"10","CNMI","Maug",2014,"Maug_Forereef_Deep",6
"11","CNMI","Maug",2014,"Maug_Forereef_Mid",11
"12","CNMI","Maug",2014,"Maug_Forereef_Shallow",5
"13","CNMI","Maug",2017,"Maug_Forereef_Deep",6
"14","CNMI","Maug",2017,"Maug_Forereef_Mid",13
"15","CNMI","Maug",2017,"Maug_Forereef_Shallow",8
"16","CNMI","Maug",2022,"Maug_Forereef_Deep",7
"17","CNMI","Maug",2022,"Maug_Forereef_Mid",12
"18","CNMI","Maug",2022,"Maug_Forereef_Shallow",5
"19","CNMI","Pagan",2014,"Pagan_Forereef_Deep",8
"20","CNMI","Pagan",2014,"Pagan_Forereef_Mid",6
"21","CNMI","Pagan",2014,"Pagan_Forereef_Shallow",5
"22","CNMI","Pagan",2017,"Pagan_Forereef_Deep",4
"23","CNMI","Pagan",2017,"Pagan_Forereef_Mid",7
"24","CNMI","Pagan",2017,"Pagan_Forereef_Shallow",8
"25","CNMI","Pagan",2022,"Pagan_Forereef_Deep",7
"26","CNMI","Pagan",2022,"Pagan_Forereef_Mid",9
"27","CNMI","Pagan",2022,"Pagan_Forereef_Shallow",8
"28","CNMI","Rota",2014,"Rota_Forereef_Deep",3
"29","CNMI","Rota",2014,"Rota_Forereef_Mid",4
"30","CNMI","Rota",2014,"Rota_Forereef_Shallow",3
"31","CNMI","Rota",2017,"Rota_Forereef_Deep",4
"32","CNMI","Rota",2017,"Rota_Forereef_Mid",4
"33","CNMI","Rota",2017,"Rota_Forereef_Shallow",5
"34","CNMI","Rota",2022,"Rota_Forereef_Deep",3
"35","CNMI","Rota",2022,"Rota_Forereef_Mid",4
"36","CNMI","Rota",2022,"Rota_Forereef_Shallow",9
"37","CNMI","Saipan",2014,"Saipan_Forereef_Deep",10
"38","CNMI","Saipan",2014,"Saipan_Forereef_Mid",7
"39","CNMI","Saipan",2014,"Saipan_Forereef_Shallow",5
"40","CNMI","Saipan",2017,"Saipan_Forereef_Deep",5
"41","CNMI","Saipan",2017,"Saipan_Forereef_Mid",9
"42","CNMI","Saipan",2017,"Saipan_Forereef_Shallow",8
"43","CNMI","Saipan",2022,"Saipan_Forereef_Deep",7
"44","CNMI","Saipan",2022,"Saipan_Forereef_Mid",10
"45","CNMI","Saipan",2022,"Saipan_Forereef_Shallow",7
"46","CNMI","Tinian",2014,"Tinian_Forereef_Deep",2
"47","CNMI","Tinian",2014,"Tinian_Forereef_Mid",2
"48","CNMI","Tinian",2014,"Tinian_Forereef_Shallow",3
"49","CNMI","Tinian",2017,"Tinian_Forereef_Deep",4
"50","CNMI","Tinian",2017,"Tinian_Forereef_Mid",6
"51","CNMI","Tinian",2017,"Tinian_Forereef_Shallow",4
"52","CNMI","Tinian",2022,"Tinian_Forereef_Deep",5
"53","CNMI","Tinian",2022,"Tinian_Forereef_Mid",7
"54","CNMI","Tinian",2022,"Tinian_Forereef_Shallow",3
"55","GUA","GUA_EAST_OPEN",2014,"GUA_EAST_OPEN_Forereef_Deep",3
"56","GUA","GUA_EAST_OPEN",2014,"GUA_EAST_OPEN_Forereef_Mid",5
"57","GUA","GUA_EAST_OPEN",2014,"GUA_EAST_OPEN_Forereef_Shallow",5
"58","GUA","GUA_EAST_OPEN",2017,"GUA_EAST_OPEN_Forereef_Deep",4
"59","GUA","GUA_EAST_OPEN",2017,"GUA_EAST_OPEN_Forereef_Mid",4
"60","GUA","GUA_EAST_OPEN",2017,"GUA_EAST_OPEN_Forereef_Shallow",4
"61","GUA","GUA_EAST_OPEN",2022,"GUA_EAST_OPEN_Forereef_Deep",5
"62","GUA","GUA_EAST_OPEN",2022,"GUA_EAST_OPEN_Forereef_Mid",7
"63","GUA","GUA_EAST_OPEN",2022,"GUA_EAST_OPEN_Forereef_Shallow",3
"64","GUA","GUA_WEST_OPEN",2014,"GUA_WEST_OPEN_Forereef_Deep",3
"65","GUA","GUA_WEST_OPEN",2014,"GUA_WEST_OPEN_Forereef_Mid",4
"66","GUA","GUA_WEST_OPEN",2014,"GUA_WEST_OPEN_Forereef_Shallow",4
