"","REGION","ISLAND","SEC_NAME","OBS_YEAR","REEF_ZONE","DEPTH_BIN","n"
"1","MARIAN","Agrihan","Agrihan",2017,"Forereef","Deep",2
"2","MARIAN","Agrihan","Agrihan",2017,"Forereef","Mid",2
"3","MARIAN","Agrihan","Agrihan",2017,"Forereef","Shallow",3
"4","MARIAN","Aguijan","Aguijan",2014,"Forereef","Deep",1
"5","MARIAN","Aguijan","Aguijan",2014,"Forereef","Mid",2
"6","MARIAN","Aguijan","Aguijan",2014,"Forereef","Shallow",3
"7","MARIAN","Aguijan","Aguijan",2017,"Forereef","Deep",3
"8","MARIAN","Aguijan","Aguijan",2017,"Forereef","Mid",5
"9","MARIAN","Aguijan","Aguijan",2017,"Forereef","Shallow",2
"10","MARIAN","Alamagan","Alamagan",2014,"Forereef","Deep",2
"11","MARIAN","Alamagan","Alamagan",2014,"Forereef","Mid",2
"12","MARIAN","Alamagan","Alamagan",2014,"Forereef","Shallow",2
"13","MARIAN","Alamagan","Alamagan",2017,"Forereef","Deep",1
"14","MARIAN","Alamagan","Alamagan",2017,"Forereef","Mid",1
"15","MARIAN","Alamagan","Alamagan",2017,"Forereef","Shallow",2
"16","MARIAN","Asuncion","Asuncion",2014,"Forereef","Deep",3
"17","MARIAN","Asuncion","Asuncion",2014,"Forereef","Mid",6
"18","MARIAN","Asuncion","Asuncion",2014,"Forereef","Shallow",4
"19","MARIAN","Asuncion","Asuncion",2017,"Forereef","Deep",4
"20","MARIAN","Asuncion","Asuncion",2017,"Forereef","Mid",4
"21","MARIAN","Asuncion","Asuncion",2017,"Forereef","Shallow",4
"22","MARIAN","Asuncion","Asuncion",2022,"Forereef","Deep",4
"23","MARIAN","Asuncion","Asuncion",2022,"Forereef","Mid",8
"24","MARIAN","Asuncion","Asuncion",2022,"Forereef","Shallow",5
"25","MARIAN","Farallon de Pajaros","Farallon de Pajaros",2014,"Forereef","Deep",2
"26","MARIAN","Farallon de Pajaros","Farallon de Pajaros",2014,"Forereef","Mid",3
"27","MARIAN","Farallon de Pajaros","Farallon de Pajaros",2014,"Forereef","Shallow",2
"28","MARIAN","Farallon de Pajaros","Farallon de Pajaros",2017,"Forereef","Deep",3
"29","MARIAN","Farallon de Pajaros","Farallon de Pajaros",2017,"Forereef","Mid",5
"30","MARIAN","Farallon de Pajaros","Farallon de Pajaros",2017,"Forereef","Shallow",4
"31","MARIAN","Guam","GUA_ACHANG",2014,"Forereef","Deep",1
"32","MARIAN","Guam","GUA_ACHANG",2014,"Forereef","Mid",1
"33","MARIAN","Guam","GUA_ACHANG",2017,"Forereef","Deep",1
"34","MARIAN","Guam","GUA_ACHANG",2017,"Forereef","Mid",1
"35","MARIAN","Guam","GUA_ACHANG",2017,"Forereef","Shallow",2
"36","MARIAN","Guam","GUA_ACHANG",2022,"Forereef","Shallow",1
"37","MARIAN","Guam","GUA_EAST_OPEN",2014,"Forereef","Deep",3
"38","MARIAN","Guam","GUA_EAST_OPEN",2014,"Forereef","Mid",5
"39","MARIAN","Guam","GUA_EAST_OPEN",2014,"Forereef","Shallow",5
"40","MARIAN","Guam","GUA_EAST_OPEN",2014,NA,"Mid",2
"41","MARIAN","Guam","GUA_EAST_OPEN",2017,"Forereef","Deep",4
"42","MARIAN","Guam","GUA_EAST_OPEN",2017,"Forereef","Mid",4
"43","MARIAN","Guam","GUA_EAST_OPEN",2017,"Forereef","Shallow",4
"44","MARIAN","Guam","GUA_EAST_OPEN",2022,"Forereef","Deep",5
"45","MARIAN","Guam","GUA_EAST_OPEN",2022,"Forereef","Mid",7
"46","MARIAN","Guam","GUA_EAST_OPEN",2022,"Forereef","Shallow",3
"47","MARIAN","Guam","GUA_PATI_POINT",2014,"Forereef","Deep",1
"48","MARIAN","Guam","GUA_PATI_POINT",2014,"Forereef","Mid",2
"49","MARIAN","Guam","GUA_PATI_POINT",2014,"Forereef","Shallow",1
